,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
365,26-03-2020,6:00 PM,Andaman and Nicobar Islands,0,0,1
392,27-03-2020,10:00 AM,Andaman and Nicobar Islands,0,0,1
420,28-03-2020,6:00 PM,Andaman and Nicobar Islands,0,0,6
447,29-03-2020,7:30 PM,Andaman and Nicobar Islands,0,0,9
474,30-03-2020,9:30 PM,Andaman and Nicobar Islands,0,0,9
502,31-03-2020,8:30 PM,Andaman and Nicobar Islands,0,0,10
530,01-04-2020,7:30 PM,Andaman and Nicobar Islands,0,0,10
559,02-04-2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
588,03-04-2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
619,04-04-2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
649,05-04-2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
679,06-04-2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
709,07-04-2020,6:00 PM,Andaman and Nicobar Islands,0,0,10
740,08-04-2020,5:00 PM,Andaman and Nicobar Islands,0,0,10
771,09-04-2020,5:00 PM,Andaman and Nicobar Islands,0,0,11
802,10-04-2020,5:00 PM,Andaman and Nicobar Islands,0,0,11
833,11-04-2020,5:00 PM,Andaman and Nicobar Islands,0,0,11
864,12-04-2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
895,13-04-2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
927,14-04-2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
959,15-04-2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
992,16-04-2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
1025,17-04-2020,5:00 PM,Andaman and Nicobar Islands,10,0,11
1058,18-04-2020,5:00 PM,Andaman and Nicobar Islands,11,0,12
1091,19-04-2020,5:00 PM,Andaman and Nicobar Islands,11,0,14
1124,20-04-2020,5:00 PM,Andaman and Nicobar Islands,11,0,15
1157,21-04-2020,5:00 PM,Andaman and Nicobar Islands,11,0,16
1190,22-04-2020,5:00 PM,Andaman and Nicobar Islands,11,0,17
