,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
121,12-03-2020,6:00 PM,Andhra Pradesh,0,0,1
134,13-03-2020,6:00 PM,Andhra Pradesh,0,0,1
147,14-03-2020,6:00 PM,Andhra Pradesh,0,0,1
148,15-03-2020,6:00 PM,Andhra Pradesh,0,0,1
162,16-03-2020,6:00 PM,Andhra Pradesh,0,0,1
177,17-03-2020,6:00 PM,Andhra Pradesh,0,0,1
192,18-03-2020,6:00 PM,Andhra Pradesh,0,0,1
209,19-03-2020,6:00 PM,Andhra Pradesh,0,0,2
228,20-03-2020,6:00 PM,Andhra Pradesh,0,0,3
248,21-03-2020,6:00 PM,Andhra Pradesh,0,0,3
270,22-03-2020,6:00 PM,Andhra Pradesh,0,0,5
293,23-03-2020,6:00 PM,Andhra Pradesh,0,0,7
316,24-03-2020,6:00 PM,Andhra Pradesh,0,0,8
340,25-03-2020,6:00 PM,Andhra Pradesh,1,0,9
366,26-03-2020,6:00 PM,Andhra Pradesh,1,0,11
393,27-03-2020,10:00 AM,Andhra Pradesh,1,0,12
419,28-03-2020,6:00 PM,Andhra Pradesh,1,0,14
446,29-03-2020,7:30 PM,Andhra Pradesh,1,0,19
473,30-03-2020,9:30 PM,Andhra Pradesh,1,0,23
501,31-03-2020,8:30 PM,Andhra Pradesh,1,0,40
529,01-04-2020,7:30 PM,Andhra Pradesh,1,0,83
558,02-04-2020,6:00 PM,Andhra Pradesh,1,1,86
587,03-04-2020,6:00 PM,Andhra Pradesh,1,1,132
618,04-04-2020,6:00 PM,Andhra Pradesh,1,1,161
648,05-04-2020,6:00 PM,Andhra Pradesh,1,1,190
678,06-04-2020,6:00 PM,Andhra Pradesh,1,3,226
708,07-04-2020,6:00 PM,Andhra Pradesh,1,3,266
739,08-04-2020,5:00 PM,Andhra Pradesh,5,4,305
770,09-04-2020,5:00 PM,Andhra Pradesh,6,4,348
801,10-04-2020,5:00 PM,Andhra Pradesh,7,6,363
832,11-04-2020,5:00 PM,Andhra Pradesh,11,6,381
863,12-04-2020,5:00 PM,Andhra Pradesh,11,6,381
894,13-04-2020,5:00 PM,Andhra Pradesh,11,7,432
926,14-04-2020,5:00 PM,Andhra Pradesh,14,9,473
960,15-04-2020,5:00 PM,Andhra Pradesh,16,9,503
993,16-04-2020,5:00 PM,Andhra Pradesh,20,14,534
1026,17-04-2020,5:00 PM,Andhra Pradesh,36,14,572
1059,18-04-2020,5:00 PM,Andhra Pradesh,42,15,603
1092,19-04-2020,5:00 PM,Andhra Pradesh,42,15,603
1125,20-04-2020,5:00 PM,Andhra Pradesh,92,20,722
1158,21-04-2020,5:00 PM,Andhra Pradesh,96,22,757
1191,22-04-2020,5:00 PM,Andhra Pradesh,120,24,813
1223,23-04-2020,5:00 PM,Andhra Pradesh,141,27,895
1255,24-04-2020,5:00 PM,Andhra Pradesh,145,29,955
1287,25-04-2020,5:00 PM,Andhra Pradesh,171,31,1061
1319,26-04-2020,5:00 PM,Andhra Pradesh,231,31,1097
1351,27-04-2020,5:00 PM,Andhra Pradesh,235,31,1177
1383,28-04-2020,5:00 PM,Andhra Pradesh,258,31,1259
1415,29-04-2020,5:00 PM,Andhra Pradesh,287,31,1332
1447,30-04-2020,5:00 PM,Andhra Pradesh,321,31,1403
1479,01-05-2020,5:00 PM,Andhra Pradesh,403,33,1463
1511,02-05-2020,5:00 PM,Andhra Pradesh,403,33,1463
1543,03-05-2020,5:00 PM,Andhra Pradesh,488,33,1583
1575,04-05-2020,5:00 PM,Andhra Pradesh,524,36,1650
1607,05-05-2020,5:00 PM,Andhra Pradesh,589,36,1717
1639,06-05-2020,8:00 AM,Andhra Pradesh,589,36,1717
1672,07-05-2020,8:00 AM,Andhra Pradesh,729,36,1777
1705,08-05-2020,8:00 AM,Andhra Pradesh,780,38,1847
1738,09-05-2020,8:00 AM,Andhra Pradesh,842,41,1887
1771,10-05-2020,8:00 AM,Andhra Pradesh,887,44,1930
1804,11-05-2020,8:00 AM,Andhra Pradesh,925,45,1980
1837,12-05-2020,8:00 AM,Andhra Pradesh,975,45,2018
1870,13-05-2020,8:00 AM,Andhra Pradesh,1056,46,2090
1903,14-05-2020,8:00 AM,Andhra Pradesh,1142,47,2137
1936,15-05-2020,8:00 AM,Andhra Pradesh,1192,48,2205
1969,16-05-2020,8:00 AM,Andhra Pradesh,1252,48,2307
2002,17-05-2020,8:00 AM,Andhra Pradesh,1353,49,2355
2035,18-05-2020,8:00 AM,Andhra Pradesh,1456,50,2407
2068,19-05-2020,8:00 AM,Andhra Pradesh,1552,50,2474
2101,20-05-2020,8:00 AM,Andhra Pradesh,1621,52,2532
2135,21-05-2020,8:00 AM,Andhra Pradesh,1640,53,2602
2169,22-05-2020,8:00 AM,Andhra Pradesh,1709,53,2647
2203,23-05-2020,8:00 AM,Andhra Pradesh,1763,55,2709
2237,24-05-2020,8:00 AM,Andhra Pradesh,1809,56,2757
2272,25-05-2020,8:00 AM,Andhra Pradesh,1856,56,2823
2307,26-05-2020,8:00 AM,Andhra Pradesh,1896,56,3110
2343,27-05-2020,8:00 AM,Andhra Pradesh,2009,57,3171
2379,28-05-2020,8:00 AM,Andhra Pradesh,2057,58,3171
2415,29-05-2020,8:00 AM,Andhra Pradesh,2125,59,3251
2451,30-05-2020,8:00 AM,Andhra Pradesh,2226,60,3436
2487,31-05-2020,8:00 AM,Andhra Pradesh,2289,60,3569
2523,01-06-2020,8:00 AM,Andhra Pradesh,2349,62,3679
2559,02-06-2020,8:00 AM,Andhra Pradesh,2378,64,3783
2595,03-06-2020,8:00 AM,Andhra Pradesh,2421,64,3898
2631,04-06-2020,8:00 AM,Andhra Pradesh,2466,68,4080
2667,05-06-2020,8:00 AM,Andhra Pradesh,2539,71,4223
2703,06-06-2020,8:00 AM,Andhra Pradesh,2576,73,4303
2739,07-06-2020,8:00 AM,Andhra Pradesh,2620,73,4510
2775,08-06-2020,8:00 AM,Andhra Pradesh,2682,75,4708
2811,09-06-2020,8:00 AM,Andhra Pradesh,2745,75,4851
2847,10-06-2020,8:00 AM,Andhra Pradesh,2802,77,5070
2883,11-06-2020,8:00 AM,Andhra Pradesh,2899,78,5269
2920,12-06-2020,8:00 AM,Andhra Pradesh,3048,80,5429
2956,13-06-2020,8:00 AM,Andhra Pradesh,3105,80,5680
2992,14-06-2020,8:00 AM,Andhra Pradesh,3195,82,5965
3028,15-06-2020,8:00 AM,Andhra Pradesh,3314,84,6163
3064,16-06-2020,8:00 AM,Andhra Pradesh,3316,88,6456
3100,17-06-2020,8:00 AM,Andhra Pradesh,3509,88,6841
3136,18-06-2020,8:00 AM,Andhra Pradesh,3641,90,7071
3172,19-06-2020,8:00 AM,Andhra Pradesh,3789,92,7518
3208,20-06-2020,8:00 AM,Andhra Pradesh,3917,96,7961
3244,21-06-2020,8:00 AM,Andhra Pradesh,4111,101,8452
3280,22-06-2020,8:00 AM,Andhra Pradesh,4331,106,8999
3316,23-06-2020,8:00 AM,Andhra Pradesh,4495,111,9372
3352,24-06-2020,8:00 AM,Andhra Pradesh,4599,119,10002
3388,25-06-2020,8:00 AM,Andhra Pradesh,4779,124,10331
3424,26-06-2020,8:00 AM,Andhra Pradesh,4988,136,10884
3460,27-06-2020,8:00 AM,Andhra Pradesh,5196,148,11489
3496,28-06-2020,8:00 AM,Andhra Pradesh,5480,157,12285
3532,29-06-2020,8:00 AM,Andhra Pradesh,5908,169,13241
3568,30-06-2020,8:00 AM,Andhra Pradesh,6232,180,13891
3604,01-07-2020,8:00 AM,Andhra Pradesh,6511,187,14595
3640,02-07-2020,8:00 AM,Andhra Pradesh,6988,193,15252
3676,03-07-2020,8:00 AM,Andhra Pradesh,7313,198,16097
3712,04-07-2020,8:00 AM,Andhra Pradesh,7632,206,16934
3748,05-07-2020,8:00 AM,Andhra Pradesh,8008,218,17699
3784,06-07-2020,8:00 AM,Andhra Pradesh,8422,232,18697
3820,07-07-2020,8:00 AM,Andhra Pradesh,8920,239,20019
3856,08-07-2020,8:00 AM,Andhra Pradesh,9745,252,21197
3892,09-07-2020,8:00 AM,Andhra Pradesh,11101,264,22259
3928,10-07-2020,8:00 AM,Andhra Pradesh,12154,277,23814
3964,11-07-2020,8:00 AM,Andhra Pradesh,13194,292,25422
4000,12-07-2020,8:00 AM,Andhra Pradesh,14393,309,27235
4036,13-07-2020,8:00 AM,Andhra Pradesh,15412,328,29168
4072,14-07-2020,8:00 AM,Andhra Pradesh,16464,365,31103
4108,15-07-2020,8:00 AM,Andhra Pradesh,17467,408,33019
4144,16-07-2020,8:00 AM,Andhra Pradesh,18378,452,35451
4180,17-07-2020,8:00 AM,Andhra Pradesh,19393,492,38044
4216,18-07-2020,8:00 AM,Andhra Pradesh,20298,534,40646
4252,19-07-2020,8:00 AM,Andhra Pradesh,21763,586,44609
4287,20-07-2020,8:00 AM,Andhra Pradesh,22890,642,49650
4322,21-07-2020,8:00 AM,Andhra Pradesh,24228,696,53724
4357,22-07-2020,8:00 AM,Andhra Pradesh,25574,758,58668
4392,23-07-2020,8:00 AM,Andhra Pradesh,32127,823,64713
4427,24-07-2020,8:00 AM,Andhra Pradesh,37555,884,72711
4462,25-07-2020,8:00 AM,Andhra Pradesh,39935,933,80858
4497,26-07-2020,8:00 AM,Andhra Pradesh,43255,985,88671
4532,27-07-2020,8:00 AM,Andhra Pradesh,46301,1041,96298
4567,28-07-2020,8:00 AM,Andhra Pradesh,49558,1090,102349
4602,29-07-2020,8:00 AM,Andhra Pradesh,52622,1148,110297
4637,30-07-2020,8:00 AM,Andhra Pradesh,55406,1213,120390
4672,31-07-2020,8:00 AM,Andhra Pradesh,60024,1281,130557
4707,01-08-2020,8:00 AM,Andhra Pradesh,63864,1349,140933
4742,02-08-2020,8:00 AM,Andhra Pradesh,76614,1407,150209
4777,03-08-2020,8:00 AM,Andhra Pradesh,82886,1474,158764
4812,04-08-2020,8:00 AM,Andhra Pradesh,88672,1537,166586
4847,05-08-2020,8:00 AM,Andhra Pradesh,95625,1604,176333
4882,06-08-2020,8:00 AM,Andhra Pradesh,104354,1681,186461
4917,07-08-2020,8:00 AM,Andhra Pradesh,112870,1753,196789
4952,08-08-2020,8:00 AM,Andhra Pradesh,120464,1842,206960
4987,09-08-2020,8:00 AM,Andhra Pradesh,129615,1939,217040
5022,10-08-2020,8:00 AM,Andhra Pradesh,138712,2036,227860
5057,11-08-2020,8:00 AM,Andhra Pradesh,145636,2116,235525
5092,12-08-2020,8:00 AM,Andhra Pradesh,154749,2203,244549
