,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
589,03-04-2020,6:00 PM,Arunachal Pradesh,0,0,1
620,04-04-2020,6:00 PM,Arunachal Pradesh,0,0,1
650,05-04-2020,6:00 PM,Arunachal Pradesh,0,0,1
680,06-04-2020,6:00 PM,Arunachal Pradesh,0,0,1
710,07-04-2020,6:00 PM,Arunachal Pradesh,0,0,1
741,08-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
772,09-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
803,10-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
834,11-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
865,12-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
896,13-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
928,14-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
961,15-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
994,16-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
1027,17-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
1060,18-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
1093,19-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
1126,20-04-2020,5:00 PM,Arunachal Pradesh,0,0,1
1159,21-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1192,22-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1224,23-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1256,24-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1288,25-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1320,26-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1352,27-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1384,28-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1416,29-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1448,30-04-2020,5:00 PM,Arunachal Pradesh,1,0,1
1480,01-05-2020,5:00 PM,Arunachal Pradesh,1,0,1
1512,02-05-2020,5:00 PM,Arunachal Pradesh,1,0,1
1544,03-05-2020,5:00 PM,Arunachal Pradesh,1,0,1
1576,04-05-2020,5:00 PM,Arunachal Pradesh,1,0,1
1608,05-05-2020,5:00 PM,Arunachal Pradesh,1,0,1
1640,06-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1673,07-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1706,08-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1739,09-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1772,10-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1805,11-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1838,12-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1871,13-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1904,14-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1937,15-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
1970,16-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2003,17-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2036,18-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2069,19-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2102,20-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2136,21-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2170,22-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2204,23-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2238,24-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2273,25-05-2020,8:00 AM,Arunachal Pradesh,1,0,1
2308,26-05-2020,8:00 AM,Arunachal Pradesh,1,0,2
2344,27-05-2020,8:00 AM,Arunachal Pradesh,1,0,2
2380,28-05-2020,8:00 AM,Arunachal Pradesh,1,0,2
2416,29-05-2020,8:00 AM,Arunachal Pradesh,1,0,3
2452,30-05-2020,8:00 AM,Arunachal Pradesh,1,0,3
2488,31-05-2020,8:00 AM,Arunachal Pradesh,1,0,4
2524,01-06-2020,8:00 AM,Arunachal Pradesh,1,0,4
2560,02-06-2020,8:00 AM,Arunachal Pradesh,1,0,22
2596,03-06-2020,8:00 AM,Arunachal Pradesh,1,0,22
2632,04-06-2020,8:00 AM,Arunachal Pradesh,1,0,38
2668,05-06-2020,8:00 AM,Arunachal Pradesh,1,0,42
2704,06-06-2020,8:00 AM,Arunachal Pradesh,1,0,45
2740,07-06-2020,8:00 AM,Arunachal Pradesh,1,0,47
2776,08-06-2020,8:00 AM,Arunachal Pradesh,1,0,51
2812,09-06-2020,8:00 AM,Arunachal Pradesh,1,0,51
2848,10-06-2020,8:00 AM,Arunachal Pradesh,1,0,57
2884,11-06-2020,8:00 AM,Arunachal Pradesh,2,0,57
2921,12-06-2020,8:00 AM,Arunachal Pradesh,4,0,61
