,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
531,01-04-2020,7:30 PM,Assam,0,0,1
560,02-04-2020,6:00 PM,Assam,0,0,5
590,03-04-2020,6:00 PM,Assam,0,0,16
621,04-04-2020,6:00 PM,Assam,0,0,24
651,05-04-2020,6:00 PM,Assam,0,0,26
681,06-04-2020,6:00 PM,Assam,0,0,26
711,07-04-2020,6:00 PM,Assam,0,0,26
742,08-04-2020,5:00 PM,Assam,0,0,27
773,09-04-2020,5:00 PM,Assam,0,0,28
804,10-04-2020,5:00 PM,Assam,0,0,29
835,11-04-2020,5:00 PM,Assam,0,1,29
866,12-04-2020,5:00 PM,Assam,0,1,29
897,13-04-2020,5:00 PM,Assam,0,1,31
929,14-04-2020,5:00 PM,Assam,0,1,31
962,15-04-2020,5:00 PM,Assam,0,1,33
995,16-04-2020,5:00 PM,Assam,5,1,33
1028,17-04-2020,5:00 PM,Assam,5,1,35
1061,18-04-2020,5:00 PM,Assam,9,1,35
1094,19-04-2020,5:00 PM,Assam,12,1,35
1127,20-04-2020,5:00 PM,Assam,17,1,35
1160,21-04-2020,5:00 PM,Assam,19,1,35
1193,22-04-2020,5:00 PM,Assam,19,1,35
1225,23-04-2020,5:00 PM,Assam,19,1,35
1257,24-04-2020,5:00 PM,Assam,19,1,36
1289,25-04-2020,5:00 PM,Assam,19,1,36
1321,26-04-2020,5:00 PM,Assam,19,1,36
1353,27-04-2020,5:00 PM,Assam,27,1,36
1385,28-04-2020,5:00 PM,Assam,27,1,38
1417,29-04-2020,5:00 PM,Assam,27,1,38
1449,30-04-2020,5:00 PM,Assam,29,1,42
1481,01-05-2020,5:00 PM,Assam,29,1,42
1513,02-05-2020,5:00 PM,Assam,32,1,43
1545,03-05-2020,5:00 PM,Assam,32,1,43
1577,04-05-2020,5:00 PM,Assam,32,1,43
1609,05-05-2020,5:00 PM,Assam,32,1,43
1641,06-05-2020,8:00 AM,Assam,32,1,43
1674,07-05-2020,8:00 AM,Assam,32,1,45
1707,08-05-2020,8:00 AM,Assam,34,1,54
1740,09-05-2020,8:00 AM,Assam,34,1,59
1773,10-05-2020,8:00 AM,Assam,34,2,63
1806,11-05-2020,8:00 AM,Assam,34,2,63
1839,12-05-2020,8:00 AM,Assam,34,2,65
1872,13-05-2020,8:00 AM,Assam,39,2,65
1905,14-05-2020,8:00 AM,Assam,39,2,80
1938,15-05-2020,8:00 AM,Assam,39,2,87
1971,16-05-2020,8:00 AM,Assam,41,2,90
2004,17-05-2020,8:00 AM,Assam,41,2,92
2037,18-05-2020,8:00 AM,Assam,41,2,101
2070,19-05-2020,8:00 AM,Assam,41,2,107
2103,20-05-2020,8:00 AM,Assam,41,4,142
2137,21-05-2020,8:00 AM,Assam,48,4,170
2171,22-05-2020,8:00 AM,Assam,54,4,203
2205,23-05-2020,8:00 AM,Assam,54,4,259
2239,24-05-2020,8:00 AM,Assam,55,4,329
2274,25-05-2020,8:00 AM,Assam,55,4,378
2309,26-05-2020,8:00 AM,Assam,62,4,526
2345,27-05-2020,8:00 AM,Assam,62,4,616
2381,28-05-2020,8:00 AM,Assam,87,4,781
2417,29-05-2020,8:00 AM,Assam,104,4,856
2453,30-05-2020,8:00 AM,Assam,125,4,1024
2489,31-05-2020,8:00 AM,Assam,163,4,1185
2525,01-06-2020,8:00 AM,Assam,185,4,1272
2561,02-06-2020,8:00 AM,Assam,277,4,1390
2597,03-06-2020,8:00 AM,Assam,324,4,1513
2633,04-06-2020,8:00 AM,Assam,413,4,1672
2669,05-06-2020,8:00 AM,Assam,442,4,1988
2705,06-06-2020,8:00 AM,Assam,498,4,2153
2741,07-06-2020,8:00 AM,Assam,547,4,2397
2777,08-06-2020,8:00 AM,Assam,615,4,2565
2813,09-06-2020,8:00 AM,Assam,665,4,2776
2849,10-06-2020,8:00 AM,Assam,1085,4,2937
2885,11-06-2020,8:00 AM,Assam,1249,4,3092
2922,12-06-2020,8:00 AM,Assam,1432,6,3319
2958,13-06-2020,8:00 AM,Assam,1537,8,3498
2994,14-06-2020,8:00 AM,Assam,1584,8,3718
3030,15-06-2020,8:00 AM,Assam,1960,8,4049
3066,16-06-2020,8:00 AM,Assam,2166,8,4158
3102,17-06-2020,8:00 AM,Assam,2166,8,4319
3138,18-06-2020,8:00 AM,Assam,2642,8,4605
3174,19-06-2020,8:00 AM,Assam,2654,9,4777
3210,20-06-2020,8:00 AM,Assam,3039,9,4904
3246,21-06-2020,8:00 AM,Assam,3039,9,4904
3282,22-06-2020,8:00 AM,Assam,3360,9,5388
3318,23-06-2020,8:00 AM,Assam,3521,9,5586
3354,24-06-2020,8:00 AM,Assam,3762,9,5831
3390,25-06-2020,8:00 AM,Assam,3958,9,6198
3426,26-06-2020,8:00 AM,Assam,4033,9,6321
3462,27-06-2020,8:00 AM,Assam,4259,9,6607
3498,28-06-2020,8:00 AM,Assam,4500,9,6816
3534,29-06-2020,8:00 AM,Assam,5088,10,7206
3570,30-06-2020,8:00 AM,Assam,5333,11,7752
3606,01-07-2020,8:00 AM,Assam,5647,12,8227
3642,02-07-2020,8:00 AM,Assam,5851,12,8582
3678,03-07-2020,8:00 AM,Assam,6106,12,9013
3714,04-07-2020,8:00 AM,Assam,6349,14,9673
3750,05-07-2020,8:00 AM,Assam,6657,14,10668
3786,06-07-2020,8:00 AM,Assam,7125,14,11388
3822,07-07-2020,8:00 AM,Assam,7882,14,12160
3858,08-07-2020,8:00 AM,Assam,8329,14,12522
3894,09-07-2020,8:00 AM,Assam,8729,16,13336
3930,10-07-2020,8:00 AM,Assam,8729,22,14032
3966,11-07-2020,8:00 AM,Assam,9147,27,14600
4002,12-07-2020,8:00 AM,Assam,9150,35,15536
4038,13-07-2020,8:00 AM,Assam,10426,35,16071
4074,14-07-2020,8:00 AM,Assam,10894,36,16806
4110,15-07-2020,8:00 AM,Assam,11416,40,17807
4146,16-07-2020,8:00 AM,Assam,12173,46,18666
4182,17-07-2020,8:00 AM,Assam,12888,48,19754
4218,18-07-2020,8:00 AM,Assam,14105,51,20646
4254,19-07-2020,8:00 AM,Assam,15165,53,22918
4289,20-07-2020,8:00 AM,Assam,16023,57,23999
4324,21-07-2020,8:00 AM,Assam,17095,58,25382
4359,22-07-2020,8:00 AM,Assam,18033,58,25382
4394,23-07-2020,8:00 AM,Assam,18033,64,26772
4429,24-07-2020,8:00 AM,Assam,20699,70,28791
4464,25-07-2020,8:00 AM,Assam,21761,76,29921
4499,26-07-2020,8:00 AM,Assam,23055,77,31086
4534,27-07-2020,8:00 AM,Assam,24040,79,32228
4569,28-07-2020,8:00 AM,Assam,25402,86,33576
4604,29-07-2020,8:00 AM,Assam,26618,88,34947
4639,30-07-2020,8:00 AM,Assam,27832,92,36295
4674,31-07-2020,8:00 AM,Assam,29080,94,38407
4709,01-08-2020,8:00 AM,Assam,30357,98,40269
4744,02-08-2020,8:00 AM,Assam,31442,101,41726
4779,03-08-2020,8:00 AM,Assam,32384,105,42904
4814,04-08-2020,8:00 AM,Assam,33428,109,45275
4849,05-08-2020,8:00 AM,Assam,34421,115,48161
4884,06-08-2020,8:00 AM,Assam,35892,121,50445
4919,07-08-2020,8:00 AM,Assam,37224,126,52817
4954,08-08-2020,8:00 AM,Assam,38809,132,55496
4989,09-08-2020,8:00 AM,Assam,40591,140,57714
5024,10-08-2020,8:00 AM,Assam,42325,145,58837
5059,11-08-2020,8:00 AM,Assam,43586,151,61737
5094,12-08-2020,8:00 AM,Assam,45073,155,64406
5129,13-08-2020,8:00 AM,Assam,47209,161,68999
5164,14-08-2020,8:00 AM,Assam,49383,169,71795
5199,15-08-2020,8:00 AM,Assam,51693,175,74501
5234,16-08-2020,8:00 AM,Assam,53286,182,75558
5269,17-08-2020,8:00 AM,Assam,55215,189,76875
5304,18-08-2020,8:00 AM,Assam,56734,197,79667
5339,19-08-2020,8:00 AM,Assam,58294,203,82201
5374,20-08-2020,8:00 AM,Assam,60348,213,84317
5409,21-08-2020,8:00 AM,Assam,63120,221,86052
5444,22-08-2020,8:00 AM,Assam,65596,227,87908
5479,23-08-2020,8:00 AM,Assam,67641,234,89468
5514,24-08-2020,8:00 AM,Assam,70900,242,90740
5549,25-08-2020,8:00 AM,Assam,73090,252,92619
5584,26-08-2020,8:00 AM,Assam,74814,260,94592
5619,27-08-2020,8:00 AM,Assam,76962,274,96771
5654,28-08-2020,8:00 AM,Assam,79307,278,98807
5689,29-08-2020,8:00 AM,Assam,81070,286,101367
5724,30-08-2020,8:00 AM,Assam,82510,289,103794
5759,31-08-2020,8:00 AM,Assam,83927,296,105774
5794,01-09-2020,8:00 AM,Assam,85461,306,109040
5829,02-09-2020,8:00 AM,Assam,86895,315,111724
5864,03-09-2020,8:00 AM,Assam,88729,323,115279
5899,04-09-2020,8:00 AM,Assam,90700,330,118333
5934,05-09-2020,8:00 AM,Assam,92720,345,121224
5969,06-09-2020,8:00 AM,Assam,95063,352,123922
6004,07-09-2020,8:00 AM,Assam,96826,360,125459
6039,08-09-2020,8:00 AM,Assam,99076,370,128244
6074,09-09-2020,8:00 AM,Assam,101239,378,130823
6109,10-09-2020,8:00 AM,Assam,103504,396,133066
6144,11-09-2020,8:00 AM,Assam,105701,414,135805
6179,12-09-2020,8:00 AM,Assam,108329,430,138339
6214,13-09-2020,8:00 AM,Assam,110885,453,140471
6249,14-09-2020,8:00 AM,Assam,113133,469,141763
6284,15-09-2020,8:00 AM,Assam,115054,482,144166
6319,16-09-2020,8:00 AM,Assam,116903,492,146575
6354,17-09-2020,8:00 AM,Assam,119367,511,148969
6389,18-09-2020,8:00 AM,Assam,121613,528,150349
6424,19-09-2020,8:00 AM,Assam,123687,540,152858
6459,20-09-2020,8:00 AM,Assam,125543,548,155453
6494,21-09-2020,8:00 AM,Assam,127338,562,156680
6529,22-09-2020,8:00 AM,Assam,129133,578,159320
6564,23-09-2020,8:00 AM,Assam,130950,586,161393
6599,24-09-2020,8:00 AM,Assam,132712,597,163491
6634,25-09-2020,8:00 AM,Assam,135144,608,165582
6669,26-09-2020,8:00 AM,Assam,136715,625,167374
6704,27-09-2020,8:00 AM,Assam,138310,638,169110
6739,28-09-2020,8:00 AM,Assam,139980,655,169985
6774,29-09-2020,8:00 AM,Assam,142300,667,173629
6809,30-09-2020,8:00 AM,Assam,144002,680,177221
6844,01-10-2020,8:00 AM,Assam,145618,697,180811
6879,02-10-2020,8:00 AM,Assam,147522,711,182396
6914,03-10-2020,8:00 AM,Assam,148963,721,183812
6949,04-10-2020,8:00 AM,Assam,150776,735,185444
6984,05-10-2020,8:00 AM,Assam,152127,749,186200
7019,06-10-2020,8:00 AM,Assam,153491,760,187718
7054,07-10-2020,8:00 AM,Assam,155077,778,188902
7089,08-10-2020,8:00 AM,Assam,157638,785,190209
7124,09-10-2020,8:00 AM,Assam,159836,794,191397
7159,10-10-2020,8:00 AM,Assam,161904,802,192416
7194,11-10-2020,8:00 AM,Assam,163355,811,193387
7229,12-10-2020,8:00 AM,Assam,164582,816,193783
7264,13-10-2020,8:00 AM,Assam,166039,826,195304
7299,14-10-2020,8:00 AM,Assam,167059,830,196786
7334,15-10-2020,8:00 AM,Assam,168072,834,198213
7369,16-10-2020,8:00 AM,Assam,169335,843,198982
7404,17-10-2020,8:00 AM,Assam,170265,853,199749
7439,18-10-2020,8:00 AM,Assam,171084,865,200391
7474,19-10-2020,8:00 AM,Assam,171683,868,200709
7509,20-10-2020,8:00 AM,Assam,173213,875,201407
7544,21-10-2020,8:00 AM,Assam,174414,884,202073
7579,22-10-2020,8:00 AM,Assam,176078,889,202774
7614,23-10-2020,8:00 AM,Assam,177662,896,203282
7649,24-10-2020,8:00 AM,Assam,179846,900,203709
7684,25-10-2020,8:00 AM,Assam,182794,902,203967
7719,26-10-2020,8:00 AM,Assam,185755,906,204171
7754,27-10-2020,8:00 AM,Assam,188587,908,204386
7789,28-10-2020,8:00 AM,Assam,191030,914,204789
7824,29-10-2020,8:00 AM,Assam,192517,917,205237
7859,30-10-2020,8:00 AM,Assam,193574,923,205635
7894,31-10-2020,8:00 AM,Assam,194668,926,206015
7929,01-11-2020,8:00 AM,Assam,196054,930,206351
7964,02-11-2020,8:00 AM,Assam,196784,931,206517
7999,03-11-2020,8:00 AM,Assam,197569,932,206982
8034,04-11-2020,8:00 AM,Assam,198042,934,207361
8069,05-11-2020,8:00 AM,Assam,198697,934,207741
8104,06-11-2020,8:00 AM,Assam,199458,934,208054
8139,07-11-2020,8:00 AM,Assam,200384,938,208389
8174,08-11-2020,8:00 AM,Assam,200939,940,208637
8209,09-11-2020,8:00 AM,Assam,201334,943,208789
8244,10-11-2020,8:00 AM,Assam,201842,947,209117
8279,11-11-2020,8:00 AM,Assam,202471,952,209388
8314,12-11-2020,8:00 AM,Assam,203308,954,209633
8349,13-11-2020,8:00 AM,Assam,204079,957,209835
8384,14-11-2020,8:00 AM,Assam,204721,958,210068
8419,15-11-2020,8:00 AM,Assam,205250,961,210175
8454,16-11-2020,8:00 AM,Assam,205639,963,210268
8489,17-11-2020,8:00 AM,Assam,206044,964,210454
8524,18-11-2020,8:00 AM,Assam,206401,966,210696
8559,19-11-2020,8:00 AM,Assam,206611,969,210865
8594,20-11-2020,8:00 AM,Assam,206878,969,211040
8629,21-11-2020,8:00 AM,Assam,207029,971,211204
8664,22-11-2020,8:00 AM,Assam,207222,973,211427
8699,23-11-2020,8:00 AM,Assam,207397,974,211513
8734,24-11-2020,8:00 AM,Assam,207528,975,211682
8769,25-11-2020,8:00 AM,Assam,207649,976,211839
8804,26-11-2020,8:00 AM,Assam,207766,978,212021
8839,27-11-2020,8:00 AM,Assam,207908,978,212171
8874,28-11-2020,8:00 AM,Assam,208068,980,212320
8909,29-11-2020,8:00 AM,Assam,208190,980,212483
8944,30-11-2020,8:00 AM,Assam,208286,981,212617
8979,01-12-2020,8:00 AM,Assam,208396,981,212776
9014,02-12-2020,8:00 AM,Assam,208531,981,212998
9049,03-12-2020,8:00 AM,Assam,208669,983,213171
9084,04-12-2020,8:00 AM,Assam,208846,985,213336
9119,05-12-2020,8:00 AM,Assam,208967,987,213505
9154,06-12-2020,8:00 AM,Assam,209130,989,213662
9189,07-12-2020,8:00 AM,Assam,209214,993,213759
9224,08-12-2020,8:00 AM,Assam,209345,995,213925
9259,09-12-2020,8:00 AM,Assam,209447,997,214019
9294,10-12-2020,8:00 AM,Assam,209625,998,214165
9329,11-12-2020,8:00 AM,Assam,209790,999,214305
9365,12-12-2020,8:00 AM,Assam,209939,1000,214432
9401,13-12-2020,8:00 AM,Assam,210057,1000,214584
9437,14-12-2020,8:00 AM,Assam,210174,1002,214657
9473,15-12-2020,8:00 AM,Assam,210299,1003,214803
9509,16-12-2020,8:00 AM,Assam,210401,1004,214945
9545,17-12-2020,8:00 AM,Assam,210491,1007,215042
9581,18-12-2020,8:00 AM,Assam,210615,1010,215148
9617,19-12-2020,8:00 AM,Assam,210700,1011,215250
9653,20-12-2020,8:00 AM,Assam,210808,1012,215346
9689,21-12-2020,8:00 AM,Assam,210872,1017,215409
9725,22-12-2020,8:00 AM,Assam,210965,1020,215510
9761,23-12-2020,8:00 AM,Assam,211078,1024,215585
9797,24-12-2020,8:00 AM,Assam,211181,1029,215680
9833,25-12-2020,8:00 AM,Assam,211286,1033,215775
9869,26-12-2020,8:00 AM,Assam,211381,1033,215836
9905,27-12-2020,8:00 AM,Assam,211486,1035,215910
9941,28-12-2020,8:00 AM,Assam,211546,1037,215939
9977,29-12-2020,8:00 AM,Assam,211636,1038,215997
10013,30-12-2020,8:00 AM,Assam,211723,1040,216063
10049,31-12-2020,8:00 AM,Assam,211838,1043,216139
10085,01-01-2021,8:00 AM,Assam,211910,1045,216211
10121,02-01-2021,8:00 AM,Assam,211992,1049,216251
10157,03-01-2021,8:00 AM,Assam,212072,1051,216289
10193,04-01-2021,8:00 AM,Assam,212132,1052,216304
10229,05-01-2021,8:00 AM,Assam,212199,1054,216340
10265,06-01-2021,8:00 AM,Assam,212249,1057,216381
10301,07-01-2021,8:00 AM,Assam,212328,1057,216424
10337,08-01-2021,8:00 AM,Assam,212376,1059,216481
10373,09-01-2021,8:00 AM,Assam,212430,1059,216531
10409,10-01-2021,8:00 AM,Assam,212486,1060,216565
10445,11-01-2021,8:00 AM,Assam,212515,1061,216590
10481,12-01-2021,8:00 AM,Assam,212579,1064,216635
10517,13-01-2021,8:00 AM,Assam,212632,1064,216690
10553,14-01-2021,8:00 AM,Assam,212675,1065,216743
10589,15-01-2021,8:00 AM,Assam,212706,1065,216762
10625,16-01-2021,8:00 AM,Assam,212748,1066,216777
10661,17-01-2021,8:00 AM,Assam,212809,1070,216809
10697,18-01-2021,8:00 AM,Assam,212839,1073,216831
10733,19-01-2021,8:00 AM,Assam,212978,1075,216864
10769,20-01-2021,8:00 AM,Assam,213084,1075,216887
10805,21-01-2021,8:00 AM,Assam,213179,1077,216919
10841,22-01-2021,8:00 AM,Assam,213295,1077,216940
10877,23-01-2021,8:00 AM,Assam,213398,1077,216957
10913,24-01-2021,8:00 AM,Assam,213492,1077,216976
10949,25-01-2021,8:00 AM,Assam,213591,1078,216992
10985,26-01-2021,8:00 AM,Assam,213674,1078,217017
11021,27-01-2021,8:00 AM,Assam,213763,1079,217025
11057,28-01-2021,8:00 AM,Assam,213857,1081,217042
11093,29-01-2021,8:00 AM,Assam,213952,1081,217071
11129,30-01-2021,8:00 AM,Assam,214054,1081,217091
11165,31-01-2021,8:00 AM,Assam,214124,1082,217120
11201,01-02-2021,8:00 AM,Assam,214178,1082,217141
11237,02-02-2021,8:00 AM,Assam,214248,1083,217154
11273,03-02-2021,8:00 AM,Assam,214285,1083,217161
11309,04-02-2021,8:00 AM,Assam,214344,1083,217175
11345,05-02-2021,8:00 AM,Assam,214374,1084,217186
11381,06-02-2021,8:00 AM,Assam,214403,1084,217193
11417,07-02-2021,8:00 AM,Assam,214423,1084,217202
11453,08-02-2021,8:00 AM,Assam,214447,1084,217210
11489,09-02-2021,8:00 AM,Assam,214473,1085,217229
11525,10-02-2021,8:00 AM,Assam,214490,1086,217256
11561,11-02-2021,8:00 AM,Assam,214507,1086,217267
11597,12-02-2021,8:00 AM,Assam,214530,1086,217277
11633,13-02-2021,8:00 AM,Assam,214542,1086,217285
11669,14-02-2021,8:00 AM,Assam,214570,1087,217288
11705,15-02-2021,8:00 AM,Assam,214585,1087,217293
11741,16-02-2021,8:00 AM,Assam,214601,1089,217304
11777,17-02-2021,8:00 AM,Assam,214615,1089,217309
11813,18-02-2021,8:00 AM,Assam,214628,1090,217330
11849,19-02-2021,8:00 AM,Assam,214639,1091,217344
11885,20-02-2021,8:00 AM,Assam,214658,1091,217367
11921,21-02-2021,8:00 AM,Assam,214676,1091,217383
11957,22-02-2021,8:00 AM,Assam,214694,1091,217392
11993,23-02-2021,8:00 AM,Assam,214712,1091,217406
12029,24-02-2021,8:00 AM,Assam,214732,1091,217427
12065,25-02-2021,8:00 AM,Assam,214757,1091,217454
12101,26-02-2021,8:00 AM,Assam,214770,1091,217484
12137,27-02-2021,8:00 AM,Assam,214792,1092,217518
12173,28-02-2021,8:00 AM,Assam,214815,1092,217527
12209,01-03-2021,8:00 AM,Assam,214830,1092,216445
12245,02-03-2021,8:00 AM,Assam,214846,1093,217570
12281,03-03-2021,8:00 AM,Assam,214860,1093,217585
12317,04-03-2021,8:00 AM,Assam,214879,1093,217593
12353,05-03-2021,8:00 AM,Assam,214894,1093,217613
12389,06-03-2021,8:00 AM,Assam,214914,1093,217642
12425,07-03-2021,8:00 AM,Assam,214930,1094,217649
12461,08-03-2021,8:00 AM,Assam,214947,1094,217668
12497,09-03-2021,8:00 AM,Assam,214964,1094,217682
12533,10-03-2021,8:00 AM,Assam,214979,1096,217704
12569,11-03-2021,8:00 AM,Assam,214979,1096,217704
12605,12-03-2021,8:00 AM,Assam,214997,1096,217726
12641,13-03-2021,8:00 AM,Assam,215041,1097,217766
12677,14-03-2021,8:00 AM,Assam,215063,1098,217780
12713,15-03-2021,8:00 AM,Assam,215080,1098,217797
12749,16-03-2021,8:00 AM,Assam,215106,1099,217817
12785,17-03-2021,8:00 AM,Assam,215127,1099,217839
12821,18-03-2021,8:00 AM,Assam,215146,1099,217872
12857,19-03-2021,8:00 AM,Assam,215160,1100,217905
12893,20-03-2021,8:00 AM,Assam,215183,1100,217924
12929,21-03-2021,8:00 AM,Assam,215201,1100,217951
12965,22-03-2021,8:00 AM,Assam,215213,1100,217976
13001,23-03-2021,8:00 AM,Assam,215235,1101,218006
13037,24-03-2021,8:00 AM,Assam,215262,1102,218058
13073,25-03-2021,8:00 AM,Assam,215277,1103,218099
13109,26-03-2021,8:00 AM,Assam,215299,1104,218139
13145,27-03-2021,8:00 AM,Assam,215325,1104,218176
13181,28-03-2021,8:00 AM,Assam,215348,1104,218222
13217,29-03-2021,8:00 AM,Assam,215366,1104,218270
13253,30-03-2021,8:00 AM,Assam,215390,1104,218310
13289,31-03-2021,8:00 AM,Assam,215413,1104,218363
13325,01-04-2021,8:00 AM,Assam,215445,1105,218412
13361,02-04-2021,8:00 AM,Assam,215479,1107,218470
13397,03-04-2021,8:00 AM,Assam,215517,1107,218533
13433,04-04-2021,8:00 AM,Assam,215549,1107,218601
13469,05-04-2021,8:00 AM,Assam,215597,1109,218670
13505,06-04-2021,8:00 AM,Assam,215657,1109,218740
13541,07-04-2021,8:00 AM,Assam,215691,1111,218832
13577,08-04-2021,8:00 AM,Assam,215722,1111,219027
13613,09-04-2021,8:00 AM,Assam,215790,1112,219272
13649,10-04-2021,8:00 AM,Assam,215828,1115,219553
13685,11-04-2021,8:00 AM,Assam,215907,1117,219958
13721,12-04-2021,8:00 AM,Assam,215943,1118,220310
13757,13-04-2021,8:00 AM,Assam,216041,1118,220893
13793,14-04-2021,8:00 AM,Assam,216093,1119,221483
13829,15-04-2021,8:00 AM,Assam,216199,1122,221868
13865,16-04-2021,8:00 AM,Assam,216284,1123,222367
13901,17-04-2021,8:00 AM,Assam,216397,1127,222940
