,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
271,22-03-2020,6:00 PM,Bihar,0,1,2
294,23-03-2020,6:00 PM,Bihar,0,1,2
317,24-03-2020,6:00 PM,Bihar,0,1,3
341,25-03-2020,6:00 PM,Bihar,0,1,4
367,26-03-2020,6:00 PM,Bihar,0,1,6
394,27-03-2020,10:00 AM,Bihar,0,1,6
421,28-03-2020,6:00 PM,Bihar,0,1,9
448,29-03-2020,7:30 PM,Bihar,0,1,11
475,30-03-2020,9:30 PM,Bihar,0,1,15
503,31-03-2020,8:30 PM,Bihar,0,1,15
532,01-04-2020,7:30 PM,Bihar,0,1,23
561,02-04-2020,6:00 PM,Bihar,0,1,24
591,03-04-2020,6:00 PM,Bihar,0,1,29
622,04-04-2020,6:00 PM,Bihar,0,1,30
652,05-04-2020,6:00 PM,Bihar,0,1,30
682,06-04-2020,6:00 PM,Bihar,0,1,32
712,07-04-2020,6:00 PM,Bihar,0,1,32
743,08-04-2020,5:00 PM,Bihar,0,1,38
774,09-04-2020,5:00 PM,Bihar,0,1,39
805,10-04-2020,5:00 PM,Bihar,0,1,60
836,11-04-2020,5:00 PM,Bihar,0,1,60
867,12-04-2020,5:00 PM,Bihar,19,1,64
898,13-04-2020,5:00 PM,Bihar,26,1,64
930,14-04-2020,5:00 PM,Bihar,26,1,66
963,15-04-2020,5:00 PM,Bihar,29,1,70
996,16-04-2020,5:00 PM,Bihar,29,1,74
1029,17-04-2020,5:00 PM,Bihar,37,1,83
1062,18-04-2020,5:00 PM,Bihar,37,2,85
1095,19-04-2020,5:00 PM,Bihar,37,2,86
1128,20-04-2020,5:00 PM,Bihar,42,2,96
1161,21-04-2020,5:00 PM,Bihar,42,2,114
1194,22-04-2020,5:00 PM,Bihar,46,2,126
1226,23-04-2020,5:00 PM,Bihar,46,2,148
1258,24-04-2020,5:00 PM,Bihar,46,2,176
1290,25-04-2020,5:00 PM,Bihar,46,2,228
1322,26-04-2020,5:00 PM,Bihar,46,2,251
1354,27-04-2020,5:00 PM,Bihar,56,2,277
1386,28-04-2020,5:00 PM,Bihar,57,2,346
1418,29-04-2020,5:00 PM,Bihar,64,2,383
1450,30-04-2020,5:00 PM,Bihar,65,2,403
1482,01-05-2020,5:00 PM,Bihar,82,2,426
1514,02-05-2020,5:00 PM,Bihar,98,3,471
1546,03-05-2020,5:00 PM,Bihar,117,4,482
1578,04-05-2020,5:00 PM,Bihar,125,4,517
1610,05-05-2020,5:00 PM,Bihar,130,4,529
1642,06-05-2020,8:00 AM,Bihar,142,4,536
1675,07-05-2020,8:00 AM,Bihar,188,4,542
1708,08-05-2020,8:00 AM,Bihar,246,5,550
1741,09-05-2020,8:00 AM,Bihar,297,5,571
1774,10-05-2020,8:00 AM,Bihar,322,5,591
1807,11-05-2020,8:00 AM,Bihar,365,6,696
1840,12-05-2020,8:00 AM,Bihar,377,6,747
1873,13-05-2020,8:00 AM,Bihar,383,6,831
1906,14-05-2020,8:00 AM,Bihar,388,7,940
1939,15-05-2020,8:00 AM,Bihar,411,7,994
1972,16-05-2020,8:00 AM,Bihar,438,7,1018
2005,17-05-2020,8:00 AM,Bihar,453,7,1179
2038,18-05-2020,8:00 AM,Bihar,475,8,1262
