,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
2133,20-05-2020,8:00 AM,Cases being reassigned to states,0,0,1096
2167,21-05-2020,8:00 AM,Cases being reassigned to states,0,0,1403
2201,22-05-2020,8:00 AM,Cases being reassigned to states,0,0,1620
2235,23-05-2020,8:00 AM,Cases being reassigned to states,0,0,1899
2270,24-05-2020,8:00 AM,Cases being reassigned to states,0,0,2338
2305,25-05-2020,8:00 AM,Cases being reassigned to states,0,0,2642
2341,26-05-2020,8:00 AM,Cases being reassigned to states,0,0,2970
2377,27-05-2020,8:00 AM,Cases being reassigned to states,0,0,4013
2413,28-05-2020,8:00 AM,Cases being reassigned to states,0,0,4332
2449,29-05-2020,8:00 AM,Cases being reassigned to states,0,0,4673
2485,30-05-2020,8:00 AM,Cases being reassigned to states,0,0,5043
2521,31-05-2020,8:00 AM,Cases being reassigned to states,0,0,5491
2557,01-06-2020,8:00 AM,Cases being reassigned to states,0,0,5630
2593,02-06-2020,8:00 AM,Cases being reassigned to states,0,0,6414
2629,03-06-2020,8:00 AM,Cases being reassigned to states,0,0,7123
2665,04-06-2020,8:00 AM,Cases being reassigned to states,0,0,7483
2701,05-06-2020,8:00 AM,Cases being reassigned to states,0,0,7610
2737,06-06-2020,8:00 AM,Cases being reassigned to states,0,0,8192
2773,07-06-2020,8:00 AM,Cases being reassigned to states,0,0,8605
2809,08-06-2020,8:00 AM,Cases being reassigned to states,0,0,9189
2845,09-06-2020,8:00 AM,Cases being reassigned to states,0,0,8803
2881,10-06-2020,8:00 AM,Cases being reassigned to states,0,0,9227
2918,11-06-2020,8:00 AM,Cases being reassigned to states,0,0,8931
2954,12-06-2020,8:00 AM,Cases being reassigned to states,0,0,8315
2990,13-06-2020,8:00 AM,Cases being reassigned to states,0,0,7984
3026,14-06-2020,8:00 AM,Cases being reassigned to states,0,0,7436
3062,15-06-2020,8:00 AM,Cases being reassigned to states,0,0,6972
3098,16-06-2020,8:00 AM,Cases being reassigned to states,0,0,7684
3134,17-06-2020,8:00 AM,Cases being reassigned to states,0,0,8273
3170,18-06-2020,8:00 AM,Cases being reassigned to states,0,0,8703
3206,19-06-2020,8:00 AM,Cases being reassigned to states,0,0,8927
3242,20-06-2020,8:00 AM,Cases being reassigned to states,0,0,9265
3278,21-06-2020,8:00 AM,Cases being reassigned to states,0,0,9127
3314,22-06-2020,8:00 AM,Cases being reassigned to states,0,0,7832
3350,23-06-2020,8:00 AM,Cases being reassigned to states,0,0,8015
3386,24-06-2020,8:00 AM,Cases being reassigned to states,0,0,8141
3422,25-06-2020,8:00 AM,Cases being reassigned to states,0,0,8493
3458,26-06-2020,8:00 AM,Cases being reassigned to states,0,0,8123
3494,27-06-2020,8:00 AM,Cases being reassigned to states,0,0,8023
3530,28-06-2020,8:00 AM,Cases being reassigned to states,0,0,7839
3566,29-06-2020,8:00 AM,Cases being reassigned to states,0,0,7285
3602,30-06-2020,8:00 AM,Cases being reassigned to states,0,0,7004
3638,01-07-2020,8:00 AM,Cases being reassigned to states,0,0,6915
3674,02-07-2020,8:00 AM,Cases being reassigned to states,0,0,6832
3710,03-07-2020,8:00 AM,Cases being reassigned to states,0,0,6031
3746,04-07-2020,8:00 AM,Cases being reassigned to states,0,0,4999
3782,05-07-2020,8:00 AM,Cases being reassigned to states,0,0,4629
3818,06-07-2020,8:00 AM,Cases being reassigned to states,0,0,4913
3854,07-07-2020,8:00 AM,Cases being reassigned to states,0,0,5034
3890,08-07-2020,8:00 AM,Cases being reassigned to states,0,0,5018
3926,09-07-2020,8:00 AM,Cases being reassigned to states,0,0,4385
3962,10-07-2020,8:00 AM,Cases being reassigned to states,0,0,4161
3998,11-07-2020,8:00 AM,Cases being reassigned to states,0,0,3416
4034,12-07-2020,8:00 AM,Cases being reassigned to states,0,0,3024
4070,13-07-2020,8:00 AM,Cases being reassigned to states,0,0,2358
4106,14-07-2020,8:00 AM,Cases being reassigned to states,0,0,2179
4142,15-07-2020,8:00 AM,Cases being reassigned to states,0,0,1524
4178,16-07-2020,8:00 AM,Cases being reassigned to states,0,0,1285
4214,17-07-2020,8:00 AM,Cases being reassigned to states,0,0,531
4250,18-07-2020,8:00 AM,Cases being reassigned to states,0,0,163
