,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
222,19-03-2020,6:00 PM,Chandigarh,0,0,1
242,20-03-2020,6:00 PM,Chandigarh,0,0,1
264,21-03-2020,6:00 PM,Chandigarh,0,0,1
287,22-03-2020,6:00 PM,Chandigarh,0,0,5
310,23-03-2020,6:00 PM,Chandigarh,0,0,6
334,24-03-2020,6:00 PM,Chandigarh,0,0,7
359,25-03-2020,6:00 PM,Chandigarh,0,0,7
368,26-03-2020,6:00 PM,Chandigarh,0,0,7
395,27-03-2020,10:00 AM,Chandigarh,0,0,7
422,28-03-2020,6:00 PM,Chandigarh,0,0,8
449,29-03-2020,7:30 PM,Chandigarh,0,0,8
476,30-03-2020,9:30 PM,Chandigarh,0,0,8
504,31-03-2020,8:30 PM,Chandigarh,0,0,13
533,01-04-2020,7:30 PM,Chandigarh,0,0,16
562,02-04-2020,6:00 PM,Chandigarh,0,0,16
592,03-04-2020,6:00 PM,Chandigarh,0,0,18
623,04-04-2020,6:00 PM,Chandigarh,0,0,18
653,05-04-2020,6:00 PM,Chandigarh,0,0,18
683,06-04-2020,6:00 PM,Chandigarh,0,0,18
713,07-04-2020,6:00 PM,Chandigarh,7,0,18
744,08-04-2020,5:00 PM,Chandigarh,7,0,18
775,09-04-2020,5:00 PM,Chandigarh,7,0,18
806,10-04-2020,5:00 PM,Chandigarh,7,0,18
837,11-04-2020,5:00 PM,Chandigarh,7,0,18
868,12-04-2020,5:00 PM,Chandigarh,7,0,19
899,13-04-2020,5:00 PM,Chandigarh,7,0,21
931,14-04-2020,5:00 PM,Chandigarh,7,0,21
964,15-04-2020,5:00 PM,Chandigarh,7,0,21
997,16-04-2020,5:00 PM,Chandigarh,7,0,21
1030,17-04-2020,5:00 PM,Chandigarh,9,0,21
1063,18-04-2020,5:00 PM,Chandigarh,9,0,21
1096,19-04-2020,5:00 PM,Chandigarh,10,0,23
1129,20-04-2020,5:00 PM,Chandigarh,13,0,26
1162,21-04-2020,5:00 PM,Chandigarh,13,0,26
1195,22-04-2020,5:00 PM,Chandigarh,14,0,27
1227,23-04-2020,5:00 PM,Chandigarh,14,0,27
1259,24-04-2020,5:00 PM,Chandigarh,14,0,27
1291,25-04-2020,5:00 PM,Chandigarh,15,0,28
1323,26-04-2020,5:00 PM,Chandigarh,17,0,30
1355,27-04-2020,5:00 PM,Chandigarh,17,0,30
1387,28-04-2020,5:00 PM,Chandigarh,17,0,40
1419,29-04-2020,5:00 PM,Chandigarh,17,0,56
1451,30-04-2020,5:00 PM,Chandigarh,17,0,56
