,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
210,19-03-2020,6:00 PM,Chhattisgarh,0,0,1
229,20-03-2020,6:00 PM,Chhattisgarh,0,0,1
249,21-03-2020,6:00 PM,Chhattisgarh,0,0,1
272,22-03-2020,6:00 PM,Chhattisgarh,0,0,1
295,23-03-2020,6:00 PM,Chhattisgarh,0,0,1
318,24-03-2020,6:00 PM,Chhattisgarh,0,0,1
342,25-03-2020,6:00 PM,Chhattisgarh,0,0,1
369,26-03-2020,6:00 PM,Chhattisgarh,0,0,6
396,27-03-2020,10:00 AM,Chhattisgarh,0,0,6
423,28-03-2020,6:00 PM,Chhattisgarh,0,0,6
450,29-03-2020,7:30 PM,Chhattisgarh,0,0,7
477,30-03-2020,9:30 PM,Chhattisgarh,0,0,7
505,31-03-2020,8:30 PM,Chhattisgarh,0,0,8
534,01-04-2020,7:30 PM,Chhattisgarh,2,0,9
563,02-04-2020,6:00 PM,Chhattisgarh,2,0,9
593,03-04-2020,6:00 PM,Chhattisgarh,3,0,9
624,04-04-2020,6:00 PM,Chhattisgarh,3,0,9
654,05-04-2020,6:00 PM,Chhattisgarh,3,0,9
684,06-04-2020,6:00 PM,Chhattisgarh,8,0,10
714,07-04-2020,6:00 PM,Chhattisgarh,9,0,10
745,08-04-2020,5:00 PM,Chhattisgarh,9,0,10
776,09-04-2020,5:00 PM,Chhattisgarh,9,0,10
807,10-04-2020,5:00 PM,Chhattisgarh,9,0,10
838,11-04-2020,5:00 PM,Chhattisgarh,9,0,18
869,12-04-2020,5:00 PM,Chhattisgarh,10,0,25
900,13-04-2020,5:00 PM,Chhattisgarh,10,0,31
932,14-04-2020,5:00 PM,Chhattisgarh,10,0,31
965,15-04-2020,5:00 PM,Chhattisgarh,13,0,33
998,16-04-2020,5:00 PM,Chhattisgarh,17,0,33
1031,17-04-2020,5:00 PM,Chhattisgarh,23,0,36
1064,18-04-2020,5:00 PM,Chhattisgarh,24,0,36
1097,19-04-2020,5:00 PM,Chhattisgarh,24,0,36
1130,20-04-2020,5:00 PM,Chhattisgarh,25,0,36
1163,21-04-2020,5:00 PM,Chhattisgarh,25,0,36
1196,22-04-2020,5:00 PM,Chhattisgarh,26,0,36
1228,23-04-2020,5:00 PM,Chhattisgarh,28,0,36
1260,24-04-2020,5:00 PM,Chhattisgarh,28,0,36
1292,25-04-2020,5:00 PM,Chhattisgarh,30,0,36
1324,26-04-2020,5:00 PM,Chhattisgarh,32,0,37
1356,27-04-2020,5:00 PM,Chhattisgarh,32,0,37
1388,28-04-2020,5:00 PM,Chhattisgarh,32,0,37
1420,29-04-2020,5:00 PM,Chhattisgarh,34,0,38
1452,30-04-2020,5:00 PM,Chhattisgarh,36,0,38
1484,01-05-2020,5:00 PM,Chhattisgarh,36,0,40
1516,02-05-2020,5:00 PM,Chhattisgarh,36,0,43
1548,03-05-2020,5:00 PM,Chhattisgarh,36,0,43
1580,04-05-2020,5:00 PM,Chhattisgarh,36,0,57
1612,05-05-2020,5:00 PM,Chhattisgarh,36,0,58
1644,06-05-2020,8:00 AM,Chhattisgarh,36,0,59
1677,07-05-2020,8:00 AM,Chhattisgarh,36,0,59
1710,08-05-2020,8:00 AM,Chhattisgarh,38,0,59
1743,09-05-2020,8:00 AM,Chhattisgarh,38,0,59
1776,10-05-2020,8:00 AM,Chhattisgarh,43,0,59
1809,11-05-2020,8:00 AM,Chhattisgarh,49,0,59
1842,12-05-2020,8:00 AM,Chhattisgarh,53,0,59
1875,13-05-2020,8:00 AM,Chhattisgarh,54,0,59
1908,14-05-2020,8:00 AM,Chhattisgarh,55,0,59
1941,15-05-2020,8:00 AM,Chhattisgarh,56,0,60
1974,16-05-2020,8:00 AM,Chhattisgarh,56,0,66
2007,17-05-2020,8:00 AM,Chhattisgarh,56,0,67
2040,18-05-2020,8:00 AM,Chhattisgarh,59,0,86
2073,19-05-2020,8:00 AM,Chhattisgarh,59,0,93
2106,20-05-2020,8:00 AM,Chhattisgarh,59,0,101
2140,21-05-2020,8:00 AM,Chhattisgarh,59,0,115
2174,22-05-2020,8:00 AM,Chhattisgarh,59,0,128
2208,23-05-2020,8:00 AM,Chhattisgarh,62,0,172
2242,24-05-2020,8:00 AM,Chhattisgarh,64,0,214
2277,25-05-2020,8:00 AM,Chhattisgarh,67,0,252
2312,26-05-2020,8:00 AM,Chhattisgarh,72,0,291
2348,27-05-2020,8:00 AM,Chhattisgarh,79,0,361
2384,28-05-2020,8:00 AM,Chhattisgarh,83,0,369
2420,29-05-2020,8:00 AM,Chhattisgarh,83,0,399
2456,30-05-2020,8:00 AM,Chhattisgarh,100,1,415
2492,31-05-2020,8:00 AM,Chhattisgarh,102,1,447
2528,01-06-2020,8:00 AM,Chhattisgarh,115,1,498
2564,02-06-2020,8:00 AM,Chhattisgarh,122,1,547
2600,03-06-2020,8:00 AM,Chhattisgarh,130,1,564
2636,04-06-2020,8:00 AM,Chhattisgarh,188,2,668
2672,05-06-2020,8:00 AM,Chhattisgarh,213,2,756
2708,06-06-2020,8:00 AM,Chhattisgarh,244,2,879
2744,07-06-2020,8:00 AM,Chhattisgarh,266,4,923
2780,08-06-2020,8:00 AM,Chhattisgarh,283,4,1073
2816,09-06-2020,8:00 AM,Chhattisgarh,308,4,1160
2852,10-06-2020,8:00 AM,Chhattisgarh,386,6,1240
2888,11-06-2020,8:00 AM,Chhattisgarh,402,6,1262
2925,12-06-2020,8:00 AM,Chhattisgarh,447,6,1398
2961,13-06-2020,8:00 AM,Chhattisgarh,550,6,1429
2997,14-06-2020,8:00 AM,Chhattisgarh,631,6,1512
3033,15-06-2020,8:00 AM,Chhattisgarh,763,8,1662
3069,16-06-2020,8:00 AM,Chhattisgarh,890,8,1756
3105,17-06-2020,8:00 AM,Chhattisgarh,1036,9,1781
3141,18-06-2020,8:00 AM,Chhattisgarh,1180,10,1864
3177,19-06-2020,8:00 AM,Chhattisgarh,1228,10,1946
3213,20-06-2020,8:00 AM,Chhattisgarh,1331,10,2028
3249,21-06-2020,8:00 AM,Chhattisgarh,1394,11,2041
3285,22-06-2020,8:00 AM,Chhattisgarh,1447,11,2275
3321,23-06-2020,8:00 AM,Chhattisgarh,1513,12,2303
3357,24-06-2020,8:00 AM,Chhattisgarh,1553,12,2362
3393,25-06-2020,8:00 AM,Chhattisgarh,1627,12,2419
3429,26-06-2020,8:00 AM,Chhattisgarh,1755,12,2452
3465,27-06-2020,8:00 AM,Chhattisgarh,1914,13,2545
3501,28-06-2020,8:00 AM,Chhattisgarh,1914,13,2545
3537,29-06-2020,8:00 AM,Chhattisgarh,2091,13,2662
3573,30-06-2020,8:00 AM,Chhattisgarh,2173,13,2761
3609,01-07-2020,8:00 AM,Chhattisgarh,2250,13,2860
3645,02-07-2020,8:00 AM,Chhattisgarh,2303,14,2940
3681,03-07-2020,8:00 AM,Chhattisgarh,2385,14,3013
3717,04-07-2020,8:00 AM,Chhattisgarh,2437,14,3065
3753,05-07-2020,8:00 AM,Chhattisgarh,2549,14,3161
3789,06-07-2020,8:00 AM,Chhattisgarh,2601,14,3207
3825,07-07-2020,8:00 AM,Chhattisgarh,2667,14,3305
3861,08-07-2020,8:00 AM,Chhattisgarh,2751,14,3415
3897,09-07-2020,8:00 AM,Chhattisgarh,2835,14,3525
3933,10-07-2020,8:00 AM,Chhattisgarh,2903,15,3675
3969,11-07-2020,8:00 AM,Chhattisgarh,3028,17,3767
4005,12-07-2020,8:00 AM,Chhattisgarh,3070,17,3897
4041,13-07-2020,8:00 AM,Chhattisgarh,3153,19,4059
4077,14-07-2020,8:00 AM,Chhattisgarh,3202,19,4217
4113,15-07-2020,8:00 AM,Chhattisgarh,3275,20,4379
4149,16-07-2020,8:00 AM,Chhattisgarh,3324,20,4539
4185,17-07-2020,8:00 AM,Chhattisgarh,3451,21,4732
4221,18-07-2020,8:00 AM,Chhattisgarh,3512,23,4964
4257,19-07-2020,8:00 AM,Chhattisgarh,3658,24,5233
4292,20-07-2020,8:00 AM,Chhattisgarh,3775,24,5407
4327,21-07-2020,8:00 AM,Chhattisgarh,3944,25,5561
4362,22-07-2020,8:00 AM,Chhattisgarh,4114,29,5729
4397,23-07-2020,8:00 AM,Chhattisgarh,4230,29,5968
4432,24-07-2020,8:00 AM,Chhattisgarh,4377,30,6254
4467,25-07-2020,8:00 AM,Chhattisgarh,4567,36,6731
4502,26-07-2020,8:00 AM,Chhattisgarh,4683,39,7087
4537,27-07-2020,8:00 AM,Chhattisgarh,4944,43,7450
4572,28-07-2020,8:00 AM,Chhattisgarh,5172,44,7745
4607,29-07-2020,8:00 AM,Chhattisgarh,5439,46,8257
4642,30-07-2020,8:00 AM,Chhattisgarh,5636,48,8539
4677,31-07-2020,8:00 AM,Chhattisgarh,5921,51,8761
4712,01-08-2020,8:00 AM,Chhattisgarh,6230,53,9086
4747,02-08-2020,8:00 AM,Chhattisgarh,6610,55,9385
4782,03-08-2020,8:00 AM,Chhattisgarh,6991,58,9531
4817,04-08-2020,8:00 AM,Chhattisgarh,7256,61,9779
4852,05-08-2020,8:00 AM,Chhattisgarh,7613,69,10202
4887,06-08-2020,8:00 AM,Chhattisgarh,7871,71,10407
4922,07-08-2020,8:00 AM,Chhattisgarh,8088,77,10932
4957,08-08-2020,8:00 AM,Chhattisgarh,8319,87,11408
4992,09-08-2020,8:00 AM,Chhattisgarh,8582,89,11743
5027,10-08-2020,8:00 AM,Chhattisgarh,8809,96,12148
5062,11-08-2020,8:00 AM,Chhattisgarh,9013,99,12448
5097,12-08-2020,8:00 AM,Chhattisgarh,9239,104,12929
5132,13-08-2020,8:00 AM,Chhattisgarh,9508,109,13498
5167,14-08-2020,8:00 AM,Chhattisgarh,9658,114,13937
5202,15-08-2020,8:00 AM,Chhattisgarh,9857,130,14481
5237,16-08-2020,8:00 AM,Chhattisgarh,10046,134,14987
5272,17-08-2020,8:00 AM,Chhattisgarh,10235,141,15471
5307,18-08-2020,8:00 AM,Chhattisgarh,10598,150,16025
5342,19-08-2020,8:00 AM,Chhattisgarh,10847,158,16833
5377,20-08-2020,8:00 AM,Chhattisgarh,11185,161,17485
5412,21-08-2020,8:00 AM,Chhattisgarh,11739,168,18501
5447,22-08-2020,8:00 AM,Chhattisgarh,12022,180,19510
5482,23-08-2020,8:00 AM,Chhattisgarh,12394,189,20078
5517,24-08-2020,8:00 AM,Chhattisgarh,12931,197,20918
5552,25-08-2020,8:00 AM,Chhattisgarh,13424,206,22054
5587,26-08-2020,8:00 AM,Chhattisgarh,13732,221,23341
5622,27-08-2020,8:00 AM,Chhattisgarh,14145,231,24550
5657,28-08-2020,8:00 AM,Chhattisgarh,14607,245,25988
5692,29-08-2020,8:00 AM,Chhattisgarh,15109,251,27233
5727,30-08-2020,8:00 AM,Chhattisgarh,15818,262,28746
5762,31-08-2020,8:00 AM,Chhattisgarh,16303,269,30092
5797,01-09-2020,8:00 AM,Chhattisgarh,16989,277,31503
5832,02-09-2020,8:00 AM,Chhattisgarh,17567,287,33387
5867,03-09-2020,8:00 AM,Chhattisgarh,18220,299,35683
5902,04-09-2020,8:00 AM,Chhattisgarh,18950,315,37967
5937,05-09-2020,8:00 AM,Chhattisgarh,19625,337,40634
5972,06-09-2020,8:00 AM,Chhattisgarh,20487,356,43163
6007,07-09-2020,8:00 AM,Chhattisgarh,21198,380,45263
6042,08-09-2020,8:00 AM,Chhattisgarh,22177,395,47280
6077,09-09-2020,8:00 AM,Chhattisgarh,22792,407,50114
6112,10-09-2020,8:00 AM,Chhattisgarh,24414,477,52932
6147,11-09-2020,8:00 AM,Chhattisgarh,25855,493,55680
6182,12-09-2020,8:00 AM,Chhattisgarh,27123,519,58643
6217,13-09-2020,8:00 AM,Chhattisgarh,27978,539,61763
6252,14-09-2020,8:00 AM,Chhattisgarh,31931,555,63991
6287,15-09-2020,8:00 AM,Chhattisgarh,33109,573,67327
6322,16-09-2020,8:00 AM,Chhattisgarh,34279,589,70777
6357,17-09-2020,8:00 AM,Chhattisgarh,35885,611,73966
6392,18-09-2020,8:00 AM,Chhattisgarh,41111,628,77775
6427,19-09-2020,8:00 AM,Chhattisgarh,44392,645,81617
6462,20-09-2020,8:00 AM,Chhattisgarh,46081,664,84234
6497,21-09-2020,8:00 AM,Chhattisgarh,47653,677,86183
6532,22-09-2020,8:00 AM,Chhattisgarh,49564,690,88181
6567,23-09-2020,8:00 AM,Chhattisgarh,52001,718,90917
6602,24-09-2020,8:00 AM,Chhattisgarh,56773,728,93351
6637,25-09-2020,8:00 AM,Chhattisgarh,58833,752,95623
6672,26-09-2020,8:00 AM,Chhattisgarh,66860,777,98565
6707,27-09-2020,8:00 AM,Chhattisgarh,70955,817,102461
