,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
1645,06-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1678,07-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1711,08-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1744,09-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1777,10-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1810,11-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1843,12-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1876,13-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1909,14-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1942,15-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
1975,16-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2008,17-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2041,18-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2074,19-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2107,20-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2141,21-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2175,22-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2209,23-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,1
2243,24-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2278,25-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2313,26-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2349,27-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2385,28-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2421,29-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2457,30-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2493,31-05-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2529,01-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2565,02-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,1,0,3
2601,03-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,1,0,4
2637,04-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,1,0,8
2673,05-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,1,0,12
2709,06-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,1,0,14
2745,07-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,1,0,19
2781,08-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,20
2817,09-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,22
2853,10-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,22
2889,11-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,26
2890,11-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,0,0,2
2926,12-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,30
2962,13-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,30
2998,14-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,35
3034,15-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,2,0,36
3070,16-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,5,0,36
3106,17-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,9,0,45
3142,18-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,12,0,57
3178,19-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,13,0,58
3214,20-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,14,0,62
3250,21-06-2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,26,0,68
