,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
34,02-03-2020,6:00 PM,Delhi,0,0,1
38,03-03-2020,6:00 PM,Delhi,0,0,1
42,04-03-2020,6:00 PM,Delhi,0,0,1
45,05-03-2020,6:00 PM,Delhi,0,0,2
51,06-03-2020,6:00 PM,Delhi,0,0,3
62,07-03-2020,6:00 PM,Delhi,0,0,3
71,08-03-2020,6:00 PM,Delhi,0,0,3
84,09-03-2020,6:00 PM,Delhi,0,0,4
87,10-03-2020,6:00 PM,Delhi,0,0,4
98,11-03-2020,6:00 PM,Delhi,0,0,5
109,12-03-2020,6:00 PM,Delhi,0,0,6
122,13-03-2020,6:00 PM,Delhi,0,0,6
135,14-03-2020,6:00 PM,Delhi,1,1,7
149,15-03-2020,6:00 PM,Delhi,2,1,7
163,16-03-2020,6:00 PM,Delhi,2,1,7
178,17-03-2020,6:00 PM,Delhi,2,1,8
193,18-03-2020,6:00 PM,Delhi,2,1,10
211,19-03-2020,6:00 PM,Delhi,3,1,12
230,20-03-2020,6:00 PM,Delhi,5,1,17
250,21-03-2020,6:00 PM,Delhi,5,1,26
273,22-03-2020,6:00 PM,Delhi,5,1,29
296,23-03-2020,6:00 PM,Delhi,5,1,29
319,24-03-2020,6:00 PM,Delhi,6,1,30
343,25-03-2020,6:00 PM,Delhi,6,1,31
370,26-03-2020,6:00 PM,Delhi,6,1,36
397,27-03-2020,10:00 AM,Delhi,6,1,36
424,28-03-2020,6:00 PM,Delhi,6,1,39
451,29-03-2020,7:30 PM,Delhi,6,2,49
478,30-03-2020,9:30 PM,Delhi,6,2,87
506,31-03-2020,8:30 PM,Delhi,6,2,97
535,01-04-2020,7:30 PM,Delhi,6,2,152
564,02-04-2020,6:00 PM,Delhi,8,4,219
594,03-04-2020,6:00 PM,Delhi,8,4,219
625,04-04-2020,6:00 PM,Delhi,15,6,445
655,05-04-2020,6:00 PM,Delhi,18,7,503
685,06-04-2020,6:00 PM,Delhi,19,7,523
715,07-04-2020,6:00 PM,Delhi,21,7,576
746,08-04-2020,5:00 PM,Delhi,21,9,576
777,09-04-2020,5:00 PM,Delhi,21,9,669
808,10-04-2020,5:00 PM,Delhi,25,13,898
839,11-04-2020,5:00 PM,Delhi,25,14,903
870,12-04-2020,5:00 PM,Delhi,25,19,1069
901,13-04-2020,5:00 PM,Delhi,27,24,1154
933,14-04-2020,5:00 PM,Delhi,30,28,1510
966,15-04-2020,5:00 PM,Delhi,30,30,1561
999,16-04-2020,5:00 PM,Delhi,42,32,1578
1032,17-04-2020,5:00 PM,Delhi,51,38,1640
1065,18-04-2020,5:00 PM,Delhi,72,42,1707
1098,19-04-2020,5:00 PM,Delhi,72,43,1893
1131,20-04-2020,5:00 PM,Delhi,290,45,2003
1164,21-04-2020,5:00 PM,Delhi,431,47,2081
1197,22-04-2020,5:00 PM,Delhi,611,47,2156
1229,23-04-2020,5:00 PM,Delhi,724,48,2248
1261,24-04-2020,5:00 PM,Delhi,808,50,2376
1293,25-04-2020,5:00 PM,Delhi,857,53,2514
1325,26-04-2020,5:00 PM,Delhi,869,54,2625
1357,27-04-2020,5:00 PM,Delhi,877,54,2918
1389,28-04-2020,5:00 PM,Delhi,877,54,3108
1421,29-04-2020,5:00 PM,Delhi,1078,54,3314
1453,30-04-2020,5:00 PM,Delhi,1092,56,3439
1485,01-05-2020,5:00 PM,Delhi,1094,59,3515
1517,02-05-2020,5:00 PM,Delhi,1167,61,3738
1549,03-05-2020,5:00 PM,Delhi,1256,64,4122
1581,04-05-2020,5:00 PM,Delhi,1362,64,4549
1613,05-05-2020,5:00 PM,Delhi,1431,64,4898
1646,06-05-2020,8:00 AM,Delhi,1468,64,5104
1679,07-05-2020,8:00 AM,Delhi,1542,65,5532
1712,08-05-2020,8:00 AM,Delhi,1931,66,5980
1745,09-05-2020,8:00 AM,Delhi,2020,68,6318
1778,10-05-2020,8:00 AM,Delhi,2020,73,6542
1811,11-05-2020,8:00 AM,Delhi,2069,73,6923
1844,12-05-2020,8:00 AM,Delhi,2129,73,7233
1877,13-05-2020,8:00 AM,Delhi,2512,86,7639
1910,14-05-2020,8:00 AM,Delhi,2858,106,7998
1943,15-05-2020,8:00 AM,Delhi,3045,115,8470
1976,16-05-2020,8:00 AM,Delhi,3518,123,8895
2009,17-05-2020,8:00 AM,Delhi,3926,129,9333
2042,18-05-2020,8:00 AM,Delhi,4485,160,10054
2075,19-05-2020,8:00 AM,Delhi,4485,168,10054
2108,20-05-2020,8:00 AM,Delhi,4750,168,10554
2142,21-05-2020,8:00 AM,Delhi,5192,176,11088
2176,22-05-2020,8:00 AM,Delhi,5567,194,11659
2210,23-05-2020,8:00 AM,Delhi,5897,208,12319
2244,24-05-2020,8:00 AM,Delhi,6267,231,12910
2279,25-05-2020,8:00 AM,Delhi,6540,261,13418
2314,26-05-2020,8:00 AM,Delhi,6771,276,14053
2350,27-05-2020,8:00 AM,Delhi,7223,288,14465
2386,28-05-2020,8:00 AM,Delhi,7264,303,15257
2422,29-05-2020,8:00 AM,Delhi,7495,316,16281
2458,30-05-2020,8:00 AM,Delhi,7846,398,17386
2494,31-05-2020,8:00 AM,Delhi,8075,416,18549
2530,01-06-2020,8:00 AM,Delhi,8478,473,19844
2566,02-06-2020,8:00 AM,Delhi,8746,523,20834
2602,03-06-2020,8:00 AM,Delhi,9243,556,22132
2638,04-06-2020,8:00 AM,Delhi,9542,606,23645
2674,05-06-2020,8:00 AM,Delhi,9898,650,25004
2710,06-06-2020,8:00 AM,Delhi,10315,708,26334
2746,07-06-2020,8:00 AM,Delhi,10664,761,27654
2782,08-06-2020,8:00 AM,Delhi,10664,761,27654
2818,09-06-2020,8:00 AM,Delhi,11357,874,29943
2854,10-06-2020,8:00 AM,Delhi,11861,905,31309
2891,11-06-2020,8:00 AM,Delhi,12245,984,32810
2927,12-06-2020,8:00 AM,Delhi,12731,1085,34687
2963,13-06-2020,8:00 AM,Delhi,13398,1214,36824
2999,14-06-2020,8:00 AM,Delhi,14945,1271,38958
3035,15-06-2020,8:00 AM,Delhi,15823,1327,41182
3071,16-06-2020,8:00 AM,Delhi,16427,1400,42829
3107,17-06-2020,8:00 AM,Delhi,16500,1837,44688
3143,18-06-2020,8:00 AM,Delhi,17457,1904,47102
3179,19-06-2020,8:00 AM,Delhi,21341,1969,49979
3215,20-06-2020,8:00 AM,Delhi,23569,2035,53116
3251,21-06-2020,8:00 AM,Delhi,31294,2112,56746
3287,22-06-2020,8:00 AM,Delhi,33013,2175,59746
3323,23-06-2020,8:00 AM,Delhi,36602,2233,62655
3359,24-06-2020,8:00 AM,Delhi,39313,2301,66602
3395,25-06-2020,8:00 AM,Delhi,41437,2365,70390
3431,26-06-2020,8:00 AM,Delhi,44765,2429,73780
3467,27-06-2020,8:00 AM,Delhi,47091,2492,77240
3503,28-06-2020,8:00 AM,Delhi,49301,2558,80188
3539,29-06-2020,8:00 AM,Delhi,52607,2623,83077
3575,30-06-2020,8:00 AM,Delhi,56235,2680,85161
3611,01-07-2020,8:00 AM,Delhi,58348,2742,87360
3647,02-07-2020,8:00 AM,Delhi,59992,2803,89802
3683,03-07-2020,8:00 AM,Delhi,63007,2864,92175
3719,04-07-2020,8:00 AM,Delhi,65624,2923,94695
3755,05-07-2020,8:00 AM,Delhi,68256,3004,97200
3791,06-07-2020,8:00 AM,Delhi,71339,3067,99444
3827,07-07-2020,8:00 AM,Delhi,72088,3115,100823
3863,08-07-2020,8:00 AM,Delhi,74217,3165,102831
3899,09-07-2020,8:00 AM,Delhi,78199,3213,104864
3935,10-07-2020,8:00 AM,Delhi,82226,3258,107051
3971,11-07-2020,8:00 AM,Delhi,84694,3300,109140
4007,12-07-2020,8:00 AM,Delhi,87692,3334,110921
4043,13-07-2020,8:00 AM,Delhi,89968,3371,112494
4079,14-07-2020,8:00 AM,Delhi,91312,3411,113740
4115,15-07-2020,8:00 AM,Delhi,93236,3446,115346
4151,16-07-2020,8:00 AM,Delhi,95699,3487,116993
4187,17-07-2020,8:00 AM,Delhi,97693,3545,118645
4223,18-07-2020,8:00 AM,Delhi,99301,3571,120107
4259,19-07-2020,8:00 AM,Delhi,101274,3597,121582
4294,20-07-2020,8:00 AM,Delhi,103134,3628,122793
4329,21-07-2020,8:00 AM,Delhi,104918,3663,123747
4364,22-07-2020,8:00 AM,Delhi,106118,3690,125096
4399,23-07-2020,8:00 AM,Delhi,107650,3719,126323
4434,24-07-2020,8:00 AM,Delhi,109065,3745,127364
4469,25-07-2020,8:00 AM,Delhi,110931,3777,128389
4504,26-07-2020,8:00 AM,Delhi,113068,3806,129531
4539,27-07-2020,8:00 AM,Delhi,114875,3827,130606
4574,28-07-2020,8:00 AM,Delhi,116372,3853,131219
4609,29-07-2020,8:00 AM,Delhi,117507,3881,132275
4644,30-07-2020,8:00 AM,Delhi,118633,3907,133310
4679,31-07-2020,8:00 AM,Delhi,119724,3936,134403
4714,01-08-2020,8:00 AM,Delhi,120930,3963,135598
4749,02-08-2020,8:00 AM,Delhi,122131,3989,136716
4784,03-08-2020,8:00 AM,Delhi,123317,4004,137677
4819,04-08-2020,8:00 AM,Delhi,124254,4021,138482
4854,05-08-2020,8:00 AM,Delhi,125226,4033,139156
4889,06-08-2020,8:00 AM,Delhi,126116,4044,140232
4924,07-08-2020,8:00 AM,Delhi,127124,4059,141531
4959,08-08-2020,8:00 AM,Delhi,128232,4082,142723
4994,09-08-2020,8:00 AM,Delhi,129362,4098,144127
5029,10-08-2020,8:00 AM,Delhi,130587,4111,145427
5064,11-08-2020,8:00 AM,Delhi,131657,4131,146134
5099,12-08-2020,8:00 AM,Delhi,132384,4139,147391
5134,13-08-2020,8:00 AM,Delhi,133405,4153,148504
5169,14-08-2020,8:00 AM,Delhi,134318,4167,149460
5204,15-08-2020,8:00 AM,Delhi,135108,4178,150652
5239,16-08-2020,8:00 AM,Delhi,136251,4188,151928
5274,17-08-2020,8:00 AM,Delhi,137561,4196,152580
5309,18-08-2020,8:00 AM,Delhi,138301,4214,153367
5344,19-08-2020,8:00 AM,Delhi,139447,4226,154741
5379,20-08-2020,8:00 AM,Delhi,140767,4235,156139
5414,21-08-2020,8:00 AM,Delhi,141826,4257,157354
5449,22-08-2020,8:00 AM,Delhi,142908,4270,158604
5484,23-08-2020,8:00 AM,Delhi,144138,4284,160016
5519,24-08-2020,8:00 AM,Delhi,145388,4300,161466
5554,25-08-2020,8:00 AM,Delhi,146588,4313,162527
5589,26-08-2020,8:00 AM,Delhi,147743,4330,164071
5624,27-08-2020,8:00 AM,Delhi,148897,4347,165764
5659,28-08-2020,8:00 AM,Delhi,150027,4369,167604
5694,29-08-2020,8:00 AM,Delhi,151473,4389,169412
5729,30-08-2020,8:00 AM,Delhi,152922,4404,171366
5764,31-08-2020,8:00 AM,Delhi,154171,4426,173390
5799,01-09-2020,8:00 AM,Delhi,155678,4444,174748
5834,02-09-2020,8:00 AM,Delhi,156728,4462,177060
5869,03-09-2020,8:00 AM,Delhi,158586,4481,179569
5904,04-09-2020,8:00 AM,Delhi,160114,4500,182306
5939,05-09-2020,8:00 AM,Delhi,161865,4513,185220
5974,06-09-2020,8:00 AM,Delhi,163785,4538,188193
6009,07-09-2020,8:00 AM,Delhi,165973,4567,191449
6044,08-09-2020,8:00 AM,Delhi,168384,4599,193526
6079,09-09-2020,8:00 AM,Delhi,170140,4618,197135
6114,10-09-2020,8:00 AM,Delhi,172763,4638,201174
6149,11-09-2020,8:00 AM,Delhi,175400,4666,205482
6184,12-09-2020,8:00 AM,Delhi,178154,4687,209748
6219,13-09-2020,8:00 AM,Delhi,181295,4715,214069
6254,14-09-2020,8:00 AM,Delhi,184748,4744,218304
6289,15-09-2020,8:00 AM,Delhi,188122,4770,221533
6324,16-09-2020,8:00 AM,Delhi,191203,4806,225796
6359,17-09-2020,8:00 AM,Delhi,194516,4839,230269
6394,18-09-2020,8:00 AM,Delhi,198103,4877,234701
6429,19-09-2020,8:00 AM,Delhi,201671,4907,238828
6464,20-09-2020,8:00 AM,Delhi,205890,4945,242899
6499,21-09-2020,8:00 AM,Delhi,209632,4982,246711
6534,22-09-2020,8:00 AM,Delhi,213304,5014,249259
6569,23-09-2020,8:00 AM,Delhi,216401,5051,253075
6604,24-09-2020,8:00 AM,Delhi,220866,5087,256789
6639,25-09-2020,8:00 AM,Delhi,224375,5123,260623
6674,26-09-2020,8:00 AM,Delhi,228436,5147,264450
6709,27-09-2020,8:00 AM,Delhi,232912,5193,267822
6744,28-09-2020,8:00 AM,Delhi,236651,5235,271114
6779,29-09-2020,8:00 AM,Delhi,240703,5272,273098
6814,30-09-2020,8:00 AM,Delhi,243481,5320,276325
6849,01-10-2020,8:00 AM,Delhi,247446,5361,279715
6884,02-10-2020,8:00 AM,Delhi,250613,5401,282752
6919,03-10-2020,8:00 AM,Delhi,253784,5438,285672
6954,04-10-2020,8:00 AM,Delhi,257224,5472,287930
6989,05-10-2020,8:00 AM,Delhi,260350,5510,290613
7024,06-10-2020,8:00 AM,Delhi,263938,5542,292560
7059,07-10-2020,8:00 AM,Delhi,266935,5581,295236
7094,08-10-2020,8:00 AM,Delhi,270305,5616,298107
7129,09-10-2020,8:00 AM,Delhi,272948,5653,300833
7164,10-10-2020,8:00 AM,Delhi,276046,5692,303693
7199,11-10-2020,8:00 AM,Delhi,278812,5740,306559
7234,12-10-2020,8:00 AM,Delhi,281869,5769,309339
7269,13-10-2020,8:00 AM,Delhi,284844,5809,311188
7304,14-10-2020,8:00 AM,Delhi,286880,5854,314224
7339,15-10-2020,8:00 AM,Delhi,289747,5898,317548
7374,16-10-2020,8:00 AM,Delhi,292502,5924,321031
7409,17-10-2020,8:00 AM,Delhi,295699,5946,324459
7444,18-10-2020,8:00 AM,Delhi,298853,5981,327718
7479,19-10-2020,8:00 AM,Delhi,301716,6009,331017
7514,20-10-2020,8:00 AM,Delhi,304561,6040,333171
7549,21-10-2020,8:00 AM,Delhi,306747,6081,336750
7584,22-10-2020,8:00 AM,Delhi,310191,6128,340436
7619,23-10-2020,8:00 AM,Delhi,312918,6163,344318
7654,24-10-2020,8:00 AM,Delhi,316214,6189,348404
7689,25-10-2020,8:00 AM,Delhi,319828,6225,352520
7724,26-10-2020,8:00 AM,Delhi,323654,6258,356656
7759,27-10-2020,8:00 AM,Delhi,327390,6312,359488
7794,28-10-2020,8:00 AM,Delhi,330112,6356,364341
7829,29-10-2020,8:00 AM,Delhi,334240,6396,370014
7864,30-10-2020,8:00 AM,Delhi,338378,6423,375753
7899,31-10-2020,8:00 AM,Delhi,342811,6470,381644
7934,01-11-2020,8:00 AM,Delhi,347476,6511,386706
7969,02-11-2020,8:00 AM,Delhi,351635,6562,392370
8004,03-11-2020,8:00 AM,Delhi,356459,6604,396371
8039,04-11-2020,8:00 AM,Delhi,360069,6652,403096
8074,05-11-2020,8:00 AM,Delhi,365866,6703,409938
8109,06-11-2020,8:00 AM,Delhi,371155,6769,416653
8144,07-11-2020,8:00 AM,Delhi,377276,6833,423831
8179,08-11-2020,8:00 AM,Delhi,383614,6912,430784
8214,09-11-2020,8:00 AM,Delhi,389683,6989,438529
8249,10-11-2020,8:00 AM,Delhi,396697,7060,443552
8284,11-11-2020,8:00 AM,Delhi,402854,7143,451382
8319,12-11-2020,8:00 AM,Delhi,410118,7228,459975
8354,13-11-2020,8:00 AM,Delhi,416580,7332,467028
8389,14-11-2020,8:00 AM,Delhi,423078,7423,474830
8424,15-11-2020,8:00 AM,Delhi,430195,7519,482170
8459,16-11-2020,8:00 AM,Delhi,437801,7614,485405
8494,17-11-2020,8:00 AM,Delhi,441361,7713,489202
8529,18-11-2020,8:00 AM,Delhi,445782,7812,495598
8564,19-11-2020,8:00 AM,Delhi,452683,7943,503084
8599,20-11-2020,8:00 AM,Delhi,459368,8041,510630
8634,21-11-2020,8:00 AM,Delhi,468143,8159,517238
8669,22-11-2020,8:00 AM,Delhi,475106,8270,523117
8704,23-11-2020,8:00 AM,Delhi,481260,8391,529863
8739,24-11-2020,8:00 AM,Delhi,488476,8512,534317
8774,25-11-2020,8:00 AM,Delhi,493419,8621,540541
8809,26-11-2020,8:00 AM,Delhi,498780,8720,545787
8844,27-11-2020,8:00 AM,Delhi,503717,8811,551262
8879,28-11-2020,8:00 AM,Delhi,509654,8909,556744
8914,29-11-2020,8:00 AM,Delhi,516166,8998,561742
