,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
371,26-03-2020,6:00 PM,Goa,0,0,3
398,27-03-2020,10:00 AM,Goa,0,0,3
425,28-03-2020,6:00 PM,Goa,0,0,3
452,29-03-2020,7:30 PM,Goa,0,0,5
479,30-03-2020,9:30 PM,Goa,0,0,5
507,31-03-2020,8:30 PM,Goa,0,0,5
536,01-04-2020,7:30 PM,Goa,0,0,5
565,02-04-2020,6:00 PM,Goa,0,0,5
595,03-04-2020,6:00 PM,Goa,0,0,6
626,04-04-2020,6:00 PM,Goa,0,0,7
656,05-04-2020,6:00 PM,Goa,0,0,7
686,06-04-2020,6:00 PM,Goa,0,0,7
716,07-04-2020,6:00 PM,Goa,0,0,7
747,08-04-2020,5:00 PM,Goa,0,0,7
778,09-04-2020,5:00 PM,Goa,0,0,7
809,10-04-2020,5:00 PM,Goa,1,0,7
840,11-04-2020,5:00 PM,Goa,1,0,7
871,12-04-2020,5:00 PM,Goa,5,0,7
902,13-04-2020,5:00 PM,Goa,5,0,7
934,14-04-2020,5:00 PM,Goa,5,0,7
967,15-04-2020,5:00 PM,Goa,5,0,7
1000,16-04-2020,5:00 PM,Goa,5,0,7
1033,17-04-2020,5:00 PM,Goa,6,0,7
1066,18-04-2020,5:00 PM,Goa,6,0,7
1099,19-04-2020,5:00 PM,Goa,6,0,7
1132,20-04-2020,5:00 PM,Goa,7,0,7
1165,21-04-2020,5:00 PM,Goa,7,0,7
1198,22-04-2020,5:00 PM,Goa,7,0,7
1230,23-04-2020,5:00 PM,Goa,7,0,7
1262,24-04-2020,5:00 PM,Goa,7,0,7
1294,25-04-2020,5:00 PM,Goa,7,0,7
1326,26-04-2020,5:00 PM,Goa,7,0,7
1358,27-04-2020,5:00 PM,Goa,7,0,7
1390,28-04-2020,5:00 PM,Goa,7,0,7
1422,29-04-2020,5:00 PM,Goa,7,0,7
1454,30-04-2020,5:00 PM,Goa,7,0,7
1486,01-05-2020,5:00 PM,Goa,7,0,7
1518,02-05-2020,5:00 PM,Goa,7,0,7
1550,03-05-2020,5:00 PM,Goa,7,0,7
1582,04-05-2020,5:00 PM,Goa,7,0,7
1614,05-05-2020,5:00 PM,Goa,7,0,7
1647,06-05-2020,8:00 AM,Goa,7,0,7
1680,07-05-2020,8:00 AM,Goa,7,0,7
1713,08-05-2020,8:00 AM,Goa,7,0,7
1746,09-05-2020,8:00 AM,Goa,7,0,7
1779,10-05-2020,8:00 AM,Goa,7,0,7
1812,11-05-2020,8:00 AM,Goa,7,0,7
1845,12-05-2020,8:00 AM,Goa,7,0,7
1878,13-05-2020,8:00 AM,Goa,7,0,7
1911,14-05-2020,8:00 AM,Goa,7,0,7
1944,15-05-2020,8:00 AM,Goa,7,0,14
1977,16-05-2020,8:00 AM,Goa,7,0,15
2010,17-05-2020,8:00 AM,Goa,7,0,17
2043,18-05-2020,8:00 AM,Goa,7,0,29
2076,19-05-2020,8:00 AM,Goa,7,0,38
2109,20-05-2020,8:00 AM,Goa,7,0,46
2143,21-05-2020,8:00 AM,Goa,7,0,50
2177,22-05-2020,8:00 AM,Goa,7,0,52
2211,23-05-2020,8:00 AM,Goa,16,0,54
2245,24-05-2020,8:00 AM,Goa,16,0,55
2280,25-05-2020,8:00 AM,Goa,19,0,66
2315,26-05-2020,8:00 AM,Goa,19,0,67
2351,27-05-2020,8:00 AM,Goa,28,0,67
2387,28-05-2020,8:00 AM,Goa,37,0,68
2423,29-05-2020,8:00 AM,Goa,38,0,69
2459,30-05-2020,8:00 AM,Goa,41,0,69
2495,31-05-2020,8:00 AM,Goa,41,0,70
2531,01-06-2020,8:00 AM,Goa,42,0,70
2567,02-06-2020,8:00 AM,Goa,42,0,71
2603,03-06-2020,8:00 AM,Goa,57,0,79
2639,04-06-2020,8:00 AM,Goa,57,0,79
2675,05-06-2020,8:00 AM,Goa,57,0,166
2711,06-06-2020,8:00 AM,Goa,65,0,196
2747,07-06-2020,8:00 AM,Goa,65,0,267
2783,08-06-2020,8:00 AM,Goa,65,0,300
2819,09-06-2020,8:00 AM,Goa,67,0,330
2855,10-06-2020,8:00 AM,Goa,67,0,359
2892,11-06-2020,8:00 AM,Goa,67,0,387
2928,12-06-2020,8:00 AM,Goa,67,0,417
2964,13-06-2020,8:00 AM,Goa,69,0,463
3000,14-06-2020,8:00 AM,Goa,70,0,523
3036,15-06-2020,8:00 AM,Goa,74,0,564
3072,16-06-2020,8:00 AM,Goa,85,0,592
3108,17-06-2020,8:00 AM,Goa,85,0,629
3144,18-06-2020,8:00 AM,Goa,96,0,656
3180,19-06-2020,8:00 AM,Goa,109,0,705
3216,20-06-2020,8:00 AM,Goa,118,0,725
3252,21-06-2020,8:00 AM,Goa,129,0,754
3288,22-06-2020,8:00 AM,Goa,129,0,754
3324,23-06-2020,8:00 AM,Goa,152,1,864
3360,24-06-2020,8:00 AM,Goa,205,1,909
3396,25-06-2020,8:00 AM,Goa,289,2,951
3432,26-06-2020,8:00 AM,Goa,335,2,995
3468,27-06-2020,8:00 AM,Goa,370,2,1039
3504,28-06-2020,8:00 AM,Goa,420,2,1128
3540,29-06-2020,8:00 AM,Goa,478,3,1198
3576,30-06-2020,8:00 AM,Goa,478,3,1198
3612,01-07-2020,8:00 AM,Goa,596,3,1315
3648,02-07-2020,8:00 AM,Goa,670,4,1387
3684,03-07-2020,8:00 AM,Goa,734,4,1482
3720,04-07-2020,8:00 AM,Goa,734,4,1482
3756,05-07-2020,8:00 AM,Goa,825,6,1684
3792,06-07-2020,8:00 AM,Goa,936,7,1761
3828,07-07-2020,8:00 AM,Goa,1061,7,1813
3864,08-07-2020,8:00 AM,Goa,1156,8,1903
3900,09-07-2020,8:00 AM,Goa,1207,8,2039
3936,10-07-2020,8:00 AM,Goa,1273,9,2151
3972,11-07-2020,8:00 AM,Goa,1347,9,2251
4008,12-07-2020,8:00 AM,Goa,1428,12,2368
4044,13-07-2020,8:00 AM,Goa,1487,14,2453
4080,14-07-2020,8:00 AM,Goa,1540,17,2583
4116,15-07-2020,8:00 AM,Goa,1607,18,2753
4152,16-07-2020,8:00 AM,Goa,1674,18,2951
4188,17-07-2020,8:00 AM,Goa,1817,19,3108
4224,18-07-2020,8:00 AM,Goa,1946,21,3304
4260,19-07-2020,8:00 AM,Goa,2038,21,3484
4295,20-07-2020,8:00 AM,Goa,2218,22,3657
4330,21-07-2020,8:00 AM,Goa,2361,23,3853
4365,22-07-2020,8:00 AM,Goa,2449,26,4027
4400,23-07-2020,8:00 AM,Goa,2541,28,4176
4435,24-07-2020,8:00 AM,Goa,2655,29,4350
4470,25-07-2020,8:00 AM,Goa,2865,29,4540
4505,26-07-2020,8:00 AM,Goa,3047,33,4686
4540,27-07-2020,8:00 AM,Goa,3277,35,4861
4575,28-07-2020,8:00 AM,Goa,3410,36,5119
4610,29-07-2020,8:00 AM,Goa,3595,36,5287
4645,30-07-2020,8:00 AM,Goa,3784,39,5489
4680,31-07-2020,8:00 AM,Goa,4005,42,5704
4715,01-08-2020,8:00 AM,Goa,4211,45,5913
4750,02-08-2020,8:00 AM,Goa,4438,48,6193
4785,03-08-2020,8:00 AM,Goa,4668,53,6530
4820,04-08-2020,8:00 AM,Goa,4876,56,6816
4855,05-08-2020,8:00 AM,Goa,5114,60,7075
4890,06-08-2020,8:00 AM,Goa,5287,64,7423
4925,07-08-2020,8:00 AM,Goa,5453,66,7614
4960,08-08-2020,8:00 AM,Goa,5595,70,7947
4995,09-08-2020,8:00 AM,Goa,5802,72,8206
5030,10-08-2020,8:00 AM,Goa,5995,75,8712
5065,11-08-2020,8:00 AM,Goa,6208,80,9029
5100,12-08-2020,8:00 AM,Goa,6480,86,9444
5135,13-08-2020,8:00 AM,Goa,6641,89,9924
5170,14-08-2020,8:00 AM,Goa,6912,91,10494
5205,15-08-2020,8:00 AM,Goa,7157,93,10970
5240,16-08-2020,8:00 AM,Goa,7488,98,11339
5275,17-08-2020,8:00 AM,Goa,7775,104,11639
5310,18-08-2020,8:00 AM,Goa,8058,111,11994
5345,19-08-2020,8:00 AM,Goa,8356,116,12333
5380,20-08-2020,8:00 AM,Goa,8713,124,12675
5415,21-08-2020,8:00 AM,Goa,9063,126,13099
5450,22-08-2020,8:00 AM,Goa,9540,135,13484
5485,23-08-2020,8:00 AM,Goa,10019,140,13790
5520,24-08-2020,8:00 AM,Goa,10472,144,13999
5555,25-08-2020,8:00 AM,Goa,10909,148,14138
5590,26-08-2020,8:00 AM,Goa,11224,157,14530
5625,27-08-2020,8:00 AM,Goa,11511,165,15027
5660,28-08-2020,8:00 AM,Goa,11867,171,15483
5695,29-08-2020,8:00 AM,Goa,12296,175,16006
5730,30-08-2020,8:00 AM,Goa,12729,178,16553
5765,31-08-2020,8:00 AM,Goa,13186,183,17004
5800,01-09-2020,8:00 AM,Goa,13577,192,17418
5835,02-09-2020,8:00 AM,Goa,13850,194,18006
5870,03-09-2020,8:00 AM,Goa,14059,204,18642
5905,04-09-2020,8:00 AM,Goa,14361,212,19355
5940,05-09-2020,8:00 AM,Goa,14747,220,19863
5975,06-09-2020,8:00 AM,Goa,15281,229,20455
6010,07-09-2020,8:00 AM,Goa,15839,236,20829
6045,08-09-2020,8:00 AM,Goa,16427,245,21173
6080,09-09-2020,8:00 AM,Goa,16875,256,21630
6115,10-09-2020,8:00 AM,Goa,17156,262,22251
6150,11-09-2020,8:00 AM,Goa,17592,268,22890
6185,12-09-2020,8:00 AM,Goa,18065,276,23445
6220,13-09-2020,8:00 AM,Goa,18576,286,24185
6255,14-09-2020,8:00 AM,Goa,19129,290,24592
6290,15-09-2020,8:00 AM,Goa,19648,304,24898
6325,16-09-2020,8:00 AM,Goa,20094,315,25511
6360,17-09-2020,8:00 AM,Goa,20445,319,26139
6395,18-09-2020,8:00 AM,Goa,20844,327,26783
6430,19-09-2020,8:00 AM,Goa,21314,335,27379
6465,20-09-2020,8:00 AM,Goa,21760,342,28022
6500,21-09-2020,8:00 AM,Goa,22297,351,28429
6535,22-09-2020,8:00 AM,Goa,22726,360,28753
6570,23-09-2020,8:00 AM,Goa,23462,368,29343
6605,24-09-2020,8:00 AM,Goa,23857,376,29879
6640,25-09-2020,8:00 AM,Goa,24347,383,30552
6675,26-09-2020,8:00 AM,Goa,25071,386,31071
6710,27-09-2020,8:00 AM,Goa,25759,391,31574
6745,28-09-2020,8:00 AM,Goa,26460,401,31958
6780,29-09-2020,8:00 AM,Goa,27072,407,32396
6815,30-09-2020,8:00 AM,Goa,27781,419,32777
6850,01-10-2020,8:00 AM,Goa,28125,428,33418
6885,02-10-2020,8:00 AM,Goa,28525,440,33942
6920,03-10-2020,8:00 AM,Goa,29004,442,34455
6955,04-10-2020,8:00 AM,Goa,29527,450,34900
6990,05-10-2020,8:00 AM,Goa,30033,456,35328
7025,06-10-2020,8:00 AM,Goa,30456,460,35719
7060,07-10-2020,8:00 AM,Goa,31050,468,36238
7095,08-10-2020,8:00 AM,Goa,31444,477,36670
7130,09-10-2020,8:00 AM,Goa,31902,484,37102
7165,10-10-2020,8:00 AM,Goa,32317,491,37591
7200,11-10-2020,8:00 AM,Goa,32777,499,37934
7235,12-10-2020,8:00 AM,Goa,33203,507,38366
7270,13-10-2020,8:00 AM,Goa,33698,511,38674
7305,14-10-2020,8:00 AM,Goa,34252,514,39082
7340,15-10-2020,8:00 AM,Goa,34731,519,39438
7375,16-10-2020,8:00 AM,Goa,35161,525,39770
7410,17-10-2020,8:00 AM,Goa,35610,531,40091
7445,18-10-2020,8:00 AM,Goa,36035,538,40400
7480,19-10-2020,8:00 AM,Goa,36395,544,40587
7515,20-10-2020,8:00 AM,Goa,36914,549,40746
7550,21-10-2020,8:00 AM,Goa,37275,555,41031
7585,22-10-2020,8:00 AM,Goa,37683,557,41339
7620,23-10-2020,8:00 AM,Goa,38031,564,41586
7655,24-10-2020,8:00 AM,Goa,38421,568,41813
7690,25-10-2020,8:00 AM,Goa,38769,570,42031
7725,26-10-2020,8:00 AM,Goa,39090,576,42242
7760,27-10-2020,8:00 AM,Goa,39433,582,42532
7795,28-10-2020,8:00 AM,Goa,39778,585,42747
7830,29-10-2020,8:00 AM,Goa,39974,592,42968
7865,30-10-2020,8:00 AM,Goa,40168,597,43201
7900,31-10-2020,8:00 AM,Goa,40409,602,43416
7935,01-11-2020,8:00 AM,Goa,40678,604,43626
7970,02-11-2020,8:00 AM,Goa,40915,609,43768
8005,03-11-2020,8:00 AM,Goa,41123,616,43954
8040,04-11-2020,8:00 AM,Goa,41362,618,44189
8075,05-11-2020,8:00 AM,Goa,41611,626,44372
8110,06-11-2020,8:00 AM,Goa,41849,630,44544
8145,07-11-2020,8:00 AM,Goa,42056,633,44747
8180,08-11-2020,8:00 AM,Goa,42239,641,44916
8215,09-11-2020,8:00 AM,Goa,42446,643,45065
8250,10-11-2020,8:00 AM,Goa,42678,647,45209
8285,11-11-2020,8:00 AM,Goa,42877,651,45389
8320,12-11-2020,8:00 AM,Goa,43029,656,45498
8355,13-11-2020,8:00 AM,Goa,43221,656,45605
8390,14-11-2020,8:00 AM,Goa,43388,658,45761
8425,15-11-2020,8:00 AM,Goa,43533,659,45845
8460,16-11-2020,8:00 AM,Goa,43656,662,45903
8495,17-11-2020,8:00 AM,Goa,43941,663,46028
8530,18-11-2020,8:00 AM,Goa,44132,667,46182
8565,19-11-2020,8:00 AM,Goa,44310,670,46344
8600,20-11-2020,8:00 AM,Goa,44467,670,46480
8635,21-11-2020,8:00 AM,Goa,44665,672,46632
8670,22-11-2020,8:00 AM,Goa,44812,675,46748
8705,23-11-2020,8:00 AM,Goa,44979,677,46826
8740,24-11-2020,8:00 AM,Goa,45083,677,46901
8775,25-11-2020,8:00 AM,Goa,45168,679,47068
8810,26-11-2020,8:00 AM,Goa,45229,683,47193
8845,27-11-2020,8:00 AM,Goa,45340,685,47341
8880,28-11-2020,8:00 AM,Goa,45492,686,47491
8915,29-11-2020,8:00 AM,Goa,45655,686,47689
8950,30-11-2020,8:00 AM,Goa,45790,687,47804
8985,01-12-2020,8:00 AM,Goa,45940,688,47963
9020,02-12-2020,8:00 AM,Goa,46068,690,48124
9055,03-12-2020,8:00 AM,Goa,46132,693,48241
9090,04-12-2020,8:00 AM,Goa,46251,696,48365
9125,05-12-2020,8:00 AM,Goa,46375,696,48459
9160,06-12-2020,8:00 AM,Goa,46493,697,48574
9195,07-12-2020,8:00 AM,Goa,46624,698,48686
9230,08-12-2020,8:00 AM,Goa,46778,701,48776
9265,09-12-2020,8:00 AM,Goa,46924,701,48935
9300,10-12-2020,8:00 AM,Goa,47056,703,49036
9335,11-12-2020,8:00 AM,Goa,47215,703,49131
9371,12-12-2020,8:00 AM,Goa,47345,703,49235
9407,13-12-2020,8:00 AM,Goa,47489,705,49305
9443,14-12-2020,8:00 AM,Goa,47590,706,49362
9479,15-12-2020,8:00 AM,Goa,47737,707,49474
9515,16-12-2020,8:00 AM,Goa,47861,710,49566
9551,17-12-2020,8:00 AM,Goa,47965,713,49657
9587,18-12-2020,8:00 AM,Goa,48054,716,49745
9623,19-12-2020,8:00 AM,Goa,48170,718,49849
9659,20-12-2020,8:00 AM,Goa,48280,718,49976
9695,21-12-2020,8:00 AM,Goa,48371,721,50064
9731,22-12-2020,8:00 AM,Goa,48479,723,50143
9767,23-12-2020,8:00 AM,Goa,48567,725,50239
9803,24-12-2020,8:00 AM,Goa,48637,727,50364
9839,25-12-2020,8:00 AM,Goa,48725,728,50454
9875,26-12-2020,8:00 AM,Goa,48826,728,50534
9911,27-12-2020,8:00 AM,Goa,48913,731,50595
9947,28-12-2020,8:00 AM,Goa,48992,731,50667
9983,29-12-2020,8:00 AM,Goa,49083,734,50772
10019,30-12-2020,8:00 AM,Goa,49199,735,50884
10055,31-12-2020,8:00 AM,Goa,49313,737,50981
10091,01-01-2021,8:00 AM,Goa,49388,739,51066
10127,02-01-2021,8:00 AM,Goa,49466,739,51135
10163,03-01-2021,8:00 AM,Goa,49570,739,51230
10199,04-01-2021,8:00 AM,Goa,49653,741,51295
10235,05-01-2021,8:00 AM,Goa,49741,743,51335
10271,06-01-2021,8:00 AM,Goa,49811,744,51415
10307,07-01-2021,8:00 AM,Goa,49893,744,51507
10343,08-01-2021,8:00 AM,Goa,49983,744,51626
10379,09-01-2021,8:00 AM,Goa,50088,744,51709
10415,10-01-2021,8:00 AM,Goa,50177,746,51790
10451,11-01-2021,8:00 AM,Goa,50277,747,51856
10487,12-01-2021,8:00 AM,Goa,50343,749,51891
