,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
231,20-03-2020,6:00 PM,Gujarat,0,0,5
251,21-03-2020,6:00 PM,Gujarat,0,0,7
274,22-03-2020,6:00 PM,Gujarat,0,1,18
297,23-03-2020,6:00 PM,Gujarat,0,1,29
320,24-03-2020,6:00 PM,Gujarat,0,1,33
344,25-03-2020,6:00 PM,Gujarat,0,1,38
372,26-03-2020,6:00 PM,Gujarat,0,3,43
399,27-03-2020,10:00 AM,Gujarat,0,3,43
426,28-03-2020,6:00 PM,Gujarat,0,3,45
453,29-03-2020,7:30 PM,Gujarat,1,5,58
480,30-03-2020,9:30 PM,Gujarat,1,6,69
508,31-03-2020,8:30 PM,Gujarat,3,6,73
537,01-04-2020,7:30 PM,Gujarat,5,6,82
566,02-04-2020,6:00 PM,Gujarat,8,7,87
596,03-04-2020,6:00 PM,Gujarat,10,8,95
627,04-04-2020,6:00 PM,Gujarat,14,10,105
657,05-04-2020,6:00 PM,Gujarat,18,11,122
687,06-04-2020,6:00 PM,Gujarat,22,12,144
717,07-04-2020,6:00 PM,Gujarat,25,13,165
748,08-04-2020,5:00 PM,Gujarat,25,13,165
779,09-04-2020,5:00 PM,Gujarat,25,16,179
810,10-04-2020,5:00 PM,Gujarat,26,17,241
841,11-04-2020,5:00 PM,Gujarat,31,19,308
872,12-04-2020,5:00 PM,Gujarat,44,22,432
903,13-04-2020,5:00 PM,Gujarat,47,26,539
935,14-04-2020,5:00 PM,Gujarat,55,26,617
968,15-04-2020,5:00 PM,Gujarat,59,30,695
1001,16-04-2020,5:00 PM,Gujarat,64,36,871
1034,17-04-2020,5:00 PM,Gujarat,74,38,1021
1067,18-04-2020,5:00 PM,Gujarat,88,48,1272
1100,19-04-2020,5:00 PM,Gujarat,94,58,1604
1133,20-04-2020,5:00 PM,Gujarat,106,67,1851
1166,21-04-2020,5:00 PM,Gujarat,131,77,2066
1199,22-04-2020,5:00 PM,Gujarat,144,95,2272
1231,23-04-2020,5:00 PM,Gujarat,179,103,2407
1263,24-04-2020,5:00 PM,Gujarat,258,112,2624
1295,25-04-2020,5:00 PM,Gujarat,265,127,2815
1327,26-04-2020,5:00 PM,Gujarat,282,133,3071
1359,27-04-2020,5:00 PM,Gujarat,313,151,3301
1391,28-04-2020,5:00 PM,Gujarat,394,162,3548
1423,29-04-2020,5:00 PM,Gujarat,434,181,3774
1455,30-04-2020,5:00 PM,Gujarat,527,197,4082
1487,01-05-2020,5:00 PM,Gujarat,613,214,4395
1519,02-05-2020,5:00 PM,Gujarat,735,236,4721
1551,03-05-2020,5:00 PM,Gujarat,896,262,5055
1583,04-05-2020,5:00 PM,Gujarat,1042,290,5428
1615,05-05-2020,5:00 PM,Gujarat,1195,319,5804
1648,06-05-2020,8:00 AM,Gujarat,1381,368,6245
1681,07-05-2020,8:00 AM,Gujarat,1500,396,6625
1714,08-05-2020,8:00 AM,Gujarat,1709,425,7012
1747,09-05-2020,8:00 AM,Gujarat,1872,449,7402
1780,10-05-2020,8:00 AM,Gujarat,2091,472,7796
1813,11-05-2020,8:00 AM,Gujarat,2545,493,8194
1846,12-05-2020,8:00 AM,Gujarat,2780,513,8541
1879,13-05-2020,8:00 AM,Gujarat,3246,537,8903
1912,14-05-2020,8:00 AM,Gujarat,3562,566,9267
1945,15-05-2020,8:00 AM,Gujarat,3753,586,9591
1978,16-05-2020,8:00 AM,Gujarat,4035,606,9931
2011,17-05-2020,8:00 AM,Gujarat,4308,625,10988
2044,18-05-2020,8:00 AM,Gujarat,4499,659,11379
2077,19-05-2020,8:00 AM,Gujarat,4804,694,11745
2110,20-05-2020,8:00 AM,Gujarat,5043,719,12140
2144,21-05-2020,8:00 AM,Gujarat,5219,749,12537
