,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
41,04-03-2020,6:00 PM,Haryana,0,0,2
46,05-03-2020,6:00 PM,Haryana,0,0,2
52,06-03-2020,6:00 PM,Haryana,0,0,2
63,07-03-2020,6:00 PM,Haryana,0,0,2
70,08-03-2020,6:00 PM,Haryana,0,0,2
83,09-03-2020,6:00 PM,Haryana,0,0,2
88,10-03-2020,6:00 PM,Haryana,0,0,2
99,11-03-2020,6:00 PM,Haryana,0,0,14
110,12-03-2020,6:00 PM,Haryana,0,0,14
123,13-03-2020,6:00 PM,Haryana,0,0,14
136,14-03-2020,6:00 PM,Haryana,0,0,14
150,15-03-2020,6:00 PM,Haryana,0,0,14
164,16-03-2020,6:00 PM,Haryana,0,0,14
179,17-03-2020,6:00 PM,Haryana,0,0,15
194,18-03-2020,6:00 PM,Haryana,0,0,17
212,19-03-2020,6:00 PM,Haryana,0,0,17
232,20-03-2020,6:00 PM,Haryana,0,0,17
252,21-03-2020,6:00 PM,Haryana,0,0,17
275,22-03-2020,6:00 PM,Haryana,0,0,21
298,23-03-2020,6:00 PM,Haryana,0,0,26
321,24-03-2020,6:00 PM,Haryana,11,0,28
345,25-03-2020,6:00 PM,Haryana,11,0,28
373,26-03-2020,6:00 PM,Haryana,11,0,30
400,27-03-2020,10:00 AM,Haryana,11,0,30
427,28-03-2020,6:00 PM,Haryana,12,0,33
454,29-03-2020,7:30 PM,Haryana,17,0,33
481,30-03-2020,9:30 PM,Haryana,18,0,36
509,31-03-2020,8:30 PM,Haryana,21,0,40
538,01-04-2020,7:30 PM,Haryana,21,0,43
567,02-04-2020,6:00 PM,Haryana,21,0,43
597,03-04-2020,6:00 PM,Haryana,24,0,49
628,04-04-2020,6:00 PM,Haryana,24,0,49
658,05-04-2020,6:00 PM,Haryana,25,1,59
688,06-04-2020,6:00 PM,Haryana,25,1,84
718,07-04-2020,6:00 PM,Haryana,25,1,90
749,08-04-2020,5:00 PM,Haryana,28,3,147
780,09-04-2020,5:00 PM,Haryana,29,3,169
811,10-04-2020,5:00 PM,Haryana,29,3,169
842,11-04-2020,5:00 PM,Haryana,29,3,177
873,12-04-2020,5:00 PM,Haryana,29,3,185
904,13-04-2020,5:00 PM,Haryana,29,3,185
936,14-04-2020,5:00 PM,Haryana,34,3,199
969,15-04-2020,5:00 PM,Haryana,34,3,199
1002,16-04-2020,5:00 PM,Haryana,43,3,205
1035,17-04-2020,5:00 PM,Haryana,43,3,205
1068,18-04-2020,5:00 PM,Haryana,43,3,225
1101,19-04-2020,5:00 PM,Haryana,87,3,233
1134,20-04-2020,5:00 PM,Haryana,87,3,233
1167,21-04-2020,5:00 PM,Haryana,127,3,254
1200,22-04-2020,5:00 PM,Haryana,127,3,254
1232,23-04-2020,5:00 PM,Haryana,140,3,262
1264,24-04-2020,5:00 PM,Haryana,156,3,272
1296,25-04-2020,5:00 PM,Haryana,156,3,272
1328,26-04-2020,5:00 PM,Haryana,176,3,289
1360,27-04-2020,5:00 PM,Haryana,176,3,289
1392,28-04-2020,5:00 PM,Haryana,183,3,296
1424,29-04-2020,5:00 PM,Haryana,209,3,310
1456,30-04-2020,5:00 PM,Haryana,209,3,310
1488,01-05-2020,5:00 PM,Haryana,209,3,313
1520,02-05-2020,5:00 PM,Haryana,227,4,360
1552,03-05-2020,5:00 PM,Haryana,227,4,394
1584,04-05-2020,5:00 PM,Haryana,245,5,442
1616,05-05-2020,5:00 PM,Haryana,254,6,517
1649,06-05-2020,8:00 AM,Haryana,256,6,548
1682,07-05-2020,8:00 AM,Haryana,260,7,594
1715,08-05-2020,8:00 AM,Haryana,260,7,625
1748,09-05-2020,8:00 AM,Haryana,279,8,647
1781,10-05-2020,8:00 AM,Haryana,290,9,675
1814,11-05-2020,8:00 AM,Haryana,300,10,703
1847,12-05-2020,8:00 AM,Haryana,337,11,730
1880,13-05-2020,8:00 AM,Haryana,342,11,780
1913,14-05-2020,8:00 AM,Haryana,418,11,793
1946,15-05-2020,8:00 AM,Haryana,439,11,818
1979,16-05-2020,8:00 AM,Haryana,439,11,818
2012,17-05-2020,8:00 AM,Haryana,514,13,887
