,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
253,21-03-2020,6:00 PM,Himachal Pradesh,0,0,2
276,22-03-2020,6:00 PM,Himachal Pradesh,0,0,2
299,23-03-2020,6:00 PM,Himachal Pradesh,0,0,2
322,24-03-2020,6:00 PM,Himachal Pradesh,0,1,3
346,25-03-2020,6:00 PM,Himachal Pradesh,0,1,3
374,26-03-2020,6:00 PM,Himachal Pradesh,0,1,3
401,27-03-2020,10:00 AM,Himachal Pradesh,0,1,3
428,28-03-2020,6:00 PM,Himachal Pradesh,0,1,3
455,29-03-2020,7:30 PM,Himachal Pradesh,0,1,3
482,30-03-2020,9:30 PM,Himachal Pradesh,0,1,3
510,31-03-2020,8:30 PM,Himachal Pradesh,0,1,3
539,01-04-2020,7:30 PM,Himachal Pradesh,0,1,3
568,02-04-2020,6:00 PM,Himachal Pradesh,1,1,3
598,03-04-2020,6:00 PM,Himachal Pradesh,1,1,6
629,04-04-2020,6:00 PM,Himachal Pradesh,1,1,6
659,05-04-2020,6:00 PM,Himachal Pradesh,1,1,6
689,06-04-2020,6:00 PM,Himachal Pradesh,2,1,13
719,07-04-2020,6:00 PM,Himachal Pradesh,2,1,13
750,08-04-2020,5:00 PM,Himachal Pradesh,2,1,18
781,09-04-2020,5:00 PM,Himachal Pradesh,2,1,18
812,10-04-2020,5:00 PM,Himachal Pradesh,6,1,28
843,11-04-2020,5:00 PM,Himachal Pradesh,6,1,28
874,12-04-2020,5:00 PM,Himachal Pradesh,6,1,32
905,13-04-2020,5:00 PM,Himachal Pradesh,13,1,32
937,14-04-2020,5:00 PM,Himachal Pradesh,13,1,32
970,15-04-2020,5:00 PM,Himachal Pradesh,13,1,33
1003,16-04-2020,5:00 PM,Himachal Pradesh,16,1,35
1036,17-04-2020,5:00 PM,Himachal Pradesh,16,1,35
1069,18-04-2020,5:00 PM,Himachal Pradesh,16,1,38
1102,19-04-2020,5:00 PM,Himachal Pradesh,16,1,39
1135,20-04-2020,5:00 PM,Himachal Pradesh,16,1,39
1168,21-04-2020,5:00 PM,Himachal Pradesh,16,1,39
1201,22-04-2020,5:00 PM,Himachal Pradesh,16,1,39
1233,23-04-2020,5:00 PM,Himachal Pradesh,18,1,40
1265,24-04-2020,5:00 PM,Himachal Pradesh,18,1,40
1297,25-04-2020,5:00 PM,Himachal Pradesh,18,1,40
1329,26-04-2020,5:00 PM,Himachal Pradesh,22,1,40
1361,27-04-2020,5:00 PM,Himachal Pradesh,22,1,40
1393,28-04-2020,5:00 PM,Himachal Pradesh,22,1,40
1425,29-04-2020,5:00 PM,Himachal Pradesh,25,1,40
1457,30-04-2020,5:00 PM,Himachal Pradesh,25,1,40
1489,01-05-2020,5:00 PM,Himachal Pradesh,28,1,40
1521,02-05-2020,5:00 PM,Himachal Pradesh,30,1,40
1553,03-05-2020,5:00 PM,Himachal Pradesh,33,1,40
1585,04-05-2020,5:00 PM,Himachal Pradesh,34,1,40
1617,05-05-2020,5:00 PM,Himachal Pradesh,38,1,41
1650,06-05-2020,8:00 AM,Himachal Pradesh,38,2,42
1683,07-05-2020,8:00 AM,Himachal Pradesh,38,2,45
1716,08-05-2020,8:00 AM,Himachal Pradesh,38,2,46
1749,09-05-2020,8:00 AM,Himachal Pradesh,38,2,50
1782,10-05-2020,8:00 AM,Himachal Pradesh,38,2,50
1815,11-05-2020,8:00 AM,Himachal Pradesh,39,2,55
1848,12-05-2020,8:00 AM,Himachal Pradesh,39,2,59
1881,13-05-2020,8:00 AM,Himachal Pradesh,39,2,65
1914,14-05-2020,8:00 AM,Himachal Pradesh,39,2,66
1947,15-05-2020,8:00 AM,Himachal Pradesh,39,2,74
1980,16-05-2020,8:00 AM,Himachal Pradesh,39,3,76
2013,17-05-2020,8:00 AM,Himachal Pradesh,43,3,78
2046,18-05-2020,8:00 AM,Himachal Pradesh,44,3,80
2079,19-05-2020,8:00 AM,Himachal Pradesh,44,3,90
2112,20-05-2020,8:00 AM,Himachal Pradesh,47,3,92
2146,21-05-2020,8:00 AM,Himachal Pradesh,54,3,110
2180,22-05-2020,8:00 AM,Himachal Pradesh,59,3,152
2214,23-05-2020,8:00 AM,Himachal Pradesh,59,3,168
2248,24-05-2020,8:00 AM,Himachal Pradesh,61,3,185
2283,25-05-2020,8:00 AM,Himachal Pradesh,63,3,203
2318,26-05-2020,8:00 AM,Himachal Pradesh,67,5,223
2354,27-05-2020,8:00 AM,Himachal Pradesh,67,5,247
2390,28-05-2020,8:00 AM,Himachal Pradesh,70,5,273
2426,29-05-2020,8:00 AM,Himachal Pradesh,70,5,276
2462,30-05-2020,8:00 AM,Himachal Pradesh,87,5,295
2498,31-05-2020,8:00 AM,Himachal Pradesh,111,5,313
2534,01-06-2020,8:00 AM,Himachal Pradesh,120,5,331
2570,02-06-2020,8:00 AM,Himachal Pradesh,122,5,340
2606,03-06-2020,8:00 AM,Himachal Pradesh,140,5,345
2642,04-06-2020,8:00 AM,Himachal Pradesh,150,5,359
2678,05-06-2020,8:00 AM,Himachal Pradesh,179,5,383
2714,06-06-2020,8:00 AM,Himachal Pradesh,189,5,393
2750,07-06-2020,8:00 AM,Himachal Pradesh,194,5,400
2786,08-06-2020,8:00 AM,Himachal Pradesh,224,5,413
2822,09-06-2020,8:00 AM,Himachal Pradesh,227,5,421
2858,10-06-2020,8:00 AM,Himachal Pradesh,249,5,445
2895,11-06-2020,8:00 AM,Himachal Pradesh,254,6,451
2931,12-06-2020,8:00 AM,Himachal Pradesh,280,6,470
2967,13-06-2020,8:00 AM,Himachal Pradesh,297,6,486
3003,14-06-2020,8:00 AM,Himachal Pradesh,313,6,502
3039,15-06-2020,8:00 AM,Himachal Pradesh,337,7,518
3075,16-06-2020,8:00 AM,Himachal Pradesh,353,8,556
3111,17-06-2020,8:00 AM,Himachal Pradesh,372,8,560
3147,18-06-2020,8:00 AM,Himachal Pradesh,372,8,569
3183,19-06-2020,8:00 AM,Himachal Pradesh,382,8,595
3219,20-06-2020,8:00 AM,Himachal Pradesh,388,8,619
3255,21-06-2020,8:00 AM,Himachal Pradesh,413,8,656
3291,22-06-2020,8:00 AM,Himachal Pradesh,425,8,673
3327,23-06-2020,8:00 AM,Himachal Pradesh,437,8,727
3363,24-06-2020,8:00 AM,Himachal Pradesh,443,8,775
3399,25-06-2020,8:00 AM,Himachal Pradesh,466,8,806
3435,26-06-2020,8:00 AM,Himachal Pradesh,477,9,839
3471,27-06-2020,8:00 AM,Himachal Pradesh,502,9,864
3507,28-06-2020,8:00 AM,Himachal Pradesh,509,9,894
3543,29-06-2020,8:00 AM,Himachal Pradesh,529,9,916
3579,30-06-2020,8:00 AM,Himachal Pradesh,556,9,942
3615,01-07-2020,8:00 AM,Himachal Pradesh,580,10,953
3651,02-07-2020,8:00 AM,Himachal Pradesh,614,10,979
3687,03-07-2020,8:00 AM,Himachal Pradesh,628,10,1014
3723,04-07-2020,8:00 AM,Himachal Pradesh,667,10,1033
3759,05-07-2020,8:00 AM,Himachal Pradesh,704,11,1046
3795,06-07-2020,8:00 AM,Himachal Pradesh,737,11,1063
3831,07-07-2020,8:00 AM,Himachal Pradesh,763,11,1077
