,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
541,01-04-2020,7:30 PM,Jharkhand,0,0,1
570,02-04-2020,6:00 PM,Jharkhand,0,0,1
600,03-04-2020,6:00 PM,Jharkhand,0,0,2
631,04-04-2020,6:00 PM,Jharkhand,0,0,2
661,05-04-2020,6:00 PM,Jharkhand,0,0,3
691,06-04-2020,6:00 PM,Jharkhand,0,0,4
721,07-04-2020,6:00 PM,Jharkhand,0,0,4
752,08-04-2020,5:00 PM,Jharkhand,0,0,4
783,09-04-2020,5:00 PM,Jharkhand,0,0,13
814,10-04-2020,5:00 PM,Jharkhand,0,1,13
845,11-04-2020,5:00 PM,Jharkhand,0,1,17
876,12-04-2020,5:00 PM,Jharkhand,0,1,17
907,13-04-2020,5:00 PM,Jharkhand,0,2,19
939,14-04-2020,5:00 PM,Jharkhand,0,2,24
972,15-04-2020,5:00 PM,Jharkhand,0,2,27
1005,16-04-2020,5:00 PM,Jharkhand,0,2,28
1038,17-04-2020,5:00 PM,Jharkhand,0,2,29
1071,18-04-2020,5:00 PM,Jharkhand,0,2,33
1104,19-04-2020,5:00 PM,Jharkhand,0,2,35
1137,20-04-2020,5:00 PM,Jharkhand,0,2,42
1170,21-04-2020,5:00 PM,Jharkhand,0,2,46
1203,22-04-2020,5:00 PM,Jharkhand,0,3,45
1235,23-04-2020,5:00 PM,Jharkhand,8,3,49
1267,24-04-2020,5:00 PM,Jharkhand,8,3,55
1299,25-04-2020,5:00 PM,Jharkhand,9,3,59
1331,26-04-2020,5:00 PM,Jharkhand,13,3,67
1363,27-04-2020,5:00 PM,Jharkhand,13,3,82
1395,28-04-2020,5:00 PM,Jharkhand,17,3,103
1427,29-04-2020,5:00 PM,Jharkhand,19,3,105
1459,30-04-2020,5:00 PM,Jharkhand,19,3,107
1491,01-05-2020,5:00 PM,Jharkhand,20,3,111
1523,02-05-2020,5:00 PM,Jharkhand,20,3,111
1555,03-05-2020,5:00 PM,Jharkhand,22,3,115
1587,04-05-2020,5:00 PM,Jharkhand,22,3,115
1619,05-05-2020,5:00 PM,Jharkhand,27,3,115
1652,06-05-2020,8:00 AM,Jharkhand,33,3,125
1685,07-05-2020,8:00 AM,Jharkhand,37,3,127
1718,08-05-2020,8:00 AM,Jharkhand,41,3,132
1751,09-05-2020,8:00 AM,Jharkhand,52,3,132
1784,10-05-2020,8:00 AM,Jharkhand,78,3,156
1817,11-05-2020,8:00 AM,Jharkhand,78,3,157
1850,12-05-2020,8:00 AM,Jharkhand,78,3,160
1883,13-05-2020,8:00 AM,Jharkhand,79,3,172
1916,14-05-2020,8:00 AM,Jharkhand,79,3,173
1949,15-05-2020,8:00 AM,Jharkhand,87,3,197
1982,16-05-2020,8:00 AM,Jharkhand,87,3,203
2015,17-05-2020,8:00 AM,Jharkhand,113,3,217
2048,18-05-2020,8:00 AM,Jharkhand,113,3,223
2081,19-05-2020,8:00 AM,Jharkhand,113,3,223
2114,20-05-2020,8:00 AM,Jharkhand,127,3,231
2148,21-05-2020,8:00 AM,Jharkhand,127,3,231
2182,22-05-2020,8:00 AM,Jharkhand,129,3,290
2216,23-05-2020,8:00 AM,Jharkhand,136,3,308
2250,24-05-2020,8:00 AM,Jharkhand,141,4,350
2285,25-05-2020,8:00 AM,Jharkhand,148,4,370
2320,26-05-2020,8:00 AM,Jharkhand,148,4,377
2356,27-05-2020,8:00 AM,Jharkhand,175,4,426
2392,28-05-2020,8:00 AM,Jharkhand,185,4,448
2428,29-05-2020,8:00 AM,Jharkhand,212,4,469
2464,30-05-2020,8:00 AM,Jharkhand,216,5,511
2500,31-05-2020,8:00 AM,Jharkhand,256,5,563
2536,01-06-2020,8:00 AM,Jharkhand,256,5,610
2572,02-06-2020,8:00 AM,Jharkhand,296,5,659
2608,03-06-2020,8:00 AM,Jharkhand,320,5,712
2644,04-06-2020,8:00 AM,Jharkhand,321,5,752
2680,05-06-2020,8:00 AM,Jharkhand,354,6,793
2716,06-06-2020,8:00 AM,Jharkhand,410,7,881
2752,07-06-2020,8:00 AM,Jharkhand,473,7,1000
2788,08-06-2020,8:00 AM,Jharkhand,490,7,1099
2824,09-06-2020,8:00 AM,Jharkhand,519,7,1256
2860,10-06-2020,8:00 AM,Jharkhand,559,8,1411
2897,11-06-2020,8:00 AM,Jharkhand,592,8,1489
2933,12-06-2020,8:00 AM,Jharkhand,630,8,1599
2969,13-06-2020,8:00 AM,Jharkhand,672,8,1617
3005,14-06-2020,8:00 AM,Jharkhand,816,8,1711
3041,15-06-2020,8:00 AM,Jharkhand,905,8,1745
3077,16-06-2020,8:00 AM,Jharkhand,905,8,1763
3113,17-06-2020,8:00 AM,Jharkhand,1121,9,1839
3149,18-06-2020,8:00 AM,Jharkhand,1151,10,1895
3185,19-06-2020,8:00 AM,Jharkhand,1198,11,1920
3221,20-06-2020,8:00 AM,Jharkhand,1332,11,1965
3257,21-06-2020,8:00 AM,Jharkhand,1335,11,1965
3293,22-06-2020,8:00 AM,Jharkhand,1406,11,2073
3329,23-06-2020,8:00 AM,Jharkhand,1469,11,2137
3365,24-06-2020,8:00 AM,Jharkhand,1520,11,2185
3401,25-06-2020,8:00 AM,Jharkhand,1570,11,2207
3437,26-06-2020,8:00 AM,Jharkhand,1605,12,2262
3473,27-06-2020,8:00 AM,Jharkhand,1643,12,2290
3509,28-06-2020,8:00 AM,Jharkhand,1724,12,2339
3545,29-06-2020,8:00 AM,Jharkhand,1793,12,2364
3581,30-06-2020,8:00 AM,Jharkhand,1845,15,2426
3617,01-07-2020,8:00 AM,Jharkhand,1884,15,2490
3653,02-07-2020,8:00 AM,Jharkhand,1931,15,2521
3689,03-07-2020,8:00 AM,Jharkhand,1983,15,2584
3725,04-07-2020,8:00 AM,Jharkhand,2001,15,2695
3761,05-07-2020,8:00 AM,Jharkhand,2035,17,2739
3797,06-07-2020,8:00 AM,Jharkhand,2045,19,2781
3833,07-07-2020,8:00 AM,Jharkhand,2068,20,2847
3869,08-07-2020,8:00 AM,Jharkhand,2104,22,2996
3905,09-07-2020,8:00 AM,Jharkhand,2170,22,3096
3941,10-07-2020,8:00 AM,Jharkhand,2208,23,3246
