,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
74,09-03-2020,6:00 PM,Karnataka,0,0,1
89,10-03-2020,6:00 PM,Karnataka,0,0,4
108,11-03-2020,6:00 PM,Karnataka,0,0,4
119,12-03-2020,6:00 PM,Karnataka,0,0,4
132,13-03-2020,6:00 PM,Karnataka,0,1,6
145,14-03-2020,6:00 PM,Karnataka,0,1,6
151,15-03-2020,6:00 PM,Karnataka,0,1,6
165,16-03-2020,6:00 PM,Karnataka,0,1,6
180,17-03-2020,6:00 PM,Karnataka,0,1,11
195,18-03-2020,6:00 PM,Karnataka,0,1,11
213,19-03-2020,6:00 PM,Karnataka,0,1,14
233,20-03-2020,6:00 PM,Karnataka,1,1,15
254,21-03-2020,6:00 PM,Karnataka,1,1,15
277,22-03-2020,6:00 PM,Karnataka,2,1,26
300,23-03-2020,6:00 PM,Karnataka,2,1,33
323,24-03-2020,6:00 PM,Karnataka,3,1,37
347,25-03-2020,6:00 PM,Karnataka,3,1,41
376,26-03-2020,6:00 PM,Karnataka,3,2,55
403,27-03-2020,10:00 AM,Karnataka,3,2,55
430,28-03-2020,6:00 PM,Karnataka,3,2,55
457,29-03-2020,7:30 PM,Karnataka,5,3,76
484,30-03-2020,9:30 PM,Karnataka,5,3,83
512,31-03-2020,8:30 PM,Karnataka,5,3,83
542,01-04-2020,7:30 PM,Karnataka,8,3,101
571,02-04-2020,6:00 PM,Karnataka,9,3,110
601,03-04-2020,6:00 PM,Karnataka,10,3,124
632,04-04-2020,6:00 PM,Karnataka,12,3,128
662,05-04-2020,6:00 PM,Karnataka,12,4,144
692,06-04-2020,6:00 PM,Karnataka,12,4,151
722,07-04-2020,6:00 PM,Karnataka,25,4,175
753,08-04-2020,5:00 PM,Karnataka,25,4,175
784,09-04-2020,5:00 PM,Karnataka,28,5,181
815,10-04-2020,5:00 PM,Karnataka,30,6,197
846,11-04-2020,5:00 PM,Karnataka,37,6,214
877,12-04-2020,5:00 PM,Karnataka,37,6,226
908,13-04-2020,5:00 PM,Karnataka,59,6,247
940,14-04-2020,5:00 PM,Karnataka,65,9,258
973,15-04-2020,5:00 PM,Karnataka,75,11,277
1006,16-04-2020,5:00 PM,Karnataka,82,13,315
1039,17-04-2020,5:00 PM,Karnataka,82,13,353
1072,18-04-2020,5:00 PM,Karnataka,92,13,371
1105,19-04-2020,5:00 PM,Karnataka,104,14,384
1138,20-04-2020,5:00 PM,Karnataka,111,16,395
1171,21-04-2020,5:00 PM,Karnataka,114,17,415
1204,22-04-2020,5:00 PM,Karnataka,129,17,425
1236,23-04-2020,5:00 PM,Karnataka,141,17,443
1268,24-04-2020,5:00 PM,Karnataka,150,18,463
1300,25-04-2020,5:00 PM,Karnataka,153,18,489
1332,26-04-2020,5:00 PM,Karnataka,177,18,501
1364,27-04-2020,5:00 PM,Karnataka,188,20,511
1396,28-04-2020,5:00 PM,Karnataka,198,20,520
1428,29-04-2020,5:00 PM,Karnataka,215,20,532
1460,30-04-2020,5:00 PM,Karnataka,223,21,557
