,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
0,30-01-2020,6:00 PM,Kerala,0,0,1
1,31-01-2020,6:00 PM,Kerala,0,0,1
2,01-02-2020,6:00 PM,Kerala,0,0,2
3,02-02-2020,6:00 PM,Kerala,0,0,3
4,03-02-2020,6:00 PM,Kerala,0,0,3
5,04-02-2020,6:00 PM,Kerala,0,0,3
6,05-02-2020,6:00 PM,Kerala,0,0,3
7,06-02-2020,6:00 PM,Kerala,0,0,3
8,07-02-2020,6:00 PM,Kerala,0,0,3
9,08-02-2020,6:00 PM,Kerala,0,0,3
10,09-02-2020,6:00 PM,Kerala,0,0,3
11,10-02-2020,6:00 PM,Kerala,0,0,3
12,11-02-2020,6:00 PM,Kerala,0,0,3
13,12-02-2020,6:00 PM,Kerala,0,0,3
14,13-02-2020,6:00 PM,Kerala,0,0,3
15,14-02-2020,6:00 PM,Kerala,0,0,3
16,15-02-2020,6:00 PM,Kerala,0,0,3
17,16-02-2020,6:00 PM,Kerala,0,0,3
18,17-02-2020,6:00 PM,Kerala,0,0,3
19,18-02-2020,6:00 PM,Kerala,0,0,3
20,19-02-2020,6:00 PM,Kerala,0,0,3
21,20-02-2020,6:00 PM,Kerala,0,0,3
22,21-02-2020,6:00 PM,Kerala,0,0,3
23,22-02-2020,6:00 PM,Kerala,0,0,3
24,23-02-2020,6:00 PM,Kerala,0,0,3
25,24-02-2020,6:00 PM,Kerala,0,0,3
26,25-02-2020,6:00 PM,Kerala,0,0,3
27,26-02-2020,6:00 PM,Kerala,0,0,3
28,27-02-2020,6:00 PM,Kerala,0,0,3
29,28-02-2020,6:00 PM,Kerala,0,0,3
30,29-02-2020,6:00 PM,Kerala,0,0,3
31,01-03-2020,6:00 PM,Kerala,0,0,3
33,02-03-2020,6:00 PM,Kerala,0,0,3
37,03-03-2020,6:00 PM,Kerala,3,0,3
40,04-03-2020,6:00 PM,Kerala,3,0,3
47,05-03-2020,6:00 PM,Kerala,3,0,3
53,06-03-2020,6:00 PM,Kerala,3,0,3
57,07-03-2020,6:00 PM,Kerala,3,0,3
69,08-03-2020,6:00 PM,Kerala,3,0,8
75,09-03-2020,6:00 PM,Kerala,3,0,9
90,10-03-2020,6:00 PM,Kerala,3,0,15
100,11-03-2020,6:00 PM,Kerala,3,0,17
111,12-03-2020,6:00 PM,Kerala,3,0,17
124,13-03-2020,6:00 PM,Kerala,3,0,19
137,14-03-2020,6:00 PM,Kerala,3,0,19
152,15-03-2020,6:00 PM,Kerala,3,0,22
166,16-03-2020,6:00 PM,Kerala,3,0,23
181,17-03-2020,6:00 PM,Kerala,3,0,26
196,18-03-2020,6:00 PM,Kerala,3,0,27
214,19-03-2020,6:00 PM,Kerala,3,0,27
234,20-03-2020,6:00 PM,Kerala,3,0,28
255,21-03-2020,6:00 PM,Kerala,3,0,40
278,22-03-2020,6:00 PM,Kerala,3,0,52
301,23-03-2020,6:00 PM,Kerala,3,0,67
