,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
9343,11-12-2020,8:00 AM,Lakshadweep,0,0,0
9379,12-12-2020,8:00 AM,Lakshadweep,0,0,0
9415,13-12-2020,8:00 AM,Lakshadweep,0,0,0
9451,14-12-2020,8:00 AM,Lakshadweep,0,0,0
9487,15-12-2020,8:00 AM,Lakshadweep,0,0,0
9523,16-12-2020,8:00 AM,Lakshadweep,0,0,0
9559,17-12-2020,8:00 AM,Lakshadweep,0,0,0
9595,18-12-2020,8:00 AM,Lakshadweep,0,0,0
9631,19-12-2020,8:00 AM,Lakshadweep,0,0,0
9667,20-12-2020,8:00 AM,Lakshadweep,0,0,0
9703,21-12-2020,8:00 AM,Lakshadweep,0,0,0
9739,22-12-2020,8:00 AM,Lakshadweep,0,0,0
9775,23-12-2020,8:00 AM,Lakshadweep,0,0,0
9811,24-12-2020,8:00 AM,Lakshadweep,0,0,0
9847,25-12-2020,8:00 AM,Lakshadweep,0,0,0
9883,26-12-2020,8:00 AM,Lakshadweep,0,0,0
9919,27-12-2020,8:00 AM,Lakshadweep,0,0,0
9955,28-12-2020,8:00 AM,Lakshadweep,0,0,0
9991,29-12-2020,8:00 AM,Lakshadweep,0,0,0
10027,30-12-2020,8:00 AM,Lakshadweep,0,0,0
10063,31-12-2020,8:00 AM,Lakshadweep,0,0,0
10099,01-01-2021,8:00 AM,Lakshadweep,0,0,0
10135,02-01-2021,8:00 AM,Lakshadweep,0,0,0
10171,03-01-2021,8:00 AM,Lakshadweep,0,0,0
10207,04-01-2021,8:00 AM,Lakshadweep,0,0,0
10243,05-01-2021,8:00 AM,Lakshadweep,0,0,0
10279,06-01-2021,8:00 AM,Lakshadweep,0,0,0
10315,07-01-2021,8:00 AM,Lakshadweep,0,0,0
10351,08-01-2021,8:00 AM,Lakshadweep,0,0,0
10387,09-01-2021,8:00 AM,Lakshadweep,0,0,0
10423,10-01-2021,8:00 AM,Lakshadweep,0,0,0
10459,11-01-2021,8:00 AM,Lakshadweep,0,0,0
10495,12-01-2021,8:00 AM,Lakshadweep,0,0,0
10531,13-01-2021,8:00 AM,Lakshadweep,0,0,0
10567,14-01-2021,8:00 AM,Lakshadweep,0,0,0
10603,15-01-2021,8:00 AM,Lakshadweep,0,0,0
10639,16-01-2021,8:00 AM,Lakshadweep,0,0,0
10675,17-01-2021,8:00 AM,Lakshadweep,0,0,0
10711,18-01-2021,8:00 AM,Lakshadweep,0,0,0
10747,19-01-2021,8:00 AM,Lakshadweep,0,0,14
10783,20-01-2021,8:00 AM,Lakshadweep,0,0,21
10819,21-01-2021,8:00 AM,Lakshadweep,0,0,30
10855,22-01-2021,8:00 AM,Lakshadweep,0,0,48
10891,23-01-2021,8:00 AM,Lakshadweep,0,0,50
10927,24-01-2021,8:00 AM,Lakshadweep,0,0,57
10963,25-01-2021,8:00 AM,Lakshadweep,0,0,59
10999,26-01-2021,8:00 AM,Lakshadweep,0,0,67
11035,27-01-2021,8:00 AM,Lakshadweep,0,0,69
11071,28-01-2021,8:00 AM,Lakshadweep,0,0,69
11107,29-01-2021,8:00 AM,Lakshadweep,0,0,69
11143,30-01-2021,8:00 AM,Lakshadweep,14,0,70
11179,31-01-2021,8:00 AM,Lakshadweep,30,0,79
11215,01-02-2021,8:00 AM,Lakshadweep,49,0,87
11251,02-02-2021,8:00 AM,Lakshadweep,56,0,99
11287,03-02-2021,8:00 AM,Lakshadweep,56,0,119
11323,04-02-2021,8:00 AM,Lakshadweep,61,0,122
11359,05-02-2021,8:00 AM,Lakshadweep,61,0,126
11395,06-02-2021,8:00 AM,Lakshadweep,65,0,141
11431,07-02-2021,8:00 AM,Lakshadweep,65,0,151
11467,08-02-2021,8:00 AM,Lakshadweep,65,0,153
11503,09-02-2021,8:00 AM,Lakshadweep,76,0,154
11539,10-02-2021,8:00 AM,Lakshadweep,93,0,166
11575,11-02-2021,8:00 AM,Lakshadweep,118,0,181
11611,12-02-2021,8:00 AM,Lakshadweep,119,0,187
11647,13-02-2021,8:00 AM,Lakshadweep,119,0,188
11683,14-02-2021,8:00 AM,Lakshadweep,134,0,224
11719,15-02-2021,8:00 AM,Lakshadweep,136,0,233
11755,16-02-2021,8:00 AM,Lakshadweep,143,0,234
11791,17-02-2021,8:00 AM,Lakshadweep,158,0,251
11827,18-02-2021,8:00 AM,Lakshadweep,164,0,261
11863,19-02-2021,8:00 AM,Lakshadweep,167,0,263
11899,20-02-2021,8:00 AM,Lakshadweep,181,0,272
11935,21-02-2021,8:00 AM,Lakshadweep,192,0,277
11971,22-02-2021,8:00 AM,Lakshadweep,204,0,280
12007,23-02-2021,8:00 AM,Lakshadweep,215,0,295
12043,24-02-2021,8:00 AM,Lakshadweep,236,0,316
12079,25-02-2021,8:00 AM,Lakshadweep,236,0,322
12115,26-02-2021,8:00 AM,Lakshadweep,244,1,331
12151,27-02-2021,8:00 AM,Lakshadweep,252,1,333
12187,28-02-2021,8:00 AM,Lakshadweep,260,1,359
12223,01-03-2021,8:00 AM,Lakshadweep,261,1,382
12259,02-03-2021,8:00 AM,Lakshadweep,268,1,397
12295,03-03-2021,8:00 AM,Lakshadweep,269,1,407
12331,04-03-2021,8:00 AM,Lakshadweep,285,1,414
12367,05-03-2021,8:00 AM,Lakshadweep,309,1,425
12403,06-03-2021,8:00 AM,Lakshadweep,311,1,468
12439,07-03-2021,8:00 AM,Lakshadweep,313,1,473
12475,08-03-2021,8:00 AM,Lakshadweep,327,1,486
12511,09-03-2021,8:00 AM,Lakshadweep,329,1,494
12547,10-03-2021,8:00 AM,Lakshadweep,341,1,509
12583,11-03-2021,8:00 AM,Lakshadweep,341,1,509
12619,12-03-2021,8:00 AM,Lakshadweep,355,1,524
12655,13-03-2021,8:00 AM,Lakshadweep,380,1,587
12691,14-03-2021,8:00 AM,Lakshadweep,394,1,603
12727,15-03-2021,8:00 AM,Lakshadweep,400,1,604
12763,16-03-2021,8:00 AM,Lakshadweep,416,1,606
12799,17-03-2021,8:00 AM,Lakshadweep,457,1,625
12835,18-03-2021,8:00 AM,Lakshadweep,459,1,639
12871,19-03-2021,8:00 AM,Lakshadweep,470,1,644
12907,20-03-2021,8:00 AM,Lakshadweep,489,1,647
12943,21-03-2021,8:00 AM,Lakshadweep,511,1,648
12979,22-03-2021,8:00 AM,Lakshadweep,536,1,666
13015,23-03-2021,8:00 AM,Lakshadweep,581,1,691
13051,24-03-2021,8:00 AM,Lakshadweep,592,1,697
13087,25-03-2021,8:00 AM,Lakshadweep,592,1,697
13123,26-03-2021,8:00 AM,Lakshadweep,596,1,708
13159,27-03-2021,8:00 AM,Lakshadweep,614,1,714
13195,28-03-2021,8:00 AM,Lakshadweep,625,1,714
13231,29-03-2021,8:00 AM,Lakshadweep,657,1,715
13267,30-03-2021,8:00 AM,Lakshadweep,669,1,715
13303,31-03-2021,8:00 AM,Lakshadweep,678,1,718
13339,01-04-2021,8:00 AM,Lakshadweep,680,1,723
13375,02-04-2021,8:00 AM,Lakshadweep,688,1,726
13411,03-04-2021,8:00 AM,Lakshadweep,690,1,733
13447,04-04-2021,8:00 AM,Lakshadweep,701,1,740
13483,05-04-2021,8:00 AM,Lakshadweep,704,1,741
13519,06-04-2021,8:00 AM,Lakshadweep,712,1,744
13555,07-04-2021,8:00 AM,Lakshadweep,712,1,751
13591,08-04-2021,8:00 AM,Lakshadweep,716,1,770
13627,09-04-2021,8:00 AM,Lakshadweep,719,1,778
13663,10-04-2021,8:00 AM,Lakshadweep,728,1,784
13699,11-04-2021,8:00 AM,Lakshadweep,733,1,794
13735,12-04-2021,8:00 AM,Lakshadweep,736,1,799
13771,13-04-2021,8:00 AM,Lakshadweep,737,1,813
13807,14-04-2021,8:00 AM,Lakshadweep,746,1,833
13843,15-04-2021,8:00 AM,Lakshadweep,746,1,845
13879,16-04-2021,8:00 AM,Lakshadweep,754,1,901
13915,17-04-2021,8:00 AM,Lakshadweep,765,1,945
13951,18-04-2021,8:00 AM,Lakshadweep,770,1,1051
13987,19-04-2021,8:00 AM,Lakshadweep,774,1,1165
14024,20-04-2021,8:00 AM,Lakshadweep,791,1,1282
14060,21-04-2021,8:00 AM,Lakshadweep,817,1,1335
14096,22-04-2021,8:00 AM,Lakshadweep,833,1,1526
14132,23-04-2021,8:00 AM,Lakshadweep,867,1,1671
14168,24-04-2021,8:00 AM,Lakshadweep,884,1,1805
14204,25-04-2021,8:00 AM,Lakshadweep,917,1,1962
14240,26-04-2021,8:00 AM,Lakshadweep,947,1,2126
14276,27-04-2021,8:00 AM,Lakshadweep,1067,1,2247
14312,28-04-2021,8:00 AM,Lakshadweep,1198,1,2401
14348,29-04-2021,8:00 AM,Lakshadweep,1336,1,2504
14384,30-04-2021,8:00 AM,Lakshadweep,1382,4,2662
14420,01-05-2021,8:00 AM,Lakshadweep,1439,4,2767
14456,02-05-2021,8:00 AM,Lakshadweep,1481,4,2923
14492,03-05-2021,8:00 AM,Lakshadweep,1759,4,3010
14528,04-05-2021,8:00 AM,Lakshadweep,1868,6,3080
14564,05-05-2021,8:00 AM,Lakshadweep,2078,6,3249
14600,06-05-2021,8:00 AM,Lakshadweep,2240,7,3376
14636,07-05-2021,8:00 AM,Lakshadweep,2374,8,3528
14672,08-05-2021,8:00 AM,Lakshadweep,2493,9,3629
14708,09-05-2021,8:00 AM,Lakshadweep,2708,9,3756
14744,10-05-2021,8:00 AM,Lakshadweep,2856,9,3881
14780,11-05-2021,8:00 AM,Lakshadweep,2980,10,3982
14816,12-05-2021,8:00 AM,Lakshadweep,2980,10,3982
14852,13-05-2021,8:00 AM,Lakshadweep,3171,11,4202
14888,14-05-2021,8:00 AM,Lakshadweep,3290,13,4395
14924,15-05-2021,8:00 AM,Lakshadweep,3392,13,4568
14960,16-05-2021,8:00 AM,Lakshadweep,3487,13,4650
14996,17-05-2021,8:00 AM,Lakshadweep,3633,14,4767
15032,18-05-2021,8:00 AM,Lakshadweep,3764,14,4986
15068,19-05-2021,8:00 AM,Lakshadweep,3915,15,5212
15104,20-05-2021,8:00 AM,Lakshadweep,3974,18,5466
15140,21-05-2021,8:00 AM,Lakshadweep,4072,20,5756
15176,22-05-2021,8:00 AM,Lakshadweep,4251,22,6101
15212,23-05-2021,8:00 AM,Lakshadweep,4394,22,6418
15248,24-05-2021,8:00 AM,Lakshadweep,4537,24,6611
15284,25-05-2021,8:00 AM,Lakshadweep,4661,24,6847
15320,26-05-2021,8:00 AM,Lakshadweep,4765,26,7111
15356,27-05-2021,8:00 AM,Lakshadweep,4956,26,7229
15392,28-05-2021,8:00 AM,Lakshadweep,5136,28,7364
15428,29-05-2021,8:00 AM,Lakshadweep,5404,29,7542
15464,30-05-2021,8:00 AM,Lakshadweep,5622,31,7631
15500,31-05-2021,8:00 AM,Lakshadweep,5890,32,7928
15536,01-06-2021,8:00 AM,Lakshadweep,6242,33,8077
15572,02-06-2021,8:00 AM,Lakshadweep,6566,33,8166
15608,03-06-2021,8:00 AM,Lakshadweep,6833,35,8335
15643,04-06-2021,8:00 AM,Lakshadweep,7089,35,8479
15679,05-06-2021,8:00 AM,Lakshadweep,7324,36,8568
15716,06-06-2021,8:00 AM,Lakshadweep,7469,38,8667
15752,07-06-2021,8:00 AM,Lakshadweep,7694,38,8737
15788,08-06-2021,8:00 AM,Lakshadweep,7889,41,8775
15824,09-06-2021,8:00 AM,Lakshadweep,7942,42,8874
15860,10-06-2021,8:00 AM,Lakshadweep,8173,42,9002
15896,11-06-2021,8:00 AM,Lakshadweep,8310,42,9073
15932,12-06-2021,8:00 AM,Lakshadweep,8414,43,9122
15968,13-06-2021,8:00 AM,Lakshadweep,8517,43,9175
16004,14-06-2021,8:00 AM,Lakshadweep,8589,44,9209
