,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
256,21-03-2020,6:00 PM,Madhya Pradesh,0,0,4
279,22-03-2020,6:00 PM,Madhya Pradesh,0,0,4
302,23-03-2020,6:00 PM,Madhya Pradesh,0,0,6
325,24-03-2020,6:00 PM,Madhya Pradesh,0,0,7
349,25-03-2020,6:00 PM,Madhya Pradesh,0,0,14
379,26-03-2020,6:00 PM,Madhya Pradesh,0,1,20
406,27-03-2020,10:00 AM,Madhya Pradesh,0,1,20
433,28-03-2020,6:00 PM,Madhya Pradesh,0,2,30
460,29-03-2020,7:30 PM,Madhya Pradesh,0,2,30
487,30-03-2020,9:30 PM,Madhya Pradesh,0,3,47
515,31-03-2020,8:30 PM,Madhya Pradesh,0,3,47
545,01-04-2020,7:30 PM,Madhya Pradesh,0,3,66
574,02-04-2020,6:00 PM,Madhya Pradesh,0,6,99
604,03-04-2020,6:00 PM,Madhya Pradesh,0,6,104
635,04-04-2020,6:00 PM,Madhya Pradesh,0,6,104
665,05-04-2020,6:00 PM,Madhya Pradesh,0,9,165
695,06-04-2020,6:00 PM,Madhya Pradesh,0,9,165
725,07-04-2020,6:00 PM,Madhya Pradesh,0,13,229
756,08-04-2020,5:00 PM,Madhya Pradesh,0,13,229
787,09-04-2020,5:00 PM,Madhya Pradesh,0,16,259
818,10-04-2020,5:00 PM,Madhya Pradesh,0,16,259
849,11-04-2020,5:00 PM,Madhya Pradesh,0,33,443
880,12-04-2020,5:00 PM,Madhya Pradesh,0,36,564
911,13-04-2020,5:00 PM,Madhya Pradesh,44,43,604
943,14-04-2020,5:00 PM,Madhya Pradesh,51,50,730
976,15-04-2020,5:00 PM,Madhya Pradesh,64,53,987
1009,16-04-2020,5:00 PM,Madhya Pradesh,64,53,1120
1042,17-04-2020,5:00 PM,Madhya Pradesh,65,57,1308
1075,18-04-2020,5:00 PM,Madhya Pradesh,69,69,1355
1108,19-04-2020,5:00 PM,Madhya Pradesh,127,70,1407
1141,20-04-2020,5:00 PM,Madhya Pradesh,127,74,1485
1174,21-04-2020,5:00 PM,Madhya Pradesh,127,76,1540
1207,22-04-2020,5:00 PM,Madhya Pradesh,148,80,1592
1239,23-04-2020,5:00 PM,Madhya Pradesh,148,81,1695
1271,24-04-2020,5:00 PM,Madhya Pradesh,203,83,1852
1303,25-04-2020,5:00 PM,Madhya Pradesh,210,92,1952
1335,26-04-2020,5:00 PM,Madhya Pradesh,210,99,2096
1367,27-04-2020,5:00 PM,Madhya Pradesh,302,106,2168
1399,28-04-2020,5:00 PM,Madhya Pradesh,361,113,2368
1431,29-04-2020,5:00 PM,Madhya Pradesh,377,119,2561
1463,30-04-2020,5:00 PM,Madhya Pradesh,461,130,2660
1495,01-05-2020,5:00 PM,Madhya Pradesh,482,137,2719
1527,02-05-2020,5:00 PM,Madhya Pradesh,524,145,2719
1559,03-05-2020,5:00 PM,Madhya Pradesh,798,156,2846
1591,04-05-2020,5:00 PM,Madhya Pradesh,798,165,2942
1623,05-05-2020,5:00 PM,Madhya Pradesh,1000,176,3049
1656,06-05-2020,8:00 AM,Madhya Pradesh,1000,176,3049
1689,07-05-2020,8:00 AM,Madhya Pradesh,1099,185,3138
1722,08-05-2020,8:00 AM,Madhya Pradesh,1231,193,3252
1755,09-05-2020,8:00 AM,Madhya Pradesh,1349,200,3341
1788,10-05-2020,8:00 AM,Madhya Pradesh,1676,215,3614
1821,11-05-2020,8:00 AM,Madhya Pradesh,1676,215,3614
1854,12-05-2020,8:00 AM,Madhya Pradesh,1747,221,3785
1887,13-05-2020,8:00 AM,Madhya Pradesh,1860,225,3986
1920,14-05-2020,8:00 AM,Madhya Pradesh,2004,232,4173
