,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
327,24-03-2020,6:00 PM,Manipur,0,0,1
351,25-03-2020,6:00 PM,Manipur,0,0,1
381,26-03-2020,6:00 PM,Manipur,0,0,1
408,27-03-2020,10:00 AM,Manipur,0,0,1
435,28-03-2020,6:00 PM,Manipur,0,0,1
462,29-03-2020,7:30 PM,Manipur,0,0,1
489,30-03-2020,9:30 PM,Manipur,0,0,1
517,31-03-2020,8:30 PM,Manipur,0,0,1
547,01-04-2020,7:30 PM,Manipur,0,0,1
576,02-04-2020,6:00 PM,Manipur,0,0,1
606,03-04-2020,6:00 PM,Manipur,0,0,2
637,04-04-2020,6:00 PM,Manipur,0,0,2
667,05-04-2020,6:00 PM,Manipur,0,0,2
697,06-04-2020,6:00 PM,Manipur,0,0,2
727,07-04-2020,6:00 PM,Manipur,0,0,2
758,08-04-2020,5:00 PM,Manipur,0,0,2
789,09-04-2020,5:00 PM,Manipur,1,0,2
820,10-04-2020,5:00 PM,Manipur,1,0,2
851,11-04-2020,5:00 PM,Manipur,1,0,2
882,12-04-2020,5:00 PM,Manipur,1,0,2
913,13-04-2020,5:00 PM,Manipur,1,0,2
945,14-04-2020,5:00 PM,Manipur,1,0,2
978,15-04-2020,5:00 PM,Manipur,1,0,2
1011,16-04-2020,5:00 PM,Manipur,1,0,2
1044,17-04-2020,5:00 PM,Manipur,1,0,2
1077,18-04-2020,5:00 PM,Manipur,1,0,2
1110,19-04-2020,5:00 PM,Manipur,1,0,2
1143,20-04-2020,5:00 PM,Manipur,2,0,2
1176,21-04-2020,5:00 PM,Manipur,2,0,2
1209,22-04-2020,5:00 PM,Manipur,2,0,2
1241,23-04-2020,5:00 PM,Manipur,2,0,2
1273,24-04-2020,5:00 PM,Manipur,2,0,2
1305,25-04-2020,5:00 PM,Manipur,2,0,2
1337,26-04-2020,5:00 PM,Manipur,2,0,2
1369,27-04-2020,5:00 PM,Manipur,2,0,2
1401,28-04-2020,5:00 PM,Manipur,2,0,2
1433,29-04-2020,5:00 PM,Manipur,2,0,2
1465,30-04-2020,5:00 PM,Manipur,2,0,2
1497,01-05-2020,5:00 PM,Manipur,2,0,2
1529,02-05-2020,5:00 PM,Manipur,2,0,2
1561,03-05-2020,5:00 PM,Manipur,2,0,2
1593,04-05-2020,5:00 PM,Manipur,2,0,2
1625,05-05-2020,5:00 PM,Manipur,2,0,2
1658,06-05-2020,8:00 AM,Manipur,2,0,2
1691,07-05-2020,8:00 AM,Manipur,2,0,2
1724,08-05-2020,8:00 AM,Manipur,2,0,2
1757,09-05-2020,8:00 AM,Manipur,2,0,2
1790,10-05-2020,8:00 AM,Manipur,2,0,2
1823,11-05-2020,8:00 AM,Manipur,2,0,2
1856,12-05-2020,8:00 AM,Manipur,2,0,2
1889,13-05-2020,8:00 AM,Manipur,2,0,2
1922,14-05-2020,8:00 AM,Manipur,2,0,2
1955,15-05-2020,8:00 AM,Manipur,2,0,3
1988,16-05-2020,8:00 AM,Manipur,2,0,3
2021,17-05-2020,8:00 AM,Manipur,2,0,7
2054,18-05-2020,8:00 AM,Manipur,2,0,7
2087,19-05-2020,8:00 AM,Manipur,2,0,7
2120,20-05-2020,8:00 AM,Manipur,2,0,9
2154,21-05-2020,8:00 AM,Manipur,2,0,25
2188,22-05-2020,8:00 AM,Manipur,2,0,25
2222,23-05-2020,8:00 AM,Manipur,2,0,26
2256,24-05-2020,8:00 AM,Manipur,4,0,29
2291,25-05-2020,8:00 AM,Manipur,4,0,32
2326,26-05-2020,8:00 AM,Manipur,4,0,39
2362,27-05-2020,8:00 AM,Manipur,4,0,39
2398,28-05-2020,8:00 AM,Manipur,4,0,44
2434,29-05-2020,8:00 AM,Manipur,5,0,55
2470,30-05-2020,8:00 AM,Manipur,8,0,59
2506,31-05-2020,8:00 AM,Manipur,8,0,62
2542,01-06-2020,8:00 AM,Manipur,11,0,71
2578,02-06-2020,8:00 AM,Manipur,11,0,83
2614,03-06-2020,8:00 AM,Manipur,14,0,89
2650,04-06-2020,8:00 AM,Manipur,38,0,118
2686,05-06-2020,8:00 AM,Manipur,38,0,124
2722,06-06-2020,8:00 AM,Manipur,41,0,132
2758,07-06-2020,8:00 AM,Manipur,52,0,157
2794,08-06-2020,8:00 AM,Manipur,52,0,172
2830,09-06-2020,8:00 AM,Manipur,58,0,272
2866,10-06-2020,8:00 AM,Manipur,61,0,304
2903,11-06-2020,8:00 AM,Manipur,63,0,311
2939,12-06-2020,8:00 AM,Manipur,73,0,366
2975,13-06-2020,8:00 AM,Manipur,77,0,385
3011,14-06-2020,8:00 AM,Manipur,91,0,449
3047,15-06-2020,8:00 AM,Manipur,91,0,458
3083,16-06-2020,8:00 AM,Manipur,151,0,490
3119,17-06-2020,8:00 AM,Manipur,159,0,500
3155,18-06-2020,8:00 AM,Manipur,192,0,552
3191,19-06-2020,8:00 AM,Manipur,199,0,606
3227,20-06-2020,8:00 AM,Manipur,218,0,681
3263,21-06-2020,8:00 AM,Manipur,232,0,777
3299,22-06-2020,8:00 AM,Manipur,250,0,841
3335,23-06-2020,8:00 AM,Manipur,250,0,898
3371,24-06-2020,8:00 AM,Manipur,258,0,921
3407,25-06-2020,8:00 AM,Manipur,328,0,970
3443,26-06-2020,8:00 AM,Manipur,354,0,1056
3479,27-06-2020,8:00 AM,Manipur,393,0,1075
3515,28-06-2020,8:00 AM,Manipur,432,0,1092
3551,29-06-2020,8:00 AM,Manipur,455,0,1185
3587,30-06-2020,8:00 AM,Manipur,494,0,1227
3623,01-07-2020,8:00 AM,Manipur,553,0,1234
3659,02-07-2020,8:00 AM,Manipur,579,0,1260
3695,03-07-2020,8:00 AM,Manipur,617,0,1279
3731,04-07-2020,8:00 AM,Manipur,639,0,1316
3767,05-07-2020,8:00 AM,Manipur,667,0,1325
3803,06-07-2020,8:00 AM,Manipur,688,0,1366
3839,07-07-2020,8:00 AM,Manipur,734,0,1390
3875,08-07-2020,8:00 AM,Manipur,771,0,1430
3911,09-07-2020,8:00 AM,Manipur,793,0,1435
3947,10-07-2020,8:00 AM,Manipur,799,0,1450
3983,11-07-2020,8:00 AM,Manipur,832,0,1582
4019,12-07-2020,8:00 AM,Manipur,843,0,1593
4055,13-07-2020,8:00 AM,Manipur,896,0,1609
4091,14-07-2020,8:00 AM,Manipur,970,0,1626
4127,15-07-2020,8:00 AM,Manipur,970,0,1672
4163,16-07-2020,8:00 AM,Manipur,989,0,1700
4199,17-07-2020,8:00 AM,Manipur,1129,0,1764
4235,18-07-2020,8:00 AM,Manipur,1163,0,1800
4271,19-07-2020,8:00 AM,Manipur,1182,0,1891
4306,20-07-2020,8:00 AM,Manipur,1213,0,1911
4341,21-07-2020,8:00 AM,Manipur,1307,0,1925
4376,22-07-2020,8:00 AM,Manipur,1400,0,2015
4411,23-07-2020,8:00 AM,Manipur,1428,0,2060
4446,24-07-2020,8:00 AM,Manipur,1466,0,2115
4481,25-07-2020,8:00 AM,Manipur,1491,0,2146
4516,26-07-2020,8:00 AM,Manipur,1524,0,2176
4551,27-07-2020,8:00 AM,Manipur,1554,0,2235
4586,28-07-2020,8:00 AM,Manipur,1596,0,2286
