,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
946,14-04-2020,5:00 PM,Meghalaya,0,0,1
979,15-04-2020,5:00 PM,Meghalaya,0,1,7
1012,16-04-2020,5:00 PM,Meghalaya,0,1,7
1045,17-04-2020,5:00 PM,Meghalaya,0,1,9
1078,18-04-2020,5:00 PM,Meghalaya,0,1,11
1111,19-04-2020,5:00 PM,Meghalaya,0,1,11
1144,20-04-2020,5:00 PM,Meghalaya,0,1,11
1177,21-04-2020,5:00 PM,Meghalaya,0,1,11
1210,22-04-2020,5:00 PM,Meghalaya,0,1,12
1242,23-04-2020,5:00 PM,Meghalaya,0,1,12
1274,24-04-2020,5:00 PM,Meghalaya,0,1,12
1306,25-04-2020,5:00 PM,Meghalaya,0,1,12
1338,26-04-2020,5:00 PM,Meghalaya,0,1,12
1370,27-04-2020,5:00 PM,Meghalaya,0,1,12
1402,28-04-2020,5:00 PM,Meghalaya,0,1,12
1434,29-04-2020,5:00 PM,Meghalaya,0,1,12
1466,30-04-2020,5:00 PM,Meghalaya,0,1,12
1498,01-05-2020,5:00 PM,Meghalaya,0,1,12
1530,02-05-2020,5:00 PM,Meghalaya,0,1,12
1562,03-05-2020,5:00 PM,Meghalaya,0,1,12
1594,04-05-2020,5:00 PM,Meghalaya,0,1,12
1626,05-05-2020,5:00 PM,Meghalaya,10,1,12
1659,06-05-2020,8:00 AM,Meghalaya,10,1,12
1692,07-05-2020,8:00 AM,Meghalaya,10,1,12
1725,08-05-2020,8:00 AM,Meghalaya,10,1,12
1758,09-05-2020,8:00 AM,Meghalaya,10,1,12
1791,10-05-2020,8:00 AM,Meghalaya,10,1,13
1824,11-05-2020,8:00 AM,Meghalaya,10,1,13
1857,12-05-2020,8:00 AM,Meghalaya,10,1,13
1890,13-05-2020,8:00 AM,Meghalaya,10,1,13
1923,14-05-2020,8:00 AM,Meghalaya,10,1,13
1956,15-05-2020,8:00 AM,Meghalaya,11,1,13
1989,16-05-2020,8:00 AM,Meghalaya,11,1,13
2022,17-05-2020,8:00 AM,Meghalaya,11,1,13
2055,18-05-2020,8:00 AM,Meghalaya,11,1,13
2088,19-05-2020,8:00 AM,Meghalaya,11,1,13
2121,20-05-2020,8:00 AM,Meghalaya,12,1,13
2155,21-05-2020,8:00 AM,Meghalaya,12,1,14
2189,22-05-2020,8:00 AM,Meghalaya,12,1,14
2223,23-05-2020,8:00 AM,Meghalaya,12,1,14
2257,24-05-2020,8:00 AM,Meghalaya,12,1,14
2292,25-05-2020,8:00 AM,Meghalaya,12,1,14
2327,26-05-2020,8:00 AM,Meghalaya,12,1,14
2363,27-05-2020,8:00 AM,Meghalaya,12,1,15
2399,28-05-2020,8:00 AM,Meghalaya,12,1,20
2435,29-05-2020,8:00 AM,Meghalaya,12,1,21
2471,30-05-2020,8:00 AM,Meghalaya,12,1,27
2507,31-05-2020,8:00 AM,Meghalaya,12,1,27
2543,01-06-2020,8:00 AM,Meghalaya,12,1,27
2579,02-06-2020,8:00 AM,Meghalaya,12,1,27
2615,03-06-2020,8:00 AM,Meghalaya,12,1,27
2651,04-06-2020,8:00 AM,Meghalaya,13,1,33
2687,05-06-2020,8:00 AM,Meghalaya,13,1,33
2723,06-06-2020,8:00 AM,Meghalaya,13,1,33
2759,07-06-2020,8:00 AM,Meghalaya,13,1,33
2795,08-06-2020,8:00 AM,Meghalaya,13,1,36
2831,09-06-2020,8:00 AM,Meghalaya,13,1,36
2867,10-06-2020,8:00 AM,Meghalaya,13,1,43
2904,11-06-2020,8:00 AM,Meghalaya,13,1,44
2940,12-06-2020,8:00 AM,Meghalaya,18,1,44
2976,13-06-2020,8:00 AM,Meghalaya,22,1,44
3012,14-06-2020,8:00 AM,Meghalaya,22,1,44
3048,15-06-2020,8:00 AM,Meghalaya,25,1,44
3084,16-06-2020,8:00 AM,Meghalaya,25,1,44
3120,17-06-2020,8:00 AM,Meghalaya,25,1,44
3156,18-06-2020,8:00 AM,Meghalaya,30,1,44
3192,19-06-2020,8:00 AM,Meghalaya,30,1,44
3228,20-06-2020,8:00 AM,Meghalaya,33,1,44
3264,21-06-2020,8:00 AM,Meghalaya,33,1,44
3300,22-06-2020,8:00 AM,Meghalaya,33,1,44
3336,23-06-2020,8:00 AM,Meghalaya,37,1,44
3372,24-06-2020,8:00 AM,Meghalaya,37,1,46
3408,25-06-2020,8:00 AM,Meghalaya,42,1,46
3444,26-06-2020,8:00 AM,Meghalaya,42,1,46
3480,27-06-2020,8:00 AM,Meghalaya,42,1,47
3516,28-06-2020,8:00 AM,Meghalaya,42,1,47
3552,29-06-2020,8:00 AM,Meghalaya,42,1,47
3588,30-06-2020,8:00 AM,Meghalaya,42,1,47
3624,01-07-2020,8:00 AM,Meghalaya,42,1,52
3660,02-07-2020,8:00 AM,Meghalaya,42,1,52
3696,03-07-2020,8:00 AM,Meghalaya,42,1,56
3732,04-07-2020,8:00 AM,Meghalaya,43,1,62
3768,05-07-2020,8:00 AM,Meghalaya,43,1,62
3804,06-07-2020,8:00 AM,Meghalaya,43,1,62
3840,07-07-2020,8:00 AM,Meghalaya,43,1,80
3876,08-07-2020,8:00 AM,Meghalaya,43,1,80
3912,09-07-2020,8:00 AM,Meghalaya,43,1,80
3948,10-07-2020,8:00 AM,Meghalaya,66,2,113
3984,11-07-2020,8:00 AM,Meghalaya,66,2,207
4020,12-07-2020,8:00 AM,Meghalaya,66,2,207
4056,13-07-2020,8:00 AM,Meghalaya,66,2,306
4092,14-07-2020,8:00 AM,Meghalaya,66,2,318
4128,15-07-2020,8:00 AM,Meghalaya,66,2,318
4164,16-07-2020,8:00 AM,Meghalaya,66,2,346
4200,17-07-2020,8:00 AM,Meghalaya,66,2,377
4236,18-07-2020,8:00 AM,Meghalaya,66,2,403
4272,19-07-2020,8:00 AM,Meghalaya,66,2,418
4307,20-07-2020,8:00 AM,Meghalaya,66,2,450
4342,21-07-2020,8:00 AM,Meghalaya,66,4,466
4377,22-07-2020,8:00 AM,Meghalaya,70,4,490
4412,23-07-2020,8:00 AM,Meghalaya,77,4,514
4447,24-07-2020,8:00 AM,Meghalaya,78,4,534
4482,25-07-2020,8:00 AM,Meghalaya,87,5,588
4517,26-07-2020,8:00 AM,Meghalaya,94,5,646
4552,27-07-2020,8:00 AM,Meghalaya,135,5,702
4587,28-07-2020,8:00 AM,Meghalaya,186,5,738
4622,29-07-2020,8:00 AM,Meghalaya,194,5,779
4657,30-07-2020,8:00 AM,Meghalaya,207,5,784
4692,31-07-2020,8:00 AM,Meghalaya,210,5,803
4727,01-08-2020,8:00 AM,Meghalaya,215,5,823
4762,02-08-2020,8:00 AM,Meghalaya,252,5,856
4797,03-08-2020,8:00 AM,Meghalaya,264,5,874
4832,04-08-2020,8:00 AM,Meghalaya,264,5,902
4867,05-08-2020,8:00 AM,Meghalaya,330,5,917
4902,06-08-2020,8:00 AM,Meghalaya,330,5,929
4937,07-08-2020,8:00 AM,Meghalaya,345,5,990
4972,08-08-2020,8:00 AM,Meghalaya,411,5,1006
5007,09-08-2020,8:00 AM,Meghalaya,423,6,1023
5042,10-08-2020,8:00 AM,Meghalaya,490,6,1062
5077,11-08-2020,8:00 AM,Meghalaya,498,6,1114
5112,12-08-2020,8:00 AM,Meghalaya,509,6,1136
5147,13-08-2020,8:00 AM,Meghalaya,517,6,1179
5182,14-08-2020,8:00 AM,Meghalaya,547,6,1193
5217,15-08-2020,8:00 AM,Meghalaya,581,6,1228
5252,16-08-2020,8:00 AM,Meghalaya,596,6,1292
5287,17-08-2020,8:00 AM,Meghalaya,675,6,1374
5322,18-08-2020,8:00 AM,Meghalaya,679,6,1418
5357,19-08-2020,8:00 AM,Meghalaya,685,6,1457
5392,20-08-2020,8:00 AM,Meghalaya,694,6,1506
5427,21-08-2020,8:00 AM,Meghalaya,730,6,1661
5462,22-08-2020,8:00 AM,Meghalaya,749,6,1718
5497,23-08-2020,8:00 AM,Meghalaya,769,7,1811
5532,24-08-2020,8:00 AM,Meghalaya,776,8,1917
5567,25-08-2020,8:00 AM,Meghalaya,789,8,1976
5602,26-08-2020,8:00 AM,Meghalaya,832,8,2018
5637,27-08-2020,8:00 AM,Meghalaya,874,8,2050
5672,28-08-2020,8:00 AM,Meghalaya,899,8,2129
5707,29-08-2020,8:00 AM,Meghalaya,958,10,2240
5742,30-08-2020,8:00 AM,Meghalaya,1035,10,2283
5777,31-08-2020,8:00 AM,Meghalaya,1049,10,2343
5812,01-09-2020,8:00 AM,Meghalaya,1162,10,2368
5847,02-09-2020,8:00 AM,Meghalaya,1235,12,2440
5882,03-09-2020,8:00 AM,Meghalaya,1318,13,2517
5917,04-09-2020,8:00 AM,Meghalaya,1393,13,2626
5952,05-09-2020,8:00 AM,Meghalaya,1468,14,2734
5987,06-09-2020,8:00 AM,Meghalaya,1527,15,2916
6022,07-09-2020,8:00 AM,Meghalaya,1556,16,3005
6057,08-09-2020,8:00 AM,Meghalaya,1560,17,3034
6092,09-09-2020,8:00 AM,Meghalaya,1716,17,3076
6127,10-09-2020,8:00 AM,Meghalaya,1823,19,3197
6162,11-09-2020,8:00 AM,Meghalaya,1842,20,3296
6197,12-09-2020,8:00 AM,Meghalaya,1889,24,3447
6232,13-09-2020,8:00 AM,Meghalaya,2020,25,3615
6267,14-09-2020,8:00 AM,Meghalaya,2075,26,3724
6302,15-09-2020,8:00 AM,Meghalaya,2151,27,3864
6337,16-09-2020,8:00 AM,Meghalaya,2190,28,4036
6372,17-09-2020,8:00 AM,Meghalaya,2264,29,4195
6407,18-09-2020,8:00 AM,Meghalaya,2342,31,4356
6442,19-09-2020,8:00 AM,Meghalaya,2437,32,4445
6477,20-09-2020,8:00 AM,Meghalaya,2483,36,4557
6512,21-09-2020,8:00 AM,Meghalaya,2513,36,4660
6547,22-09-2020,8:00 AM,Meghalaya,2527,37,4733
6582,23-09-2020,8:00 AM,Meghalaya,2706,38,4791
6617,24-09-2020,8:00 AM,Meghalaya,2859,42,4961
6652,25-09-2020,8:00 AM,Meghalaya,3058,43,5078
6687,26-09-2020,8:00 AM,Meghalaya,3343,43,5158
6722,27-09-2020,8:00 AM,Meghalaya,3654,43,5212
6757,28-09-2020,8:00 AM,Meghalaya,3779,43,5302
6792,29-09-2020,8:00 AM,Meghalaya,3868,46,5362
6827,30-09-2020,8:00 AM,Meghalaya,3940,47,5463
6862,01-10-2020,8:00 AM,Meghalaya,3975,49,5639
6897,02-10-2020,8:00 AM,Meghalaya,4001,51,5802
6932,03-10-2020,8:00 AM,Meghalaya,4226,52,6033
6967,04-10-2020,8:00 AM,Meghalaya,4319,54,6456
7002,05-10-2020,8:00 AM,Meghalaya,4393,54,6656
7037,06-10-2020,8:00 AM,Meghalaya,4491,59,6767
7072,07-10-2020,8:00 AM,Meghalaya,4606,60,7037
7107,08-10-2020,8:00 AM,Meghalaya,4694,60,7165
7142,09-10-2020,8:00 AM,Meghalaya,4832,60,7261
7177,10-10-2020,8:00 AM,Meghalaya,4903,61,7388
7212,11-10-2020,8:00 AM,Meghalaya,5045,62,7544
7247,12-10-2020,8:00 AM,Meghalaya,5142,63,7683
7282,13-10-2020,8:00 AM,Meghalaya,5273,64,7771
7317,14-10-2020,8:00 AM,Meghalaya,5406,65,7838
7352,15-10-2020,8:00 AM,Meghalaya,5582,70,7991
7387,16-10-2020,8:00 AM,Meghalaya,5646,73,8164
7422,17-10-2020,8:00 AM,Meghalaya,5735,75,8303
7457,18-10-2020,8:00 AM,Meghalaya,6034,75,8404
7492,19-10-2020,8:00 AM,Meghalaya,6282,75,8508
7527,20-10-2020,8:00 AM,Meghalaya,6392,75,8536
7562,21-10-2020,8:00 AM,Meghalaya,6497,76,8593
7597,22-10-2020,8:00 AM,Meghalaya,6674,77,8621
7632,23-10-2020,8:00 AM,Meghalaya,6981,78,8720
7667,24-10-2020,8:00 AM,Meghalaya,7091,79,8801
7702,25-10-2020,8:00 AM,Meghalaya,7228,80,8882
7737,26-10-2020,8:00 AM,Meghalaya,7332,81,9018
7772,27-10-2020,8:00 AM,Meghalaya,7471,81,9066
7807,28-10-2020,8:00 AM,Meghalaya,7643,82,9136
7842,29-10-2020,8:00 AM,Meghalaya,7777,85,9226
7877,30-10-2020,8:00 AM,Meghalaya,7890,87,9303
7912,31-10-2020,8:00 AM,Meghalaya,8125,87,9382
7947,01-11-2020,8:00 AM,Meghalaya,8345,88,9452
7982,02-11-2020,8:00 AM,Meghalaya,8462,90,9607
8017,03-11-2020,8:00 AM,Meghalaya,8579,90,9678
8052,04-11-2020,8:00 AM,Meghalaya,8680,90,9741
8087,05-11-2020,8:00 AM,Meghalaya,8752,90,9801
8122,06-11-2020,8:00 AM,Meghalaya,8813,91,9893
8157,07-11-2020,8:00 AM,Meghalaya,8904,91,9979
8192,08-11-2020,8:00 AM,Meghalaya,8959,93,10047
8227,09-11-2020,8:00 AM,Meghalaya,9075,93,10202
8262,10-11-2020,8:00 AM,Meghalaya,9112,94,10230
8297,11-11-2020,8:00 AM,Meghalaya,9241,94,10296
8332,12-11-2020,8:00 AM,Meghalaya,9312,94,10368
8367,13-11-2020,8:00 AM,Meghalaya,9368,98,10511
8402,14-11-2020,8:00 AM,Meghalaya,9455,98,10581
8437,15-11-2020,8:00 AM,Meghalaya,9518,100,10632
8472,16-11-2020,8:00 AM,Meghalaya,9594,100,10665
8507,17-11-2020,8:00 AM,Meghalaya,9672,101,10706
8542,18-11-2020,8:00 AM,Meghalaya,9955,102,10791
8577,19-11-2020,8:00 AM,Meghalaya,10014,103,10870
8612,20-11-2020,8:00 AM,Meghalaya,10074,104,10979
8647,21-11-2020,8:00 AM,Meghalaya,10158,106,11152
8682,22-11-2020,8:00 AM,Meghalaya,10236,108,11269
8717,23-11-2020,8:00 AM,Meghalaya,10335,110,11339
8752,24-11-2020,8:00 AM,Meghalaya,10392,110,11397
8787,25-11-2020,8:00 AM,Meghalaya,10451,110,11454
8822,26-11-2020,8:00 AM,Meghalaya,10488,110,11513
8857,27-11-2020,8:00 AM,Meghalaya,10524,110,11581
8892,28-11-2020,8:00 AM,Meghalaya,10606,110,11633
8927,29-11-2020,8:00 AM,Meghalaya,10735,111,11704
8962,30-11-2020,8:00 AM,Meghalaya,10861,111,11740
8997,01-12-2020,8:00 AM,Meghalaya,10936,111,11810
9032,02-12-2020,8:00 AM,Meghalaya,11094,112,11875
9067,03-12-2020,8:00 AM,Meghalaya,11154,114,11954
9102,04-12-2020,8:00 AM,Meghalaya,11241,116,12005
9137,05-12-2020,8:00 AM,Meghalaya,11319,118,12067
9172,06-12-2020,8:00 AM,Meghalaya,11392,118,12164
9207,07-12-2020,8:00 AM,Meghalaya,11453,120,12237
9242,08-12-2020,8:00 AM,Meghalaya,11573,120,12314
9277,09-12-2020,8:00 AM,Meghalaya,11686,122,12410
9312,10-12-2020,8:00 AM,Meghalaya,11855,122,12511
9348,11-12-2020,8:00 AM,Meghalaya,11883,123,12586
9384,12-12-2020,8:00 AM,Meghalaya,11927,124,12645
9420,13-12-2020,8:00 AM,Meghalaya,11977,125,12743
9456,14-12-2020,8:00 AM,Meghalaya,12008,128,12866
9492,15-12-2020,8:00 AM,Meghalaya,12058,130,12941
9528,16-12-2020,8:00 AM,Meghalaya,12186,131,13007
9564,17-12-2020,8:00 AM,Meghalaya,12252,133,13072
9600,18-12-2020,8:00 AM,Meghalaya,12322,133,13141
9636,19-12-2020,8:00 AM,Meghalaya,12470,133,13189
9672,20-12-2020,8:00 AM,Meghalaya,12531,133,13221
9708,21-12-2020,8:00 AM,Meghalaya,12620,134,13253
9744,22-12-2020,8:00 AM,Meghalaya,12692,134,13258
9780,23-12-2020,8:00 AM,Meghalaya,12735,134,13299
9816,24-12-2020,8:00 AM,Meghalaya,12894,135,13328
9852,25-12-2020,8:00 AM,Meghalaya,12922,135,13340
9888,26-12-2020,8:00 AM,Meghalaya,12940,135,13369
9924,27-12-2020,8:00 AM,Meghalaya,12985,138,13371
9960,28-12-2020,8:00 AM,Meghalaya,13012,138,13376
9996,29-12-2020,8:00 AM,Meghalaya,13042,138,13379
10032,30-12-2020,8:00 AM,Meghalaya,13066,138,13387
10068,31-12-2020,8:00 AM,Meghalaya,13085,139,13408
10104,01-01-2021,8:00 AM,Meghalaya,13139,139,13427
10140,02-01-2021,8:00 AM,Meghalaya,13142,139,13445
10176,03-01-2021,8:00 AM,Meghalaya,13173,139,13448
10212,04-01-2021,8:00 AM,Meghalaya,13186,139,13460
10248,05-01-2021,8:00 AM,Meghalaya,13204,139,13482
10284,06-01-2021,8:00 AM,Meghalaya,13216,141,13506
10320,07-01-2021,8:00 AM,Meghalaya,13230,141,13525
10356,08-01-2021,8:00 AM,Meghalaya,13257,141,13536
10392,09-01-2021,8:00 AM,Meghalaya,13262,143,13560
10428,10-01-2021,8:00 AM,Meghalaya,13286,143,13592
10464,11-01-2021,8:00 AM,Meghalaya,13313,143,13611
10500,12-01-2021,8:00 AM,Meghalaya,13337,143,13631
10536,13-01-2021,8:00 AM,Meghalaya,13356,143,13651
10572,14-01-2021,8:00 AM,Meghalaya,13365,144,13669
10608,15-01-2021,8:00 AM,Meghalaya,13382,144,13687
10644,16-01-2021,8:00 AM,Meghalaya,13386,144,13691
10680,17-01-2021,8:00 AM,Meghalaya,13401,144,13693
10716,18-01-2021,8:00 AM,Meghalaya,13412,144,13704
10752,19-01-2021,8:00 AM,Meghalaya,13415,144,13707
10788,20-01-2021,8:00 AM,Meghalaya,13433,144,13710
10824,21-01-2021,8:00 AM,Meghalaya,13440,144,13717
10860,22-01-2021,8:00 AM,Meghalaya,13446,146,13721
10896,23-01-2021,8:00 AM,Meghalaya,13449,146,13723
10932,24-01-2021,8:00 AM,Meghalaya,13459,146,13727
10968,25-01-2021,8:00 AM,Meghalaya,13475,146,13732
11004,26-01-2021,8:00 AM,Meghalaya,13484,146,13734
11040,27-01-2021,8:00 AM,Meghalaya,13496,146,13740
11076,28-01-2021,8:00 AM,Meghalaya,13506,146,13741
11112,29-01-2021,8:00 AM,Meghalaya,13513,146,13749
11148,30-01-2021,8:00 AM,Meghalaya,13524,146,13753
11184,31-01-2021,8:00 AM,Meghalaya,13541,146,13761
11220,01-02-2021,8:00 AM,Meghalaya,13550,146,13764
11256,02-02-2021,8:00 AM,Meghalaya,13556,146,13764
11292,03-02-2021,8:00 AM,Meghalaya,13565,147,13768
11328,04-02-2021,8:00 AM,Meghalaya,13575,147,13774
11364,05-02-2021,8:00 AM,Meghalaya,13584,147,13794
11400,06-02-2021,8:00 AM,Meghalaya,13593,147,13821
11436,07-02-2021,8:00 AM,Meghalaya,13596,147,13845
11472,08-02-2021,8:00 AM,Meghalaya,13601,147,13885
11508,09-02-2021,8:00 AM,Meghalaya,13604,148,13886
11544,10-02-2021,8:00 AM,Meghalaya,13608,148,13893
11580,11-02-2021,8:00 AM,Meghalaya,13612,148,13924
11616,12-02-2021,8:00 AM,Meghalaya,13617,148,13931
11652,13-02-2021,8:00 AM,Meghalaya,13620,148,13932
11688,14-02-2021,8:00 AM,Meghalaya,13623,148,13937
11724,15-02-2021,8:00 AM,Meghalaya,13645,148,13942
11760,16-02-2021,8:00 AM,Meghalaya,13666,148,13942
11796,17-02-2021,8:00 AM,Meghalaya,13696,148,13944
11832,18-02-2021,8:00 AM,Meghalaya,13719,148,13945
11868,19-02-2021,8:00 AM,Meghalaya,13743,148,13946
11904,20-02-2021,8:00 AM,Meghalaya,13765,148,13951
11940,21-02-2021,8:00 AM,Meghalaya,13778,148,13952
11976,22-02-2021,8:00 AM,Meghalaya,13782,148,13952
12012,23-02-2021,8:00 AM,Meghalaya,13784,148,13954
12048,24-02-2021,8:00 AM,Meghalaya,13787,148,13955
12084,25-02-2021,8:00 AM,Meghalaya,13792,148,13958
12120,26-02-2021,8:00 AM,Meghalaya,13793,148,13961
12156,27-02-2021,8:00 AM,Meghalaya,13794,148,13961
12192,28-02-2021,8:00 AM,Meghalaya,13796,148,13961
12228,01-03-2021,8:00 AM,Meghalaya,13797,148,13962
12264,02-03-2021,8:00 AM,Meghalaya,13798,148,13963
12300,03-03-2021,8:00 AM,Meghalaya,13803,148,13966
12336,04-03-2021,8:00 AM,Meghalaya,13804,148,13966
12372,05-03-2021,8:00 AM,Meghalaya,13805,148,13966
12408,06-03-2021,8:00 AM,Meghalaya,13806,148,13968
12444,07-03-2021,8:00 AM,Meghalaya,13810,148,13970
12480,08-03-2021,8:00 AM,Meghalaya,13811,148,13972
12516,09-03-2021,8:00 AM,Meghalaya,13813,148,13973
12552,10-03-2021,8:00 AM,Meghalaya,13815,148,13977
12588,11-03-2021,8:00 AM,Meghalaya,13815,148,13977
12624,12-03-2021,8:00 AM,Meghalaya,13816,148,13983
12660,13-03-2021,8:00 AM,Meghalaya,13818,148,13986
12696,14-03-2021,8:00 AM,Meghalaya,13818,148,13992
12732,15-03-2021,8:00 AM,Meghalaya,13820,148,13997
12768,16-03-2021,8:00 AM,Meghalaya,13820,148,13997
12804,17-03-2021,8:00 AM,Meghalaya,13821,148,14000
12840,18-03-2021,8:00 AM,Meghalaya,13824,148,14002
12876,19-03-2021,8:00 AM,Meghalaya,13825,148,14005
12912,20-03-2021,8:00 AM,Meghalaya,13829,148,14008
12948,21-03-2021,8:00 AM,Meghalaya,13835,149,14012
12984,22-03-2021,8:00 AM,Meghalaya,13837,149,14016
13020,23-03-2021,8:00 AM,Meghalaya,13838,149,14016
13056,24-03-2021,8:00 AM,Meghalaya,13843,149,14017
13092,25-03-2021,8:00 AM,Meghalaya,13848,149,14019
13128,26-03-2021,8:00 AM,Meghalaya,13849,150,14022
13164,27-03-2021,8:00 AM,Meghalaya,13853,150,14029
13200,28-03-2021,8:00 AM,Meghalaya,13855,150,14031
13236,29-03-2021,8:00 AM,Meghalaya,13856,150,14032
13272,30-03-2021,8:00 AM,Meghalaya,13858,150,14034
13308,31-03-2021,8:00 AM,Meghalaya,13861,150,14056
13344,01-04-2021,8:00 AM,Meghalaya,13866,150,18541
13380,02-04-2021,8:00 AM,Meghalaya,13867,150,14067
13416,03-04-2021,8:00 AM,Meghalaya,13868,150,14082
13452,04-04-2021,8:00 AM,Meghalaya,13868,150,14106
13488,05-04-2021,8:00 AM,Meghalaya,13870,150,14122
13524,06-04-2021,8:00 AM,Meghalaya,13877,150,14126
13560,07-04-2021,8:00 AM,Meghalaya,13881,150,14135
13596,08-04-2021,8:00 AM,Meghalaya,13882,150,14140
13632,09-04-2021,8:00 AM,Meghalaya,13883,151,14165
13668,10-04-2021,8:00 AM,Meghalaya,13889,151,14207
13704,11-04-2021,8:00 AM,Meghalaya,13893,151,14246
13740,12-04-2021,8:00 AM,Meghalaya,13933,151,14273
13776,13-04-2021,8:00 AM,Meghalaya,13956,151,14300
13812,14-04-2021,8:00 AM,Meghalaya,13966,151,14387
13848,15-04-2021,8:00 AM,Meghalaya,13971,151,14485
13884,16-04-2021,8:00 AM,Meghalaya,13974,151,14582
13920,17-04-2021,8:00 AM,Meghalaya,13986,152,14703
13956,18-04-2021,8:00 AM,Meghalaya,13997,152,14798
13992,19-04-2021,8:00 AM,Meghalaya,14038,153,14871
14028,20-04-2021,8:00 AM,Meghalaya,14071,154,14979
14064,21-04-2021,8:00 AM,Meghalaya,14105,154,15116
14100,22-04-2021,8:00 AM,Meghalaya,14130,157,15308
14136,23-04-2021,8:00 AM,Meghalaya,14198,157,15488
14172,24-04-2021,8:00 AM,Meghalaya,14236,157,15631
14208,25-04-2021,8:00 AM,Meghalaya,14384,158,15786
14244,26-04-2021,8:00 AM,Meghalaya,14446,160,15994
14280,27-04-2021,8:00 AM,Meghalaya,14560,161,16124
14316,28-04-2021,8:00 AM,Meghalaya,14650,165,16271
14352,29-04-2021,8:00 AM,Meghalaya,14788,167,16430
14388,30-04-2021,8:00 AM,Meghalaya,14917,169,16617
14424,01-05-2021,8:00 AM,Meghalaya,15083,171,16846
14460,02-05-2021,8:00 AM,Meghalaya,15275,174,17108
14496,03-05-2021,8:00 AM,Meghalaya,15429,179,17429
14532,04-05-2021,8:00 AM,Meghalaya,15606,185,17675
14568,05-05-2021,8:00 AM,Meghalaya,15810,185,18014
14604,06-05-2021,8:00 AM,Meghalaya,15957,191,18283
14640,07-05-2021,8:00 AM,Meghalaya,16086,193,18630
14676,08-05-2021,8:00 AM,Meghalaya,16262,199,18927
14712,09-05-2021,8:00 AM,Meghalaya,16414,210,19302
14748,10-05-2021,8:00 AM,Meghalaya,16593,228,19720
14784,11-05-2021,8:00 AM,Meghalaya,16834,233,20129
14820,12-05-2021,8:00 AM,Meghalaya,17040,242,20579
14856,13-05-2021,8:00 AM,Meghalaya,17354,250,20985
14892,14-05-2021,8:00 AM,Meghalaya,17582,268,21576
14928,15-05-2021,8:00 AM,Meghalaya,17909,280,22203
14964,16-05-2021,8:00 AM,Meghalaya,18124,301,22763
15000,17-05-2021,8:00 AM,Meghalaya,18478,320,23332
15036,18-05-2021,8:00 AM,Meghalaya,18715,336,23966
15072,19-05-2021,8:00 AM,Meghalaya,19185,355,24872
15108,20-05-2021,8:00 AM,Meghalaya,19596,379,25744
15144,21-05-2021,8:00 AM,Meghalaya,20061,389,26927
15180,22-05-2021,8:00 AM,Meghalaya,20480,414,27755
15216,23-05-2021,8:00 AM,Meghalaya,20989,435,28878
15252,24-05-2021,8:00 AM,Meghalaya,21542,459,29681
15288,25-05-2021,8:00 AM,Meghalaya,22221,483,30492
15324,26-05-2021,8:00 AM,Meghalaya,22976,502,31449
15360,27-05-2021,8:00 AM,Meghalaya,23728,512,32295
15396,28-05-2021,8:00 AM,Meghalaya,24325,524,33104
15432,29-05-2021,8:00 AM,Meghalaya,25266,544,33835
15468,30-05-2021,8:00 AM,Meghalaya,26156,551,34448
15504,31-05-2021,8:00 AM,Meghalaya,27130,564,35190
15540,01-06-2021,8:00 AM,Meghalaya,28107,578,35598
15576,02-06-2021,8:00 AM,Meghalaya,28867,592,36065
15612,03-06-2021,8:00 AM,Meghalaya,29578,616,36597
15648,04-06-2021,8:00 AM,Meghalaya,30172,625,37149
15684,05-06-2021,8:00 AM,Meghalaya,30980,643,37733
15720,06-06-2021,8:00 AM,Meghalaya,31781,652,38230
15756,07-06-2021,8:00 AM,Meghalaya,32471,664,38718
15792,08-06-2021,8:00 AM,Meghalaya,33160,669,39156
15828,09-06-2021,8:00 AM,Meghalaya,33933,678,39535
15864,10-06-2021,8:00 AM,Meghalaya,34440,694,39983
15900,11-06-2021,8:00 AM,Meghalaya,34867,704,40586
15936,12-06-2021,8:00 AM,Meghalaya,35393,714,41100
15972,13-06-2021,8:00 AM,Meghalaya,36003,727,41601
16008,14-06-2021,8:00 AM,Meghalaya,36550,733,41906
16044,15-06-2021,8:00 AM,Meghalaya,37037,743,42309
16080,16-06-2021,8:00 AM,Meghalaya,37579,750,42759
16116,17-06-2021,8:00 AM,Meghalaya,38032,758,43254
16152,18-06-2021,8:00 AM,Meghalaya,38361,762,43732
16188,19-06-2021,8:00 AM,Meghalaya,38792,771,44382
16224,20-06-2021,8:00 AM,Meghalaya,39377,776,44896
16260,21-06-2021,8:00 AM,Meghalaya,39919,780,45286
16296,22-06-2021,8:00 AM,Meghalaya,40574,785,45555
16332,23-06-2021,8:00 AM,Meghalaya,40915,788,45976
16368,24-06-2021,8:00 AM,Meghalaya,41349,797,46458
16404,25-06-2021,8:00 AM,Meghalaya,41647,807,46878
16440,26-06-2021,8:00 AM,Meghalaya,42001,814,47480
