,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
352,25-03-2020,6:00 PM,Mizoram,0,0,1
382,26-03-2020,6:00 PM,Mizoram,0,0,1
409,27-03-2020,10:00 AM,Mizoram,0,0,1
436,28-03-2020,6:00 PM,Mizoram,0,0,1
463,29-03-2020,7:30 PM,Mizoram,0,0,1
490,30-03-2020,9:30 PM,Mizoram,0,0,1
518,31-03-2020,8:30 PM,Mizoram,0,0,1
548,01-04-2020,7:30 PM,Mizoram,0,0,1
577,02-04-2020,6:00 PM,Mizoram,0,0,1
607,03-04-2020,6:00 PM,Mizoram,0,0,1
638,04-04-2020,6:00 PM,Mizoram,0,0,1
668,05-04-2020,6:00 PM,Mizoram,0,0,1
698,06-04-2020,6:00 PM,Mizoram,0,0,1
728,07-04-2020,6:00 PM,Mizoram,0,0,1
759,08-04-2020,5:00 PM,Mizoram,0,0,1
790,09-04-2020,5:00 PM,Mizoram,0,0,1
821,10-04-2020,5:00 PM,Mizoram,0,0,1
852,11-04-2020,5:00 PM,Mizoram,0,0,1
883,12-04-2020,5:00 PM,Mizoram,0,0,1
914,13-04-2020,5:00 PM,Mizoram,0,0,1
947,14-04-2020,5:00 PM,Mizoram,0,0,1
980,15-04-2020,5:00 PM,Mizoram,0,0,1
1013,16-04-2020,5:00 PM,Mizoram,0,0,1
1046,17-04-2020,5:00 PM,Mizoram,0,0,1
1079,18-04-2020,5:00 PM,Mizoram,0,0,1
1112,19-04-2020,5:00 PM,Mizoram,0,0,1
1145,20-04-2020,5:00 PM,Mizoram,0,0,1
1178,21-04-2020,5:00 PM,Mizoram,0,0,1
1211,22-04-2020,5:00 PM,Mizoram,0,0,1
1243,23-04-2020,5:00 PM,Mizoram,0,0,1
1275,24-04-2020,5:00 PM,Mizoram,0,0,1
1307,25-04-2020,5:00 PM,Mizoram,0,0,1
1339,26-04-2020,5:00 PM,Mizoram,0,0,1
1371,27-04-2020,5:00 PM,Mizoram,0,0,1
1403,28-04-2020,5:00 PM,Mizoram,0,0,1
1435,29-04-2020,5:00 PM,Mizoram,0,0,1
1467,30-04-2020,5:00 PM,Mizoram,0,0,1
1499,01-05-2020,5:00 PM,Mizoram,0,0,1
1531,02-05-2020,5:00 PM,Mizoram,0,0,1
1563,03-05-2020,5:00 PM,Mizoram,0,0,1
1595,04-05-2020,5:00 PM,Mizoram,0,0,1
1627,05-05-2020,5:00 PM,Mizoram,0,0,1
1660,06-05-2020,8:00 AM,Mizoram,0,0,1
1693,07-05-2020,8:00 AM,Mizoram,0,0,1
1726,08-05-2020,8:00 AM,Mizoram,0,0,1
1759,09-05-2020,8:00 AM,Mizoram,0,0,1
1792,10-05-2020,8:00 AM,Mizoram,1,0,1
1825,11-05-2020,8:00 AM,Mizoram,1,0,1
1858,12-05-2020,8:00 AM,Mizoram,1,0,1
1891,13-05-2020,8:00 AM,Mizoram,1,0,1
1924,14-05-2020,8:00 AM,Mizoram,1,0,1
1957,15-05-2020,8:00 AM,Mizoram,1,0,1
1990,16-05-2020,8:00 AM,Mizoram,1,0,1
2023,17-05-2020,8:00 AM,Mizoram,1,0,1
2056,18-05-2020,8:00 AM,Mizoram,1,0,1
2089,19-05-2020,8:00 AM,Mizoram,1,0,1
2122,20-05-2020,8:00 AM,Mizoram,1,0,1
2156,21-05-2020,8:00 AM,Mizoram,1,0,1
2190,22-05-2020,8:00 AM,Mizoram,1,0,1
2224,23-05-2020,8:00 AM,Mizoram,1,0,1
2258,24-05-2020,8:00 AM,Mizoram,1,0,1
2293,25-05-2020,8:00 AM,Mizoram,1,0,1
2328,26-05-2020,8:00 AM,Mizoram,1,0,1
2364,27-05-2020,8:00 AM,Mizoram,1,0,1
2400,28-05-2020,8:00 AM,Mizoram,1,0,1
2436,29-05-2020,8:00 AM,Mizoram,1,0,1
2472,30-05-2020,8:00 AM,Mizoram,1,0,1
2508,31-05-2020,8:00 AM,Mizoram,1,0,1
2544,01-06-2020,8:00 AM,Mizoram,1,0,1
2580,02-06-2020,8:00 AM,Mizoram,1,0,1
2616,03-06-2020,8:00 AM,Mizoram,1,0,13
2652,04-06-2020,8:00 AM,Mizoram,1,0,14
2688,05-06-2020,8:00 AM,Mizoram,1,0,17
2724,06-06-2020,8:00 AM,Mizoram,1,0,22
2760,07-06-2020,8:00 AM,Mizoram,1,0,24
2796,08-06-2020,8:00 AM,Mizoram,1,0,34
2832,09-06-2020,8:00 AM,Mizoram,1,0,42
2868,10-06-2020,8:00 AM,Mizoram,1,0,88
2905,11-06-2020,8:00 AM,Mizoram,1,0,93
2941,12-06-2020,8:00 AM,Mizoram,1,0,102
2977,13-06-2020,8:00 AM,Mizoram,1,0,104
3013,14-06-2020,8:00 AM,Mizoram,1,0,107
3049,15-06-2020,8:00 AM,Mizoram,1,0,112
3085,16-06-2020,8:00 AM,Mizoram,1,0,117
3121,17-06-2020,8:00 AM,Mizoram,1,0,121
3157,18-06-2020,8:00 AM,Mizoram,1,0,121
3193,19-06-2020,8:00 AM,Mizoram,1,0,130
3229,20-06-2020,8:00 AM,Mizoram,1,0,130
3265,21-06-2020,8:00 AM,Mizoram,9,0,140
3301,22-06-2020,8:00 AM,Mizoram,9,0,141
3337,23-06-2020,8:00 AM,Mizoram,9,0,141
3373,24-06-2020,8:00 AM,Mizoram,9,0,142
3409,25-06-2020,8:00 AM,Mizoram,19,0,142
3445,26-06-2020,8:00 AM,Mizoram,30,0,145
3481,27-06-2020,8:00 AM,Mizoram,30,0,145
3517,28-06-2020,8:00 AM,Mizoram,55,0,148
3553,29-06-2020,8:00 AM,Mizoram,55,0,148
3589,30-06-2020,8:00 AM,Mizoram,55,0,148
3625,01-07-2020,8:00 AM,Mizoram,122,0,160
3661,02-07-2020,8:00 AM,Mizoram,123,0,160
3697,03-07-2020,8:00 AM,Mizoram,126,0,162
3733,04-07-2020,8:00 AM,Mizoram,126,0,162
3769,05-07-2020,8:00 AM,Mizoram,130,0,164
3805,06-07-2020,8:00 AM,Mizoram,130,0,186
3841,07-07-2020,8:00 AM,Mizoram,133,0,197
3877,08-07-2020,8:00 AM,Mizoram,133,0,197
3913,09-07-2020,8:00 AM,Mizoram,133,0,197
3949,10-07-2020,8:00 AM,Mizoram,133,0,197
3985,11-07-2020,8:00 AM,Mizoram,143,0,226
4021,12-07-2020,8:00 AM,Mizoram,150,0,227
4057,13-07-2020,8:00 AM,Mizoram,150,0,231
4093,14-07-2020,8:00 AM,Mizoram,151,0,233
4129,15-07-2020,8:00 AM,Mizoram,159,0,238
4165,16-07-2020,8:00 AM,Mizoram,159,0,238
4201,17-07-2020,8:00 AM,Mizoram,160,0,272
4237,18-07-2020,8:00 AM,Mizoram,160,0,282
4273,19-07-2020,8:00 AM,Mizoram,167,0,284
4308,20-07-2020,8:00 AM,Mizoram,167,0,284
4343,21-07-2020,8:00 AM,Mizoram,168,0,297
4378,22-07-2020,8:00 AM,Mizoram,168,0,317
4413,23-07-2020,8:00 AM,Mizoram,179,0,317
4448,24-07-2020,8:00 AM,Mizoram,183,0,332
4483,25-07-2020,8:00 AM,Mizoram,183,0,361
4518,26-07-2020,8:00 AM,Mizoram,183,0,361
4553,27-07-2020,8:00 AM,Mizoram,193,0,361
4588,28-07-2020,8:00 AM,Mizoram,193,0,384
4623,29-07-2020,8:00 AM,Mizoram,198,0,384
4658,30-07-2020,8:00 AM,Mizoram,215,0,398
4693,31-07-2020,8:00 AM,Mizoram,234,0,408
4728,01-08-2020,8:00 AM,Mizoram,247,0,412
4763,02-08-2020,8:00 AM,Mizoram,253,0,468
4798,03-08-2020,8:00 AM,Mizoram,258,0,482
4833,04-08-2020,8:00 AM,Mizoram,266,0,501
4868,05-08-2020,8:00 AM,Mizoram,282,0,504
4903,06-08-2020,8:00 AM,Mizoram,286,0,537
4938,07-08-2020,8:00 AM,Mizoram,288,0,539
4973,08-08-2020,8:00 AM,Mizoram,289,0,566
5008,09-08-2020,8:00 AM,Mizoram,296,0,593
5043,10-08-2020,8:00 AM,Mizoram,298,0,620
5078,11-08-2020,8:00 AM,Mizoram,323,0,623
5113,12-08-2020,8:00 AM,Mizoram,323,0,648
5148,13-08-2020,8:00 AM,Mizoram,330,0,649
5183,14-08-2020,8:00 AM,Mizoram,343,0,649
5218,15-08-2020,8:00 AM,Mizoram,348,0,657
5253,16-08-2020,8:00 AM,Mizoram,356,0,777
5288,17-08-2020,8:00 AM,Mizoram,371,0,789
5323,18-08-2020,8:00 AM,Mizoram,372,0,789
5358,19-08-2020,8:00 AM,Mizoram,379,0,860
5393,20-08-2020,8:00 AM,Mizoram,384,0,873
5428,21-08-2020,8:00 AM,Mizoram,402,0,895
5463,22-08-2020,8:00 AM,Mizoram,420,0,903
5498,23-08-2020,8:00 AM,Mizoram,423,0,917
5533,24-08-2020,8:00 AM,Mizoram,459,0,918
5568,25-08-2020,8:00 AM,Mizoram,461,0,953
5603,26-08-2020,8:00 AM,Mizoram,464,0,967
5638,27-08-2020,8:00 AM,Mizoram,473,0,967
5673,28-08-2020,8:00 AM,Mizoram,500,0,974
5708,29-08-2020,8:00 AM,Mizoram,509,0,1003
5743,30-08-2020,8:00 AM,Mizoram,584,0,1008
5778,31-08-2020,8:00 AM,Mizoram,589,0,1011
5813,01-09-2020,8:00 AM,Mizoram,591,0,1011
5848,02-09-2020,8:00 AM,Mizoram,612,0,1020
5883,03-09-2020,8:00 AM,Mizoram,661,0,1020
5918,04-09-2020,8:00 AM,Mizoram,671,0,1040
5953,05-09-2020,8:00 AM,Mizoram,683,0,1046
5988,06-09-2020,8:00 AM,Mizoram,718,0,1062
6023,07-09-2020,8:00 AM,Mizoram,734,0,1114
6058,08-09-2020,8:00 AM,Mizoram,735,0,1114
6093,09-09-2020,8:00 AM,Mizoram,745,0,1123
6128,10-09-2020,8:00 AM,Mizoram,750,0,1192
6163,11-09-2020,8:00 AM,Mizoram,750,0,1333
6198,12-09-2020,8:00 AM,Mizoram,790,0,1379
6233,13-09-2020,8:00 AM,Mizoram,823,0,1414
6268,14-09-2020,8:00 AM,Mizoram,830,0,1428
6303,15-09-2020,8:00 AM,Mizoram,919,0,1468
6338,16-09-2020,8:00 AM,Mizoram,922,0,1480
6373,17-09-2020,8:00 AM,Mizoram,939,0,1506
6408,18-09-2020,8:00 AM,Mizoram,949,0,1534
6443,19-09-2020,8:00 AM,Mizoram,973,0,1548
6478,20-09-2020,8:00 AM,Mizoram,990,0,1578
6513,21-09-2020,8:00 AM,Mizoram,1002,0,1585
6548,22-09-2020,8:00 AM,Mizoram,1012,0,1692
6583,23-09-2020,8:00 AM,Mizoram,1023,0,1713
6618,24-09-2020,8:00 AM,Mizoram,1095,0,1713
6653,25-09-2020,8:00 AM,Mizoram,1105,0,1786
6688,26-09-2020,8:00 AM,Mizoram,1289,0,1835
6723,27-09-2020,8:00 AM,Mizoram,1316,0,1865
6758,28-09-2020,8:00 AM,Mizoram,1373,0,1908
6793,29-09-2020,8:00 AM,Mizoram,1459,0,1958
6828,30-09-2020,8:00 AM,Mizoram,1576,0,1986
6863,01-10-2020,8:00 AM,Mizoram,1597,0,2017
6898,02-10-2020,8:00 AM,Mizoram,1721,0,2049
6933,03-10-2020,8:00 AM,Mizoram,1759,0,2103
6968,04-10-2020,8:00 AM,Mizoram,1772,0,2120
7003,05-10-2020,8:00 AM,Mizoram,1807,0,2120
7038,06-10-2020,8:00 AM,Mizoram,1837,0,2128
7073,07-10-2020,8:00 AM,Mizoram,1887,0,2148
7108,08-10-2020,8:00 AM,Mizoram,1919,0,2150
7143,09-10-2020,8:00 AM,Mizoram,1937,0,2157
7178,10-10-2020,8:00 AM,Mizoram,1974,0,2162
7213,11-10-2020,8:00 AM,Mizoram,1984,0,2175
7248,12-10-2020,8:00 AM,Mizoram,2010,0,2184
7283,13-10-2020,8:00 AM,Mizoram,2046,0,2202
7318,14-10-2020,8:00 AM,Mizoram,2093,0,2212
7353,15-10-2020,8:00 AM,Mizoram,2108,0,2220
7388,16-10-2020,8:00 AM,Mizoram,2121,0,2229
7423,17-10-2020,8:00 AM,Mizoram,2133,0,2245
7458,18-10-2020,8:00 AM,Mizoram,2145,0,2253
7493,19-10-2020,8:00 AM,Mizoram,2148,0,2253
7528,20-10-2020,8:00 AM,Mizoram,2151,0,2280
7563,21-10-2020,8:00 AM,Mizoram,2165,0,2310
7598,22-10-2020,8:00 AM,Mizoram,2174,0,2341
7633,23-10-2020,8:00 AM,Mizoram,2175,0,2359
7668,24-10-2020,8:00 AM,Mizoram,2189,0,2387
7703,25-10-2020,8:00 AM,Mizoram,2198,0,2447
7738,26-10-2020,8:00 AM,Mizoram,2203,0,2493
7773,27-10-2020,8:00 AM,Mizoram,2212,0,2527
7808,28-10-2020,8:00 AM,Mizoram,2233,0,2607
7843,29-10-2020,8:00 AM,Mizoram,2238,1,2656
7878,30-10-2020,8:00 AM,Mizoram,2258,1,2694
7913,31-10-2020,8:00 AM,Mizoram,2284,1,2722
7948,01-11-2020,8:00 AM,Mizoram,2291,1,2753
7983,02-11-2020,8:00 AM,Mizoram,2323,1,2757
8018,03-11-2020,8:00 AM,Mizoram,2347,1,2792
8053,04-11-2020,8:00 AM,Mizoram,2376,1,2893
8088,05-11-2020,8:00 AM,Mizoram,2435,2,2958
8123,06-11-2020,8:00 AM,Mizoram,2473,2,2990
8158,07-11-2020,8:00 AM,Mizoram,2485,2,3032
8193,08-11-2020,8:00 AM,Mizoram,2526,2,3090
8228,09-11-2020,8:00 AM,Mizoram,2618,2,3096
8263,10-11-2020,8:00 AM,Mizoram,2656,2,3156
