,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
915,13-04-2020,5:00 PM,Nagaland,0,0,1
948,14-04-2020,5:00 PM,Nagaland,0,0,1
981,15-04-2020,5:00 PM,Nagaland,0,0,0
1014,16-04-2020,5:00 PM,Nagaland,0,0,0
1047,17-04-2020,5:00 PM,Nagaland,0,0,0
1080,18-04-2020,5:00 PM,Nagaland,0,0,0
1113,19-04-2020,5:00 PM,Nagaland,0,0,0
1146,20-04-2020,5:00 PM,Nagaland,0,0,0
1179,21-04-2020,5:00 PM,Nagaland,0,0,0
2329,26-05-2020,8:00 AM,Nagaland,0,0,3
2365,27-05-2020,8:00 AM,Nagaland,0,0,4
2401,28-05-2020,8:00 AM,Nagaland,0,0,4
2437,29-05-2020,8:00 AM,Nagaland,0,0,18
2473,30-05-2020,8:00 AM,Nagaland,0,0,25
2509,31-05-2020,8:00 AM,Nagaland,0,0,36
2545,01-06-2020,8:00 AM,Nagaland,0,0,43
2581,02-06-2020,8:00 AM,Nagaland,0,0,43
2617,03-06-2020,8:00 AM,Nagaland,0,0,49
2653,04-06-2020,8:00 AM,Nagaland,0,0,58
2689,05-06-2020,8:00 AM,Nagaland,0,0,80
2725,06-06-2020,8:00 AM,Nagaland,0,0,94
2761,07-06-2020,8:00 AM,Nagaland,0,0,107
2797,08-06-2020,8:00 AM,Nagaland,8,0,118
2833,09-06-2020,8:00 AM,Nagaland,8,0,123
2869,10-06-2020,8:00 AM,Nagaland,10,0,127
2906,11-06-2020,8:00 AM,Nagaland,22,0,128
2942,12-06-2020,8:00 AM,Nagaland,22,0,128
2978,13-06-2020,8:00 AM,Nagaland,49,0,156
3014,14-06-2020,8:00 AM,Nagaland,76,0,163
3050,15-06-2020,8:00 AM,Nagaland,88,0,168
3086,16-06-2020,8:00 AM,Nagaland,92,0,177
3122,17-06-2020,8:00 AM,Nagaland,92,0,179
3158,18-06-2020,8:00 AM,Nagaland,103,0,193
3194,19-06-2020,8:00 AM,Nagaland,103,0,193
3230,20-06-2020,8:00 AM,Nagaland,125,0,198
3266,21-06-2020,8:00 AM,Nagaland,138,0,201
3302,22-06-2020,8:00 AM,Nagaland,141,0,211
3338,23-06-2020,8:00 AM,Nagaland,141,0,280
3374,24-06-2020,8:00 AM,Nagaland,141,0,330
3410,25-06-2020,8:00 AM,Nagaland,148,0,347
3446,26-06-2020,8:00 AM,Nagaland,160,0,355
3482,27-06-2020,8:00 AM,Nagaland,162,0,371
3518,28-06-2020,8:00 AM,Nagaland,164,0,387
3554,29-06-2020,8:00 AM,Nagaland,164,0,415
3590,30-06-2020,8:00 AM,Nagaland,168,0,434
3626,01-07-2020,8:00 AM,Nagaland,168,0,459
3662,02-07-2020,8:00 AM,Nagaland,168,0,459
3698,03-07-2020,8:00 AM,Nagaland,182,0,501
3734,04-07-2020,8:00 AM,Nagaland,228,0,539
3770,05-07-2020,8:00 AM,Nagaland,228,0,563
3806,06-07-2020,8:00 AM,Nagaland,231,0,590
3842,07-07-2020,8:00 AM,Nagaland,243,0,625
3878,08-07-2020,8:00 AM,Nagaland,243,0,625
3914,09-07-2020,8:00 AM,Nagaland,304,0,657
3950,10-07-2020,8:00 AM,Nagaland,304,0,673
3986,11-07-2020,8:00 AM,Nagaland,304,0,732
4022,12-07-2020,8:00 AM,Nagaland,313,0,748
4058,13-07-2020,8:00 AM,Nagaland,327,0,774
4094,14-07-2020,8:00 AM,Nagaland,340,0,845
4130,15-07-2020,8:00 AM,Nagaland,346,0,896
4166,16-07-2020,8:00 AM,Nagaland,348,0,902
4202,17-07-2020,8:00 AM,Nagaland,391,0,916
4238,18-07-2020,8:00 AM,Nagaland,405,0,956
4274,19-07-2020,8:00 AM,Nagaland,432,0,978
4309,20-07-2020,8:00 AM,Nagaland,445,0,988
4344,21-07-2020,8:00 AM,Nagaland,484,0,1021
4379,22-07-2020,8:00 AM,Nagaland,485,0,1030
4414,23-07-2020,8:00 AM,Nagaland,486,0,1084
4449,24-07-2020,8:00 AM,Nagaland,530,0,1174
4484,25-07-2020,8:00 AM,Nagaland,537,1,1239
4519,26-07-2020,8:00 AM,Nagaland,541,4,1289
4554,27-07-2020,8:00 AM,Nagaland,549,4,1339
4589,28-07-2020,8:00 AM,Nagaland,569,5,1385
4624,29-07-2020,8:00 AM,Nagaland,577,5,1460
4659,30-07-2020,8:00 AM,Nagaland,595,5,1513
4694,31-07-2020,8:00 AM,Nagaland,625,5,1566
4729,01-08-2020,8:00 AM,Nagaland,635,5,1693
4764,02-08-2020,8:00 AM,Nagaland,640,5,1831
4799,03-08-2020,8:00 AM,Nagaland,648,5,1935
