S.No,Date,Time,State/UnionTerritory,New Confirmed Cases,New Deaths,New Cured
0,30-01-2020,6:00 PM,Kerala,,,
1,31-01-2020,6:00 PM,Kerala,0,0,0
2,01-02-2020,6:00 PM,Kerala,1,0,0
3,02-02-2020,6:00 PM,Kerala,1,0,0
4,03-02-2020,6:00 PM,Kerala,0,0,0
5,04-02-2020,6:00 PM,Kerala,0,0,0
6,05-02-2020,6:00 PM,Kerala,0,0,0
7,06-02-2020,6:00 PM,Kerala,0,0,0
8,07-02-2020,6:00 PM,Kerala,0,0,0
9,08-02-2020,6:00 PM,Kerala,0,0,0
10,09-02-2020,6:00 PM,Kerala,0,0,0
11,10-02-2020,6:00 PM,Kerala,0,0,0
12,11-02-2020,6:00 PM,Kerala,0,0,0
13,12-02-2020,6:00 PM,Kerala,0,0,0
14,13-02-2020,6:00 PM,Kerala,0,0,0
15,14-02-2020,6:00 PM,Kerala,0,0,0
16,15-02-2020,6:00 PM,Kerala,0,0,0
17,16-02-2020,6:00 PM,Kerala,0,0,0
18,17-02-2020,6:00 PM,Kerala,0,0,0
19,18-02-2020,6:00 PM,Kerala,0,0,0
20,19-02-2020,6:00 PM,Kerala,0,0,0
21,20-02-2020,6:00 PM,Kerala,0,0,0
22,21-02-2020,6:00 PM,Kerala,0,0,0
23,22-02-2020,6:00 PM,Kerala,0,0,0
24,23-02-2020,6:00 PM,Kerala,0,0,0
25,24-02-2020,6:00 PM,Kerala,0,0,0
26,25-02-2020,6:00 PM,Kerala,0,0,0
27,26-02-2020,6:00 PM,Kerala,0,0,0
28,27-02-2020,6:00 PM,Kerala,0,0,0
29,28-02-2020,6:00 PM,Kerala,0,0,0
30,29-02-2020,6:00 PM,Kerala,0,0,0
31,01-03-2020,6:00 PM,Kerala,0,0,0
33,02-03-2020,6:00 PM,Kerala,0,0,0
37,03-03-2020,6:00 PM,Kerala,0,0,3
40,04-03-2020,6:00 PM,Kerala,0,0,0
47,05-03-2020,6:00 PM,Kerala,0,0,0
53,06-03-2020,6:00 PM,Kerala,0,0,0
57,07-03-2020,6:00 PM,Kerala,0,0,0
69,08-03-2020,6:00 PM,Kerala,5,0,0
75,09-03-2020,6:00 PM,Kerala,1,0,0
90,10-03-2020,6:00 PM,Kerala,6,0,0
100,11-03-2020,6:00 PM,Kerala,2,0,0
111,12-03-2020,6:00 PM,Kerala,0,0,0
124,13-03-2020,6:00 PM,Kerala,2,0,0
137,14-03-2020,6:00 PM,Kerala,0,0,0
152,15-03-2020,6:00 PM,Kerala,3,0,0
166,16-03-2020,6:00 PM,Kerala,1,0,0
181,17-03-2020,6:00 PM,Kerala,3,0,0
196,18-03-2020,6:00 PM,Kerala,1,0,0
214,19-03-2020,6:00 PM,Kerala,0,0,0
234,20-03-2020,6:00 PM,Kerala,1,0,0
255,21-03-2020,6:00 PM,Kerala,12,0,0
278,22-03-2020,6:00 PM,Kerala,12,0,0
301,23-03-2020,6:00 PM,Kerala,15,0,0
324,24-03-2020,6:00 PM,Kerala,28,0,1
348,25-03-2020,6:00 PM,Kerala,14,0,0
377,26-03-2020,6:00 PM,Kerala,9,0,2
404,27-03-2020,10:00 AM,Kerala,19,0,5
431,28-03-2020,6:00 PM,Kerala,39,0,0
458,29-03-2020,7:30 PM,Kerala,6,1,4
485,30-03-2020,9:30 PM,Kerala,20,0,4
513,31-03-2020,8:30 PM,Kerala,32,0,0
543,01-04-2020,7:30 PM,Kerala,7,1,4
572,02-04-2020,6:00 PM,Kerala,24,0,2
602,03-04-2020,6:00 PM,Kerala,21,0,2
633,04-04-2020,6:00 PM,Kerala,9,0,14
663,05-04-2020,6:00 PM,Kerala,11,0,8
693,06-04-2020,6:00 PM,Kerala,8,0,6
723,07-04-2020,6:00 PM,Kerala,13,0,3
754,08-04-2020,5:00 PM,Kerala,9,0,12
785,09-04-2020,5:00 PM,Kerala,9,0,13
816,10-04-2020,5:00 PM,Kerala,12,0,13
847,11-04-2020,5:00 PM,Kerala,7,0,27
878,12-04-2020,5:00 PM,Kerala,10,0,19
909,13-04-2020,5:00 PM,Kerala,2,1,37
941,14-04-2020,5:00 PM,Kerala,3,0,19
974,15-04-2020,5:00 PM,Kerala,8,0,13
1007,16-04-2020,5:00 PM,Kerala,1,0,7
1040,17-04-2020,5:00 PM,Kerala,7,0,27
1073,18-04-2020,5:00 PM,Kerala,1,0,10
1106,19-04-2020,5:00 PM,Kerala,4,0,2
1139,20-04-2020,5:00 PM,Kerala,2,0,13
1172,21-04-2020,5:00 PM,Kerala,6,0,21
1205,22-04-2020,5:00 PM,Kerala,19,0,32
1237,23-04-2020,5:00 PM,Kerala,11,0,1
1269,24-04-2020,5:00 PM,Kerala,10,0,0
1301,25-04-2020,5:00 PM,Kerala,3,1,7
1333,26-04-2020,5:00 PM,Kerala,7,0,7
1365,27-04-2020,5:00 PM,Kerala,11,0,4
1397,28-04-2020,5:00 PM,Kerala,13,0,13
1429,29-04-2020,5:00 PM,Kerala,4,0,4
1461,30-04-2020,5:00 PM,Kerala,10,0,10
1493,01-05-2020,5:00 PM,Kerala,1,0,14
1525,02-05-2020,5:00 PM,Kerala,0,0,9
1557,03-05-2020,5:00 PM,Kerala,3,0,8
1589,04-05-2020,5:00 PM,Kerala,0,0,1
1621,05-05-2020,5:00 PM,Kerala,0,0,61
1654,06-05-2020,8:00 AM,Kerala,2,0,0
1687,07-05-2020,8:00 AM,Kerala,1,0,7
1720,08-05-2020,8:00 AM,Kerala,0,0,5
1753,09-05-2020,8:00 AM,Kerala,0,0,10
1786,10-05-2020,8:00 AM,Kerala,2,0,1
1819,11-05-2020,8:00 AM,Kerala,7,0,4
1852,12-05-2020,8:00 AM,Kerala,7,0,0
