,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
168,16-03-2020,6:00 PM,Odisha,0,0,1
183,17-03-2020,6:00 PM,Odisha,0,0,1
198,18-03-2020,6:00 PM,Odisha,0,0,1
216,19-03-2020,6:00 PM,Odisha,0,0,1
236,20-03-2020,6:00 PM,Odisha,0,0,2
258,21-03-2020,6:00 PM,Odisha,0,0,2
281,22-03-2020,6:00 PM,Odisha,0,0,2
304,23-03-2020,6:00 PM,Odisha,0,0,2
328,24-03-2020,6:00 PM,Odisha,0,0,2
353,25-03-2020,6:00 PM,Odisha,0,0,2
383,26-03-2020,6:00 PM,Odisha,0,0,2
410,27-03-2020,10:00 AM,Odisha,0,0,2
437,28-03-2020,6:00 PM,Odisha,0,0,3
464,29-03-2020,7:30 PM,Odisha,0,0,3
491,30-03-2020,9:30 PM,Odisha,0,0,3
519,31-03-2020,8:30 PM,Odisha,0,0,3
549,01-04-2020,7:30 PM,Odisha,0,0,4
578,02-04-2020,6:00 PM,Odisha,0,0,4
608,03-04-2020,6:00 PM,Odisha,0,0,5
639,04-04-2020,6:00 PM,Odisha,0,0,5
669,05-04-2020,6:00 PM,Odisha,0,0,20
699,06-04-2020,6:00 PM,Odisha,2,0,21
729,07-04-2020,6:00 PM,Odisha,2,1,42
760,08-04-2020,5:00 PM,Odisha,2,1,42
791,09-04-2020,5:00 PM,Odisha,2,1,42
822,10-04-2020,5:00 PM,Odisha,2,1,44
853,11-04-2020,5:00 PM,Odisha,2,1,48
884,12-04-2020,5:00 PM,Odisha,12,1,54
916,13-04-2020,5:00 PM,Odisha,12,1,54
949,14-04-2020,5:00 PM,Odisha,18,1,55
982,15-04-2020,5:00 PM,Odisha,18,1,60
1015,16-04-2020,5:00 PM,Odisha,18,1,60
1048,17-04-2020,5:00 PM,Odisha,19,1,60
1081,18-04-2020,5:00 PM,Odisha,21,1,60
1114,19-04-2020,5:00 PM,Odisha,24,1,61
1147,20-04-2020,5:00 PM,Odisha,24,1,68
1180,21-04-2020,5:00 PM,Odisha,24,1,74
1212,22-04-2020,5:00 PM,Odisha,30,1,82
1244,23-04-2020,5:00 PM,Odisha,32,1,83
1276,24-04-2020,5:00 PM,Odisha,33,1,90
1308,25-04-2020,5:00 PM,Odisha,33,1,94
1340,26-04-2020,5:00 PM,Odisha,34,1,103
1372,27-04-2020,5:00 PM,Odisha,35,1,108
1404,28-04-2020,5:00 PM,Odisha,37,1,118
1436,29-04-2020,5:00 PM,Odisha,38,1,119
1468,30-04-2020,5:00 PM,Odisha,39,1,128
1500,01-05-2020,5:00 PM,Odisha,41,1,143
1532,02-05-2020,5:00 PM,Odisha,55,1,149
1564,03-05-2020,5:00 PM,Odisha,56,1,160
1596,04-05-2020,5:00 PM,Odisha,60,1,163
1628,05-05-2020,5:00 PM,Odisha,60,1,170
1661,06-05-2020,8:00 AM,Odisha,60,1,175
1694,07-05-2020,8:00 AM,Odisha,61,2,185
1727,08-05-2020,8:00 AM,Odisha,62,2,219
1760,09-05-2020,8:00 AM,Odisha,63,2,271
1793,10-05-2020,8:00 AM,Odisha,63,2,294
1826,11-05-2020,8:00 AM,Odisha,68,3,377
1859,12-05-2020,8:00 AM,Odisha,85,3,414
1892,13-05-2020,8:00 AM,Odisha,116,3,437
1925,14-05-2020,8:00 AM,Odisha,143,3,538
1958,15-05-2020,8:00 AM,Odisha,158,3,611
1991,16-05-2020,8:00 AM,Odisha,166,3,672
2024,17-05-2020,8:00 AM,Odisha,196,3,737
2057,18-05-2020,8:00 AM,Odisha,220,4,828
2090,19-05-2020,8:00 AM,Odisha,220,4,876
2123,20-05-2020,8:00 AM,Odisha,277,5,978
2157,21-05-2020,8:00 AM,Odisha,307,6,1052
2191,22-05-2020,8:00 AM,Odisha,393,7,1103
2225,23-05-2020,8:00 AM,Odisha,436,7,1189
2259,24-05-2020,8:00 AM,Odisha,497,7,1269
2294,25-05-2020,8:00 AM,Odisha,550,7,1336
2330,26-05-2020,8:00 AM,Odisha,649,7,1438
2366,27-05-2020,8:00 AM,Odisha,733,7,1517
2402,28-05-2020,8:00 AM,Odisha,733,7,1593
2438,29-05-2020,8:00 AM,Odisha,887,7,1660
2474,30-05-2020,8:00 AM,Odisha,887,7,1723
2510,31-05-2020,8:00 AM,Odisha,1050,7,1819
2546,01-06-2020,8:00 AM,Odisha,1126,7,1948
2582,02-06-2020,8:00 AM,Odisha,1245,7,2104
2618,03-06-2020,8:00 AM,Odisha,1325,7,2245
2654,04-06-2020,8:00 AM,Odisha,1416,7,2388
2690,05-06-2020,8:00 AM,Odisha,1416,7,2478
2726,06-06-2020,8:00 AM,Odisha,1604,8,2608
2762,07-06-2020,8:00 AM,Odisha,1716,8,2781
2798,08-06-2020,8:00 AM,Odisha,1894,9,2856
2834,09-06-2020,8:00 AM,Odisha,1993,9,2994
2870,10-06-2020,8:00 AM,Odisha,2133,9,3140
2907,11-06-2020,8:00 AM,Odisha,2282,9,3250
2943,12-06-2020,8:00 AM,Odisha,2354,9,3386
2979,13-06-2020,8:00 AM,Odisha,2474,10,3498
3015,14-06-2020,8:00 AM,Odisha,2594,10,3723
3051,15-06-2020,8:00 AM,Odisha,2708,11,3909
3087,16-06-2020,8:00 AM,Odisha,2854,11,4055
3123,17-06-2020,8:00 AM,Odisha,2974,11,4163
3159,18-06-2020,8:00 AM,Odisha,3047,11,4338
3195,19-06-2020,8:00 AM,Odisha,3144,11,4512
3231,20-06-2020,8:00 AM,Odisha,3297,11,4677
3267,21-06-2020,8:00 AM,Odisha,3534,12,4856
3303,22-06-2020,8:00 AM,Odisha,3720,14,5160
3339,23-06-2020,8:00 AM,Odisha,3863,15,5303
3375,24-06-2020,8:00 AM,Odisha,3988,17,5470
3411,25-06-2020,8:00 AM,Odisha,4123,17,5752
3447,26-06-2020,8:00 AM,Odisha,4291,17,5962
3483,27-06-2020,8:00 AM,Odisha,4422,17,6180
3519,28-06-2020,8:00 AM,Odisha,4606,18,6350
3555,29-06-2020,8:00 AM,Odisha,4743,21,6614
3591,30-06-2020,8:00 AM,Odisha,4946,23,6859
3627,01-07-2020,8:00 AM,Odisha,5189,25,7065
3663,02-07-2020,8:00 AM,Odisha,5353,25,7316
3699,03-07-2020,8:00 AM,Odisha,5502,27,7545
3735,04-07-2020,8:00 AM,Odisha,5705,29,8106
3771,05-07-2020,8:00 AM,Odisha,5934,34,8601
3807,06-07-2020,8:00 AM,Odisha,6224,36,9070
3843,07-07-2020,8:00 AM,Odisha,6486,38,9526
3879,08-07-2020,8:00 AM,Odisha,6703,42,10097
3915,09-07-2020,8:00 AM,Odisha,7006,48,10624
3951,10-07-2020,8:00 AM,Odisha,7407,52,11201
3987,11-07-2020,8:00 AM,Odisha,7972,56,11956
4023,12-07-2020,8:00 AM,Odisha,8360,61,12526
4059,13-07-2020,8:00 AM,Odisha,8750,64,13121
4095,14-07-2020,8:00 AM,Odisha,9255,70,13737
4131,15-07-2020,8:00 AM,Odisha,9864,74,14280
4167,16-07-2020,8:00 AM,Odisha,10476,77,14898
4203,17-07-2020,8:00 AM,Odisha,10877,79,15392
4239,18-07-2020,8:00 AM,Odisha,11330,83,16110
4275,19-07-2020,8:00 AM,Odisha,11937,86,16701
4310,20-07-2020,8:00 AM,Odisha,12453,91,17437
4345,21-07-2020,8:00 AM,Odisha,12910,97,18110
4380,22-07-2020,8:00 AM,Odisha,13310,103,18757
4415,23-07-2020,8:00 AM,Odisha,13750,108,19835
4450,24-07-2020,8:00 AM,Odisha,14393,114,21099
4485,25-07-2020,8:00 AM,Odisha,15201,120,22693
4520,26-07-2020,8:00 AM,Odisha,15929,130,24013
4555,27-07-2020,8:00 AM,Odisha,16793,140,25389
4590,28-07-2020,8:00 AM,Odisha,17374,147,26892
4625,29-07-2020,8:00 AM,Odisha,18061,154,28107
4660,30-07-2020,8:00 AM,Odisha,18939,159,29175
