,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
199,18-03-2020,6:00 PM,Puducherry,0,0,1
217,19-03-2020,6:00 PM,Puducherry,0,0,1
237,20-03-2020,6:00 PM,Puducherry,0,0,1
259,21-03-2020,6:00 PM,Puducherry,0,0,1
282,22-03-2020,6:00 PM,Puducherry,0,0,1
305,23-03-2020,6:00 PM,Puducherry,0,0,1
329,24-03-2020,6:00 PM,Puducherry,0,0,1
354,25-03-2020,6:00 PM,Puducherry,0,0,1
384,26-03-2020,6:00 PM,Puducherry,0,0,1
411,27-03-2020,10:00 AM,Puducherry,0,0,1
438,28-03-2020,6:00 PM,Puducherry,0,0,1
465,29-03-2020,7:30 PM,Puducherry,0,0,1
492,30-03-2020,9:30 PM,Puducherry,0,0,1
520,31-03-2020,8:30 PM,Puducherry,0,0,1
550,01-04-2020,7:30 PM,Puducherry,1,0,3
579,02-04-2020,6:00 PM,Puducherry,1,0,3
609,03-04-2020,6:00 PM,Puducherry,1,0,5
640,04-04-2020,6:00 PM,Puducherry,1,0,5
670,05-04-2020,6:00 PM,Puducherry,1,0,5
700,06-04-2020,6:00 PM,Puducherry,1,0,5
730,07-04-2020,6:00 PM,Puducherry,1,0,5
761,08-04-2020,5:00 PM,Puducherry,1,0,5
792,09-04-2020,5:00 PM,Puducherry,1,0,5
823,10-04-2020,5:00 PM,Puducherry,1,0,5
854,11-04-2020,5:00 PM,Puducherry,1,0,7
885,12-04-2020,5:00 PM,Puducherry,1,0,7
917,13-04-2020,5:00 PM,Puducherry,1,0,7
950,14-04-2020,5:00 PM,Puducherry,1,0,7
983,15-04-2020,5:00 PM,Puducherry,1,0,7
1016,16-04-2020,5:00 PM,Puducherry,1,0,7
1049,17-04-2020,5:00 PM,Puducherry,1,0,7
1082,18-04-2020,5:00 PM,Puducherry,3,0,7
1115,19-04-2020,5:00 PM,Puducherry,3,0,7
1148,20-04-2020,5:00 PM,Puducherry,3,0,7
1181,21-04-2020,5:00 PM,Puducherry,3,0,7
1213,22-04-2020,5:00 PM,Puducherry,3,0,7
1245,23-04-2020,5:00 PM,Puducherry,3,0,7
1277,24-04-2020,5:00 PM,Puducherry,3,0,7
1309,25-04-2020,5:00 PM,Puducherry,3,0,7
1341,26-04-2020,5:00 PM,Puducherry,3,0,7
1373,27-04-2020,5:00 PM,Puducherry,3,0,8
1405,28-04-2020,5:00 PM,Puducherry,3,0,8
1437,29-04-2020,5:00 PM,Puducherry,3,0,8
1469,30-04-2020,5:00 PM,Puducherry,5,0,8
1501,01-05-2020,5:00 PM,Puducherry,5,0,8
1533,02-05-2020,5:00 PM,Puducherry,5,0,8
1565,03-05-2020,5:00 PM,Puducherry,5,0,8
1597,04-05-2020,5:00 PM,Puducherry,5,0,8
1629,05-05-2020,5:00 PM,Puducherry,6,0,9
1662,06-05-2020,8:00 AM,Puducherry,6,0,9
1695,07-05-2020,8:00 AM,Puducherry,6,0,9
1728,08-05-2020,8:00 AM,Puducherry,6,0,9
1761,09-05-2020,8:00 AM,Puducherry,6,0,9
1794,10-05-2020,8:00 AM,Puducherry,6,0,9
1827,11-05-2020,8:00 AM,Puducherry,6,0,9
1860,12-05-2020,8:00 AM,Puducherry,6,0,12
1893,13-05-2020,8:00 AM,Puducherry,9,1,13
1926,14-05-2020,8:00 AM,Puducherry,9,1,13
1959,15-05-2020,8:00 AM,Puducherry,9,1,13
1992,16-05-2020,8:00 AM,Puducherry,9,1,13
2025,17-05-2020,8:00 AM,Puducherry,9,1,13
2058,18-05-2020,8:00 AM,Puducherry,9,1,13
2091,19-05-2020,8:00 AM,Puducherry,9,1,18
2124,20-05-2020,8:00 AM,Puducherry,9,1,18
2158,21-05-2020,8:00 AM,Puducherry,9,0,18
2192,22-05-2020,8:00 AM,Puducherry,10,0,20
2226,23-05-2020,8:00 AM,Puducherry,10,0,26
2260,24-05-2020,8:00 AM,Puducherry,10,0,26
2295,25-05-2020,8:00 AM,Puducherry,12,0,41
2331,26-05-2020,8:00 AM,Puducherry,12,0,41
2367,27-05-2020,8:00 AM,Puducherry,12,0,46
2403,28-05-2020,8:00 AM,Puducherry,12,0,46
2439,29-05-2020,8:00 AM,Puducherry,14,0,51
2475,30-05-2020,8:00 AM,Puducherry,14,0,51
2511,31-05-2020,8:00 AM,Puducherry,14,0,51
2547,01-06-2020,8:00 AM,Puducherry,25,0,70
2583,02-06-2020,8:00 AM,Puducherry,25,0,74
2619,03-06-2020,8:00 AM,Puducherry,25,0,82
2655,04-06-2020,8:00 AM,Puducherry,25,0,82
2691,05-06-2020,8:00 AM,Puducherry,25,0,82
2727,06-06-2020,8:00 AM,Puducherry,36,0,99
2763,07-06-2020,8:00 AM,Puducherry,36,0,99
2799,08-06-2020,8:00 AM,Puducherry,36,0,99
2835,09-06-2020,8:00 AM,Puducherry,52,0,127
2871,10-06-2020,8:00 AM,Puducherry,52,0,127
2908,11-06-2020,8:00 AM,Puducherry,53,0,127
2944,12-06-2020,8:00 AM,Puducherry,67,2,157
2980,13-06-2020,8:00 AM,Puducherry,67,2,157
3016,14-06-2020,8:00 AM,Puducherry,82,2,176
3052,15-06-2020,8:00 AM,Puducherry,91,5,194
3088,16-06-2020,8:00 AM,Puducherry,95,5,202
3124,17-06-2020,8:00 AM,Puducherry,99,6,216
3160,18-06-2020,8:00 AM,Puducherry,109,7,245
3196,19-06-2020,8:00 AM,Puducherry,109,7,271
3232,20-06-2020,8:00 AM,Puducherry,118,7,286
3268,21-06-2020,8:00 AM,Puducherry,118,7,286
3304,22-06-2020,8:00 AM,Puducherry,140,8,366
3340,23-06-2020,8:00 AM,Puducherry,149,8,383
3376,24-06-2020,8:00 AM,Puducherry,165,9,402
3412,25-06-2020,8:00 AM,Puducherry,176,9,461
3448,26-06-2020,8:00 AM,Puducherry,187,9,502
3484,27-06-2020,8:00 AM,Puducherry,187,9,502
3520,28-06-2020,8:00 AM,Puducherry,221,10,619
3556,29-06-2020,8:00 AM,Puducherry,221,10,619
3592,30-06-2020,8:00 AM,Puducherry,221,10,619
3628,01-07-2020,8:00 AM,Puducherry,272,12,714
3664,02-07-2020,8:00 AM,Puducherry,272,12,714
3700,03-07-2020,8:00 AM,Puducherry,331,12,802
3736,04-07-2020,8:00 AM,Puducherry,331,12,802
3772,05-07-2020,8:00 AM,Puducherry,331,12,802
3808,06-07-2020,8:00 AM,Puducherry,331,12,802
3844,07-07-2020,8:00 AM,Puducherry,331,12,802
3880,08-07-2020,8:00 AM,Puducherry,434,14,930
3916,09-07-2020,8:00 AM,Puducherry,480,14,1008
3952,10-07-2020,8:00 AM,Puducherry,584,14,1151
3988,11-07-2020,8:00 AM,Puducherry,637,17,1272
4024,12-07-2020,8:00 AM,Puducherry,690,18,1337
4060,13-07-2020,8:00 AM,Puducherry,739,18,1418
4096,14-07-2020,8:00 AM,Puducherry,785,18,1468
4132,15-07-2020,8:00 AM,Puducherry,829,18,1531
4168,16-07-2020,8:00 AM,Puducherry,889,21,1596
4204,17-07-2020,8:00 AM,Puducherry,947,22,1743
4240,18-07-2020,8:00 AM,Puducherry,1014,25,1832
4276,19-07-2020,8:00 AM,Puducherry,1066,28,1894
4311,20-07-2020,8:00 AM,Puducherry,1154,28,1999
4346,21-07-2020,8:00 AM,Puducherry,1265,29,2092
4381,22-07-2020,8:00 AM,Puducherry,1318,30,2179
4416,23-07-2020,8:00 AM,Puducherry,1369,31,2300
4451,24-07-2020,8:00 AM,Puducherry,1400,34,2420
4486,25-07-2020,8:00 AM,Puducherry,1483,35,2515
4521,26-07-2020,8:00 AM,Puducherry,1561,38,2654
4556,27-07-2020,8:00 AM,Puducherry,1645,40,2786
4591,28-07-2020,8:00 AM,Puducherry,1720,43,2872
4626,29-07-2020,8:00 AM,Puducherry,1782,47,3011
4661,30-07-2020,8:00 AM,Puducherry,1874,47,3177
4696,31-07-2020,8:00 AM,Puducherry,1958,48,3298
4731,01-08-2020,8:00 AM,Puducherry,2100,49,3472
4766,02-08-2020,8:00 AM,Puducherry,2198,51,3606
4801,03-08-2020,8:00 AM,Puducherry,2309,52,3806
4836,04-08-2020,8:00 AM,Puducherry,2411,56,3982
4871,05-08-2020,8:00 AM,Puducherry,2537,58,4147
4906,06-08-2020,8:00 AM,Puducherry,2668,65,4433
4941,07-08-2020,8:00 AM,Puducherry,2808,70,4621
4976,08-08-2020,8:00 AM,Puducherry,2914,75,4862
5011,09-08-2020,8:00 AM,Puducherry,3054,80,5123
5046,10-08-2020,8:00 AM,Puducherry,3201,87,5382
5081,11-08-2020,8:00 AM,Puducherry,3355,89,5624
5116,12-08-2020,8:00 AM,Puducherry,3532,91,5900
5151,13-08-2020,8:00 AM,Puducherry,3676,96,6381
5186,14-08-2020,8:00 AM,Puducherry,3828,102,6680
5221,15-08-2020,8:00 AM,Puducherry,4009,106,6995
5256,16-08-2020,8:00 AM,Puducherry,4224,106,7354
5291,17-08-2020,8:00 AM,Puducherry,4443,110,7732
5326,18-08-2020,8:00 AM,Puducherry,4627,114,8029
5361,19-08-2020,8:00 AM,Puducherry,4909,123,8396
5396,20-08-2020,8:00 AM,Puducherry,5312,129,8750
5431,21-08-2020,8:00 AM,Puducherry,5634,137,9292
5466,22-08-2020,8:00 AM,Puducherry,5934,143,9594
5501,23-08-2020,8:00 AM,Puducherry,6307,151,10112
5536,24-08-2020,8:00 AM,Puducherry,6657,159,10522
5571,25-08-2020,8:00 AM,Puducherry,6942,164,10859
5606,26-08-2020,8:00 AM,Puducherry,7273,172,11426
5641,27-08-2020,8:00 AM,Puducherry,7486,180,11930
5676,28-08-2020,8:00 AM,Puducherry,7761,190,12434
5711,29-08-2020,8:00 AM,Puducherry,8080,199,13024
