,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
77,09-03-2020,6:00 PM,Punjab,0,0,1
92,10-03-2020,6:00 PM,Punjab,0,0,1
107,11-03-2020,6:00 PM,Punjab,0,0,1
118,12-03-2020,6:00 PM,Punjab,0,0,1
131,13-03-2020,6:00 PM,Punjab,0,0,1
144,14-03-2020,6:00 PM,Punjab,0,0,1
154,15-03-2020,6:00 PM,Punjab,0,0,1
169,16-03-2020,6:00 PM,Punjab,0,0,1
184,17-03-2020,6:00 PM,Punjab,0,0,1
200,18-03-2020,6:00 PM,Punjab,0,0,1
218,19-03-2020,6:00 PM,Punjab,0,1,2
238,20-03-2020,6:00 PM,Punjab,0,1,2
260,21-03-2020,6:00 PM,Punjab,0,1,13
283,22-03-2020,6:00 PM,Punjab,0,1,21
306,23-03-2020,6:00 PM,Punjab,0,1,21
330,24-03-2020,6:00 PM,Punjab,0,1,29
355,25-03-2020,6:00 PM,Punjab,0,1,29
385,26-03-2020,6:00 PM,Punjab,0,1,33
412,27-03-2020,10:00 AM,Punjab,0,1,33
439,28-03-2020,6:00 PM,Punjab,1,1,38
466,29-03-2020,7:30 PM,Punjab,1,1,38
493,30-03-2020,9:30 PM,Punjab,1,1,38
521,31-03-2020,8:30 PM,Punjab,1,3,41
551,01-04-2020,7:30 PM,Punjab,1,3,42
580,02-04-2020,6:00 PM,Punjab,1,4,46
610,03-04-2020,6:00 PM,Punjab,1,5,48
641,04-04-2020,6:00 PM,Punjab,1,5,57
671,05-04-2020,6:00 PM,Punjab,1,5,57
701,06-04-2020,6:00 PM,Punjab,4,6,76
731,07-04-2020,6:00 PM,Punjab,4,7,91
762,08-04-2020,5:00 PM,Punjab,4,7,91
793,09-04-2020,5:00 PM,Punjab,4,8,101
824,10-04-2020,5:00 PM,Punjab,5,11,132
855,11-04-2020,5:00 PM,Punjab,5,11,132
886,12-04-2020,5:00 PM,Punjab,5,11,151
918,13-04-2020,5:00 PM,Punjab,14,11,167
951,14-04-2020,5:00 PM,Punjab,14,12,176
984,15-04-2020,5:00 PM,Punjab,14,13,186
1017,16-04-2020,5:00 PM,Punjab,27,13,186
1050,17-04-2020,5:00 PM,Punjab,27,13,186
