,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
36,03-03-2020,6:00 PM,Rajasthan,0,0,1
44,04-03-2020,6:00 PM,Rajasthan,0,0,15
48,05-03-2020,6:00 PM,Rajasthan,0,0,15
54,06-03-2020,6:00 PM,Rajasthan,0,0,15
64,07-03-2020,6:00 PM,Rajasthan,0,0,15
68,08-03-2020,6:00 PM,Rajasthan,0,0,15
78,09-03-2020,6:00 PM,Rajasthan,0,0,15
93,10-03-2020,6:00 PM,Rajasthan,0,0,15
101,11-03-2020,6:00 PM,Rajasthan,0,0,3
112,12-03-2020,6:00 PM,Rajasthan,0,0,3
125,13-03-2020,6:00 PM,Rajasthan,0,0,3
138,14-03-2020,6:00 PM,Rajasthan,1,0,3
155,15-03-2020,6:00 PM,Rajasthan,3,0,4
170,16-03-2020,6:00 PM,Rajasthan,3,0,4
185,17-03-2020,6:00 PM,Rajasthan,3,0,4
201,18-03-2020,6:00 PM,Rajasthan,3,0,4
219,19-03-2020,6:00 PM,Rajasthan,3,0,7
239,20-03-2020,6:00 PM,Rajasthan,3,0,17
261,21-03-2020,6:00 PM,Rajasthan,3,0,17
284,22-03-2020,6:00 PM,Rajasthan,3,0,24
307,23-03-2020,6:00 PM,Rajasthan,3,0,28
331,24-03-2020,6:00 PM,Rajasthan,3,0,32
356,25-03-2020,6:00 PM,Rajasthan,3,0,36
386,26-03-2020,6:00 PM,Rajasthan,3,0,41
413,27-03-2020,10:00 AM,Rajasthan,3,0,41
440,28-03-2020,6:00 PM,Rajasthan,3,0,54
467,29-03-2020,7:30 PM,Rajasthan,3,0,55
494,30-03-2020,9:30 PM,Rajasthan,3,0,59
522,31-03-2020,8:30 PM,Rajasthan,3,0,74
552,01-04-2020,7:30 PM,Rajasthan,3,0,93
581,02-04-2020,6:00 PM,Rajasthan,3,0,108
611,03-04-2020,6:00 PM,Rajasthan,3,0,167
642,04-04-2020,6:00 PM,Rajasthan,21,0,200
672,05-04-2020,6:00 PM,Rajasthan,21,0,200
702,06-04-2020,6:00 PM,Rajasthan,21,0,274
732,07-04-2020,6:00 PM,Rajasthan,21,3,288
763,08-04-2020,5:00 PM,Rajasthan,21,3,328
794,09-04-2020,5:00 PM,Rajasthan,21,3,383
825,10-04-2020,5:00 PM,Rajasthan,21,3,463
856,11-04-2020,5:00 PM,Rajasthan,21,3,553
887,12-04-2020,5:00 PM,Rajasthan,21,3,700
919,13-04-2020,5:00 PM,Rajasthan,21,3,812
952,14-04-2020,5:00 PM,Rajasthan,133,3,879
985,15-04-2020,5:00 PM,Rajasthan,147,3,1005
1018,16-04-2020,5:00 PM,Rajasthan,147,3,1023
1051,17-04-2020,5:00 PM,Rajasthan,164,11,1131
1084,18-04-2020,5:00 PM,Rajasthan,183,11,1229
1117,19-04-2020,5:00 PM,Rajasthan,183,11,1351
1150,20-04-2020,5:00 PM,Rajasthan,183,14,1478
1183,21-04-2020,5:00 PM,Rajasthan,205,25,1576
1215,22-04-2020,5:00 PM,Rajasthan,230,25,1801
1247,23-04-2020,5:00 PM,Rajasthan,230,27,1890
1279,24-04-2020,5:00 PM,Rajasthan,230,27,1964
1311,25-04-2020,5:00 PM,Rajasthan,230,27,2034
1343,26-04-2020,5:00 PM,Rajasthan,493,33,2083
1375,27-04-2020,5:00 PM,Rajasthan,518,41,2185
1407,28-04-2020,5:00 PM,Rajasthan,669,46,2262
1439,29-04-2020,5:00 PM,Rajasthan,768,51,2364
1471,30-04-2020,5:00 PM,Rajasthan,768,51,2438
1503,01-05-2020,5:00 PM,Rajasthan,836,58,2584
1535,02-05-2020,5:00 PM,Rajasthan,1116,62,2666
1567,03-05-2020,5:00 PM,Rajasthan,1121,65,2772
1599,04-05-2020,5:00 PM,Rajasthan,1356,71,2886
1631,05-05-2020,5:00 PM,Rajasthan,1394,77,3061
1664,06-05-2020,8:00 AM,Rajasthan,1525,89,3158
1697,07-05-2020,8:00 AM,Rajasthan,1596,92,3317
