,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
2263,24-05-2020,8:00 AM,Sikkim,0,0,1
2298,25-05-2020,8:00 AM,Sikkim,0,0,1
2334,26-05-2020,8:00 AM,Sikkim,0,0,1
2370,27-05-2020,8:00 AM,Sikkim,0,0,1
2406,28-05-2020,8:00 AM,Sikkim,0,0,1
2442,29-05-2020,8:00 AM,Sikkim,0,0,1
2478,30-05-2020,8:00 AM,Sikkim,0,0,1
2514,31-05-2020,8:00 AM,Sikkim,0,0,1
2550,01-06-2020,8:00 AM,Sikkim,0,0,1
2586,02-06-2020,8:00 AM,Sikkim,0,0,1
2622,03-06-2020,8:00 AM,Sikkim,0,0,1
2658,04-06-2020,8:00 AM,Sikkim,0,0,2
2694,05-06-2020,8:00 AM,Sikkim,0,0,2
2730,06-06-2020,8:00 AM,Sikkim,0,0,3
2766,07-06-2020,8:00 AM,Sikkim,0,0,7
2802,08-06-2020,8:00 AM,Sikkim,0,0,7
2838,09-06-2020,8:00 AM,Sikkim,0,0,7
2874,10-06-2020,8:00 AM,Sikkim,0,0,13
2911,11-06-2020,8:00 AM,Sikkim,0,0,13
2947,12-06-2020,8:00 AM,Sikkim,2,0,14
2983,13-06-2020,8:00 AM,Sikkim,2,0,63
3019,14-06-2020,8:00 AM,Sikkim,4,0,63
3055,15-06-2020,8:00 AM,Sikkim,4,0,68
3091,16-06-2020,8:00 AM,Sikkim,4,0,68
3127,17-06-2020,8:00 AM,Sikkim,4,0,70
3163,18-06-2020,8:00 AM,Sikkim,4,0,70
3199,19-06-2020,8:00 AM,Sikkim,5,0,70
3235,20-06-2020,8:00 AM,Sikkim,5,0,70
3271,21-06-2020,8:00 AM,Sikkim,25,0,70
3307,22-06-2020,8:00 AM,Sikkim,25,0,78
3343,23-06-2020,8:00 AM,Sikkim,29,0,78
3379,24-06-2020,8:00 AM,Sikkim,29,0,79
3415,25-06-2020,8:00 AM,Sikkim,39,0,84
3451,26-06-2020,8:00 AM,Sikkim,39,0,85
3487,27-06-2020,8:00 AM,Sikkim,39,0,86
3523,28-06-2020,8:00 AM,Sikkim,46,0,87
3559,29-06-2020,8:00 AM,Sikkim,49,0,88
3595,30-06-2020,8:00 AM,Sikkim,50,0,88
3631,01-07-2020,8:00 AM,Sikkim,52,0,89
3667,02-07-2020,8:00 AM,Sikkim,53,0,101
3703,03-07-2020,8:00 AM,Sikkim,53,0,102
3739,04-07-2020,8:00 AM,Sikkim,53,0,102
3775,05-07-2020,8:00 AM,Sikkim,58,0,103
3811,06-07-2020,8:00 AM,Sikkim,61,0,123
3847,07-07-2020,8:00 AM,Sikkim,65,0,125
3883,08-07-2020,8:00 AM,Sikkim,70,0,125
3919,09-07-2020,8:00 AM,Sikkim,71,0,133
3955,10-07-2020,8:00 AM,Sikkim,72,0,134
3991,11-07-2020,8:00 AM,Sikkim,80,0,134
4027,12-07-2020,8:00 AM,Sikkim,80,0,151
4063,13-07-2020,8:00 AM,Sikkim,81,0,153
4099,14-07-2020,8:00 AM,Sikkim,86,0,192
4135,15-07-2020,8:00 AM,Sikkim,87,0,209
4171,16-07-2020,8:00 AM,Sikkim,87,0,220
4207,17-07-2020,8:00 AM,Sikkim,88,0,243
4243,18-07-2020,8:00 AM,Sikkim,90,0,266
