,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
61,07-03-2020,6:00 PM,Tamil Nadu,0,0,1
67,08-03-2020,6:00 PM,Tamil Nadu,0,0,1
79,09-03-2020,6:00 PM,Tamil Nadu,0,0,1
94,10-03-2020,6:00 PM,Tamil Nadu,0,0,1
105,11-03-2020,6:00 PM,Tamil Nadu,0,0,1
116,12-03-2020,6:00 PM,Tamil Nadu,0,0,1
129,13-03-2020,6:00 PM,Tamil Nadu,0,0,1
142,14-03-2020,6:00 PM,Tamil Nadu,0,0,1
156,15-03-2020,6:00 PM,Tamil Nadu,0,0,1
171,16-03-2020,6:00 PM,Tamil Nadu,0,0,1
186,17-03-2020,6:00 PM,Tamil Nadu,0,0,1
202,18-03-2020,6:00 PM,Tamil Nadu,0,0,1
220,19-03-2020,6:00 PM,Tamil Nadu,1,0,2
240,20-03-2020,6:00 PM,Tamil Nadu,1,0,3
262,21-03-2020,6:00 PM,Tamil Nadu,1,0,3
285,22-03-2020,6:00 PM,Tamil Nadu,1,0,7
308,23-03-2020,6:00 PM,Tamil Nadu,1,0,9
332,24-03-2020,6:00 PM,Tamil Nadu,1,0,15
357,25-03-2020,6:00 PM,Tamil Nadu,1,0,18
387,26-03-2020,6:00 PM,Tamil Nadu,1,1,26
414,27-03-2020,10:00 AM,Tamil Nadu,1,1,29
441,28-03-2020,6:00 PM,Tamil Nadu,2,1,40
468,29-03-2020,7:30 PM,Tamil Nadu,4,1,49
495,30-03-2020,9:30 PM,Tamil Nadu,4,1,67
523,31-03-2020,8:30 PM,Tamil Nadu,4,1,74
553,01-04-2020,7:30 PM,Tamil Nadu,6,1,234
582,02-04-2020,6:00 PM,Tamil Nadu,6,1,234
612,03-04-2020,6:00 PM,Tamil Nadu,6,1,309
643,04-04-2020,6:00 PM,Tamil Nadu,6,2,411
673,05-04-2020,6:00 PM,Tamil Nadu,6,3,485
703,06-04-2020,6:00 PM,Tamil Nadu,8,5,571
733,07-04-2020,6:00 PM,Tamil Nadu,8,5,621
764,08-04-2020,5:00 PM,Tamil Nadu,19,7,690
795,09-04-2020,5:00 PM,Tamil Nadu,21,8,738
826,10-04-2020,5:00 PM,Tamil Nadu,21,8,834
857,11-04-2020,5:00 PM,Tamil Nadu,44,8,911
888,12-04-2020,5:00 PM,Tamil Nadu,44,10,969
920,13-04-2020,5:00 PM,Tamil Nadu,50,11,1075
953,14-04-2020,5:00 PM,Tamil Nadu,58,11,1173
986,15-04-2020,5:00 PM,Tamil Nadu,81,12,1204
1019,16-04-2020,5:00 PM,Tamil Nadu,118,14,1242
1052,17-04-2020,5:00 PM,Tamil Nadu,180,15,1267
1085,18-04-2020,5:00 PM,Tamil Nadu,283,15,1323
1118,19-04-2020,5:00 PM,Tamil Nadu,365,15,1372
1151,20-04-2020,5:00 PM,Tamil Nadu,411,15,1477
1184,21-04-2020,5:00 PM,Tamil Nadu,457,17,1520
1216,22-04-2020,5:00 PM,Tamil Nadu,635,18,1596
1248,23-04-2020,5:00 PM,Tamil Nadu,662,18,1629
1280,24-04-2020,5:00 PM,Tamil Nadu,752,20,1683
1312,25-04-2020,5:00 PM,Tamil Nadu,866,22,1755
1344,26-04-2020,5:00 PM,Tamil Nadu,960,23,1821
1376,27-04-2020,5:00 PM,Tamil Nadu,1020,24,1885
1408,28-04-2020,5:00 PM,Tamil Nadu,1101,24,1937
1440,29-04-2020,5:00 PM,Tamil Nadu,1168,25,2058
1472,30-04-2020,5:00 PM,Tamil Nadu,1210,27,2162
1504,01-05-2020,5:00 PM,Tamil Nadu,1258,27,2323
1536,02-05-2020,5:00 PM,Tamil Nadu,1312,28,2526
1568,03-05-2020,5:00 PM,Tamil Nadu,1341,29,2757
1600,04-05-2020,5:00 PM,Tamil Nadu,1379,30,3023
1632,05-05-2020,5:00 PM,Tamil Nadu,1409,31,3550
1665,06-05-2020,8:00 AM,Tamil Nadu,1485,33,4058
1698,07-05-2020,8:00 AM,Tamil Nadu,1516,35,4829
1731,08-05-2020,8:00 AM,Tamil Nadu,1547,37,5409
1764,09-05-2020,8:00 AM,Tamil Nadu,1605,40,6009
1797,10-05-2020,8:00 AM,Tamil Nadu,1824,44,6535
1830,11-05-2020,8:00 AM,Tamil Nadu,1959,47,7204
1863,12-05-2020,8:00 AM,Tamil Nadu,2051,53,8002
1896,13-05-2020,8:00 AM,Tamil Nadu,2134,61,8718
1929,14-05-2020,8:00 AM,Tamil Nadu,2176,64,9227
1962,15-05-2020,8:00 AM,Tamil Nadu,2240,66,9674
1995,16-05-2020,8:00 AM,Tamil Nadu,2599,71,10108
2028,17-05-2020,8:00 AM,Tamil Nadu,3538,74,10585
2061,18-05-2020,8:00 AM,Tamil Nadu,4172,78,11224
2094,19-05-2020,8:00 AM,Tamil Nadu,4406,81,11760
2127,20-05-2020,8:00 AM,Tamil Nadu,4895,84,12448
2161,21-05-2020,8:00 AM,Tamil Nadu,5882,87,13191
2195,22-05-2020,8:00 AM,Tamil Nadu,6282,94,13967
2229,23-05-2020,8:00 AM,Tamil Nadu,7128,98,14753
2264,24-05-2020,8:00 AM,Tamil Nadu,7491,103,15512
2299,25-05-2020,8:00 AM,Tamil Nadu,8324,111,16277
2335,26-05-2020,8:00 AM,Tamil Nadu,8731,118,17082
2371,27-05-2020,8:00 AM,Tamil Nadu,9342,127,17728
2407,28-05-2020,8:00 AM,Tamil Nadu,9909,133,18545
2443,29-05-2020,8:00 AM,Tamil Nadu,10548,145,19372
2479,30-05-2020,8:00 AM,Tamil Nadu,11313,154,20246
2515,31-05-2020,8:00 AM,Tamil Nadu,12000,160,21184
2551,01-06-2020,8:00 AM,Tamil Nadu,12757,173,22333
2587,02-06-2020,8:00 AM,Tamil Nadu,13170,184,23495
2623,03-06-2020,8:00 AM,Tamil Nadu,13706,197,24586
2659,04-06-2020,8:00 AM,Tamil Nadu,14316,208,25872
2695,05-06-2020,8:00 AM,Tamil Nadu,14902,220,27256
2731,06-06-2020,8:00 AM,Tamil Nadu,15762,232,28694
2767,07-06-2020,8:00 AM,Tamil Nadu,16395,251,30152
2803,08-06-2020,8:00 AM,Tamil Nadu,16999,269,31667
2839,09-06-2020,8:00 AM,Tamil Nadu,17527,286,33229
2875,10-06-2020,8:00 AM,Tamil Nadu,18325,307,34914
2912,11-06-2020,8:00 AM,Tamil Nadu,19333,326,36841
2948,12-06-2020,8:00 AM,Tamil Nadu,20705,349,38716
2984,13-06-2020,8:00 AM,Tamil Nadu,22047,367,40698
3020,14-06-2020,8:00 AM,Tamil Nadu,23409,397,42687
3056,15-06-2020,8:00 AM,Tamil Nadu,24547,435,44661
3092,16-06-2020,8:00 AM,Tamil Nadu,25344,479,46504
3128,17-06-2020,8:00 AM,Tamil Nadu,26782,528,48019
3164,18-06-2020,8:00 AM,Tamil Nadu,27624,576,50193
3200,19-06-2020,8:00 AM,Tamil Nadu,28641,625,52334
3236,20-06-2020,8:00 AM,Tamil Nadu,30271,666,54449
3272,21-06-2020,8:00 AM,Tamil Nadu,31316,704,56845
3308,22-06-2020,8:00 AM,Tamil Nadu,32754,757,59377
3344,23-06-2020,8:00 AM,Tamil Nadu,34112,794,62087
3380,24-06-2020,8:00 AM,Tamil Nadu,35339,833,64603
3416,25-06-2020,8:00 AM,Tamil Nadu,37763,866,67468
3452,26-06-2020,8:00 AM,Tamil Nadu,39999,911,70977
