,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
32,02-03-2020,6:00 PM,Telangana,0,0,1
35,03-03-2020,6:00 PM,Telangana,0,0,1
43,04-03-2020,6:00 PM,Telangana,0,0,1
49,05-03-2020,6:00 PM,Telangana,0,0,1
56,06-03-2020,6:00 PM,Telangana,0,0,1
60,07-03-2020,6:00 PM,Telangana,0,0,1
66,08-03-2020,6:00 PM,Telangana,0,0,1
80,09-03-2020,6:00 PM,Telangana,0,0,1
95,10-03-2020,6:00 PM,Telangana,0,0,1
102,11-03-2020,6:00 PM,Telangana,0,0,1
113,12-03-2020,6:00 PM,Telangana,0,0,1
126,13-03-2020,6:00 PM,Telangana,0,0,1
139,14-03-2020,6:00 PM,Telangana,0,0,1
157,15-03-2020,6:00 PM,Telangana,1,0,3
172,16-03-2020,6:00 PM,Telangana,1,0,3
187,17-03-2020,6:00 PM,Telangana,1,0,5
203,18-03-2020,6:00 PM,Telangana,1,0,6
221,19-03-2020,6:00 PM,Telangana,1,0,6
241,20-03-2020,6:00 PM,Telangana,1,0,17
263,21-03-2020,6:00 PM,Telangana,1,0,21
286,22-03-2020,6:00 PM,Telangana,1,0,22
309,23-03-2020,6:00 PM,Telangana,1,0,32
333,24-03-2020,6:00 PM,Telangana,1,0,35
358,25-03-2020,6:00 PM,Telangana,1,0,35
388,26-03-2020,6:00 PM,Telangana,1,0,44
415,27-03-2020,10:00 AM,Telangana,1,0,45
442,28-03-2020,6:00 PM,Telangana,1,0,56
469,29-03-2020,7:30 PM,Telangana,1,1,66
496,30-03-2020,9:30 PM,Telangana,1,1,71
524,31-03-2020,8:30 PM,Telangana,1,1,79
554,01-04-2020,7:30 PM,Telangana,1,3,96
583,02-04-2020,6:00 PM,Telangana,1,3,107
613,03-04-2020,6:00 PM,Telangana,1,7,158
644,04-04-2020,6:00 PM,Telangana,1,7,159
674,05-04-2020,6:00 PM,Telangana,32,7,269
704,06-04-2020,6:00 PM,Telangana,34,7,321
734,07-04-2020,6:00 PM,Telangana,35,7,364
765,08-04-2020,5:00 PM,Telangana,35,7,427
796,09-04-2020,5:00 PM,Telangana,35,7,442
827,10-04-2020,5:00 PM,Telangana,35,7,473
858,11-04-2020,5:00 PM,Telangana,43,9,504
889,12-04-2020,5:00 PM,Telangana,43,9,504
921,13-04-2020,5:00 PM,Telangana,100,16,562
954,14-04-2020,5:00 PM,Telangana,100,17,624
987,15-04-2020,5:00 PM,Telangana,120,18,647
1020,16-04-2020,5:00 PM,Telangana,120,18,698
1053,17-04-2020,5:00 PM,Telangana,186,18,743
1086,18-04-2020,5:00 PM,Telangana,186,18,791
1119,19-04-2020,5:00 PM,Telangana,186,18,844
1152,20-04-2020,5:00 PM,Telangana,190,21,873
1185,21-04-2020,5:00 PM,Telangana,190,23,919
1217,22-04-2020,5:00 PM,Telangana,194,23,945
1249,23-04-2020,5:00 PM,Telangana,197,24,960
1281,24-04-2020,5:00 PM,Telangana,253,26,984
1313,25-04-2020,5:00 PM,Telangana,253,26,984
1345,26-04-2020,5:00 PM,Telangana,280,26,991
1377,27-04-2020,5:00 PM,Telangana,280,26,1002
1409,28-04-2020,5:00 PM,Telangana,321,26,1004
1441,29-04-2020,5:00 PM,Telangana,367,26,1012
1473,30-04-2020,5:00 PM,Telangana,367,26,1012
1505,01-05-2020,5:00 PM,Telangana,441,26,1039
1537,02-05-2020,5:00 PM,Telangana,441,26,1039
1569,03-05-2020,5:00 PM,Telangana,458,28,1063
1601,04-05-2020,5:00 PM,Telangana,490,29,1082
1633,05-05-2020,5:00 PM,Telangana,585,29,1085
1666,06-05-2020,8:00 AM,Telangana,585,29,1096
1699,07-05-2020,8:00 AM,Telangana,628,29,1107
1732,08-05-2020,8:00 AM,Telangana,650,29,1123
1765,09-05-2020,8:00 AM,Telangana,700,29,1133
1798,10-05-2020,8:00 AM,Telangana,750,30,1163
1831,11-05-2020,8:00 AM,Telangana,750,30,1196
1864,12-05-2020,8:00 AM,Telangana,800,30,1275
1897,13-05-2020,8:00 AM,Telangana,830,32,1326
1930,14-05-2020,8:00 AM,Telangana,940,34,1367
1963,15-05-2020,8:00 AM,Telangana,950,34,1414
1996,16-05-2020,8:00 AM,Telangana,959,34,1454
2029,17-05-2020,8:00 AM,Telangana,971,34,1509
2062,18-05-2020,8:00 AM,Telangana,992,34,1551
2095,19-05-2020,8:00 AM,Telangana,1000,35,1597
2128,20-05-2020,8:00 AM,Telangana,1010,38,1634
2162,21-05-2020,8:00 AM,Telangana,1015,40,1661
2196,22-05-2020,8:00 AM,Telangana,1035,45,1699
2230,23-05-2020,8:00 AM,Telangana,1043,45,1761
2265,24-05-2020,8:00 AM,Telangana,1065,49,1813
2300,25-05-2020,8:00 AM,Telangana,1090,53,1854
2336,26-05-2020,8:00 AM,Telangana,1164,56,1920
2372,27-05-2020,8:00 AM,Telangana,1284,57,1991
2408,28-05-2020,8:00 AM,Telangana,1284,63,2098
2444,29-05-2020,8:00 AM,Telangana,1345,67,2256
2480,30-05-2020,8:00 AM,Telangana,1381,71,2425
2516,31-05-2020,8:00 AM,Telangana,1412,77,2499
2552,01-06-2020,8:00 AM,Telangana,1428,82,2698
2588,02-06-2020,8:00 AM,Telangana,1491,88,2792
2624,03-06-2020,8:00 AM,Telangana,1526,92,2891
2660,04-06-2020,8:00 AM,Telangana,1556,99,3020
2696,05-06-2020,8:00 AM,Telangana,1587,105,3147
2732,06-06-2020,8:00 AM,Telangana,1627,113,3290
2768,07-06-2020,8:00 AM,Telangana,1710,123,3496
2804,08-06-2020,8:00 AM,Telangana,1710,123,3580
2840,09-06-2020,8:00 AM,Telangana,1710,137,3650
2876,10-06-2020,8:00 AM,Telangana,1809,148,3920
2913,11-06-2020,8:00 AM,Telangana,1817,156,4111
2949,12-06-2020,8:00 AM,Telangana,1993,165,4320
2985,13-06-2020,8:00 AM,Telangana,2278,174,4484
3021,14-06-2020,8:00 AM,Telangana,2352,182,4737
3057,15-06-2020,8:00 AM,Telangana,2377,185,4974
3093,16-06-2020,8:00 AM,Telangana,2766,187,5193
3129,17-06-2020,8:00 AM,Telangana,3027,191,5406
3165,18-06-2020,8:00 AM,Telangana,3071,192,5675
3201,19-06-2020,8:00 AM,Telangana,3301,195,6027
3237,20-06-2020,8:00 AM,Telangana,3353,198,6526
3273,21-06-2020,8:00 AM,Telangana,3506,203,7072
3309,22-06-2020,8:00 AM,Telangana,3731,210,7802
3345,23-06-2020,8:00 AM,Telangana,4005,217,8674
3381,24-06-2020,8:00 AM,Telangana,4224,220,9553
3417,25-06-2020,8:00 AM,Telangana,4361,225,10444
3453,26-06-2020,8:00 AM,Telangana,4688,230,11364
3489,27-06-2020,8:00 AM,Telangana,4766,237,12349
3525,28-06-2020,8:00 AM,Telangana,4928,243,13436
3561,29-06-2020,8:00 AM,Telangana,5172,247,14419
3597,30-06-2020,8:00 AM,Telangana,5582,253,15394
3633,01-07-2020,8:00 AM,Telangana,7294,260,16339
3669,02-07-2020,8:00 AM,Telangana,8082,267,17357
3705,03-07-2020,8:00 AM,Telangana,9069,275,18570
3741,04-07-2020,8:00 AM,Telangana,10195,283,20462
3777,05-07-2020,8:00 AM,Telangana,11537,288,22312
3813,06-07-2020,8:00 AM,Telangana,12703,295,23902
3849,07-07-2020,8:00 AM,Telangana,14781,306,25733
3885,08-07-2020,8:00 AM,Telangana,16287,313,27612
