,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
735,07-04-2020,6:00 PM,Tripura,0,0,1
766,08-04-2020,5:00 PM,Tripura,0,0,1
797,09-04-2020,5:00 PM,Tripura,0,0,1
828,10-04-2020,5:00 PM,Tripura,0,0,1
859,11-04-2020,5:00 PM,Tripura,0,0,2
890,12-04-2020,5:00 PM,Tripura,0,0,2
922,13-04-2020,5:00 PM,Tripura,0,0,2
955,14-04-2020,5:00 PM,Tripura,0,0,2
988,15-04-2020,5:00 PM,Tripura,0,0,2
1021,16-04-2020,5:00 PM,Tripura,1,0,2
1054,17-04-2020,5:00 PM,Tripura,1,0,2
1087,18-04-2020,5:00 PM,Tripura,1,0,2
1120,19-04-2020,5:00 PM,Tripura,1,0,2
1153,20-04-2020,5:00 PM,Tripura,1,0,2
1186,21-04-2020,5:00 PM,Tripura,1,0,2
1218,22-04-2020,5:00 PM,Tripura,1,0,2
1250,23-04-2020,5:00 PM,Tripura,1,0,2
1282,24-04-2020,5:00 PM,Tripura,1,0,2
1314,25-04-2020,5:00 PM,Tripura,1,0,2
1346,26-04-2020,5:00 PM,Tripura,2,0,2
1378,27-04-2020,5:00 PM,Tripura,2,0,2
1410,28-04-2020,5:00 PM,Tripura,2,0,2
1442,29-04-2020,5:00 PM,Tripura,2,0,2
1474,30-04-2020,5:00 PM,Tripura,2,0,2
1506,01-05-2020,5:00 PM,Tripura,2,0,2
1538,02-05-2020,5:00 PM,Tripura,2,0,2
1570,03-05-2020,5:00 PM,Tripura,2,0,4
1602,04-05-2020,5:00 PM,Tripura,2,0,16
1634,05-05-2020,5:00 PM,Tripura,2,0,29
1667,06-05-2020,8:00 AM,Tripura,2,0,43
1700,07-05-2020,8:00 AM,Tripura,2,0,43
1733,08-05-2020,8:00 AM,Tripura,2,0,65
1766,09-05-2020,8:00 AM,Tripura,2,0,118
1799,10-05-2020,8:00 AM,Tripura,2,0,134
1832,11-05-2020,8:00 AM,Tripura,2,0,150
1865,12-05-2020,8:00 AM,Tripura,2,0,152
1898,13-05-2020,8:00 AM,Tripura,2,0,154
1931,14-05-2020,8:00 AM,Tripura,16,0,155
1964,15-05-2020,8:00 AM,Tripura,29,0,156
1997,16-05-2020,8:00 AM,Tripura,42,0,156
2030,17-05-2020,8:00 AM,Tripura,64,0,167
2063,18-05-2020,8:00 AM,Tripura,85,0,167
