,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
39,04-03-2020,6:00 PM,Uttar Pradesh,0,0,6
50,05-03-2020,6:00 PM,Uttar Pradesh,0,0,7
55,06-03-2020,6:00 PM,Uttar Pradesh,0,0,7
58,07-03-2020,6:00 PM,Uttar Pradesh,0,0,7
72,08-03-2020,6:00 PM,Uttar Pradesh,0,0,7
82,09-03-2020,6:00 PM,Uttar Pradesh,0,0,7
85,10-03-2020,6:00 PM,Uttar Pradesh,0,0,7
103,11-03-2020,6:00 PM,Uttar Pradesh,0,0,9
114,12-03-2020,6:00 PM,Uttar Pradesh,0,0,11
127,13-03-2020,6:00 PM,Uttar Pradesh,0,0,11
140,14-03-2020,6:00 PM,Uttar Pradesh,5,0,12
160,15-03-2020,6:00 PM,Uttar Pradesh,4,0,13
175,16-03-2020,6:00 PM,Uttar Pradesh,4,0,13
190,17-03-2020,6:00 PM,Uttar Pradesh,5,0,15
206,18-03-2020,6:00 PM,Uttar Pradesh,5,0,16
225,19-03-2020,6:00 PM,Uttar Pradesh,9,0,19
245,20-03-2020,6:00 PM,Uttar Pradesh,9,0,23
267,21-03-2020,6:00 PM,Uttar Pradesh,9,0,24
290,22-03-2020,6:00 PM,Uttar Pradesh,9,0,27
313,23-03-2020,6:00 PM,Uttar Pradesh,9,0,31
337,24-03-2020,6:00 PM,Uttar Pradesh,11,0,33
362,25-03-2020,6:00 PM,Uttar Pradesh,11,0,37
390,26-03-2020,6:00 PM,Uttar Pradesh,11,0,41
417,27-03-2020,10:00 AM,Uttar Pradesh,11,0,41
444,28-03-2020,6:00 PM,Uttar Pradesh,11,0,55
471,29-03-2020,7:30 PM,Uttar Pradesh,11,0,65
498,30-03-2020,9:30 PM,Uttar Pradesh,11,0,82
526,31-03-2020,8:30 PM,Uttar Pradesh,14,0,101
556,01-04-2020,7:30 PM,Uttar Pradesh,14,2,103
585,02-04-2020,6:00 PM,Uttar Pradesh,14,2,113
615,03-04-2020,6:00 PM,Uttar Pradesh,14,2,172
646,04-04-2020,6:00 PM,Uttar Pradesh,19,2,174
676,05-04-2020,6:00 PM,Uttar Pradesh,19,2,227
706,06-04-2020,6:00 PM,Uttar Pradesh,21,3,305
737,07-04-2020,6:00 PM,Uttar Pradesh,21,3,305
768,08-04-2020,5:00 PM,Uttar Pradesh,26,3,343
799,09-04-2020,5:00 PM,Uttar Pradesh,31,4,410
830,10-04-2020,5:00 PM,Uttar Pradesh,32,4,431
861,11-04-2020,5:00 PM,Uttar Pradesh,32,4,433
892,12-04-2020,5:00 PM,Uttar Pradesh,45,5,452
924,13-04-2020,5:00 PM,Uttar Pradesh,47,5,483
957,14-04-2020,5:00 PM,Uttar Pradesh,49,5,657
990,15-04-2020,5:00 PM,Uttar Pradesh,51,11,735
1023,16-04-2020,5:00 PM,Uttar Pradesh,68,13,773
1056,17-04-2020,5:00 PM,Uttar Pradesh,74,14,846
1089,18-04-2020,5:00 PM,Uttar Pradesh,86,14,969
1122,19-04-2020,5:00 PM,Uttar Pradesh,108,17,1084
1155,20-04-2020,5:00 PM,Uttar Pradesh,129,17,1176
1188,21-04-2020,5:00 PM,Uttar Pradesh,140,20,1294
1220,22-04-2020,5:00 PM,Uttar Pradesh,165,21,1412
1252,23-04-2020,5:00 PM,Uttar Pradesh,187,21,1509
1284,24-04-2020,5:00 PM,Uttar Pradesh,206,24,1604
1316,25-04-2020,5:00 PM,Uttar Pradesh,248,26,1778
1348,26-04-2020,5:00 PM,Uttar Pradesh,289,29,1843
1380,27-04-2020,5:00 PM,Uttar Pradesh,335,31,1955
1412,28-04-2020,5:00 PM,Uttar Pradesh,400,31,2043
