,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
161,15-03-2020,6:00 PM,Uttarakhand,0,0,1
176,16-03-2020,6:00 PM,Uttarakhand,0,0,1
191,17-03-2020,6:00 PM,Uttarakhand,0,0,1
207,18-03-2020,6:00 PM,Uttarakhand,0,0,1
226,19-03-2020,6:00 PM,Uttarakhand,0,0,1
246,20-03-2020,6:00 PM,Uttarakhand,0,0,3
268,21-03-2020,6:00 PM,Uttarakhand,0,0,3
291,22-03-2020,6:00 PM,Uttarakhand,0,0,3
314,23-03-2020,6:00 PM,Uttarakhand,0,0,3
338,24-03-2020,6:00 PM,Uttarakhand,0,0,4
363,25-03-2020,6:00 PM,Uttarakhand,0,0,4
389,26-03-2020,6:00 PM,Uttarakhand,0,0,5
416,27-03-2020,10:00 AM,Uttarakhand,0,0,5
443,28-03-2020,6:00 PM,Uttarakhand,0,0,5
470,29-03-2020,7:30 PM,Uttarakhand,2,0,7
497,30-03-2020,9:30 PM,Uttarakhand,2,0,7
525,31-03-2020,8:30 PM,Uttarakhand,2,0,7
555,01-04-2020,7:30 PM,Uttarakhand,2,0,7
584,02-04-2020,6:00 PM,Uttarakhand,2,0,7
614,03-04-2020,6:00 PM,Uttarakhand,2,0,10
645,04-04-2020,6:00 PM,Uttarakhand,2,0,16
675,05-04-2020,6:00 PM,Uttarakhand,2,0,22
705,06-04-2020,6:00 PM,Uttarakhand,4,0,26
736,07-04-2020,6:00 PM,Uttarakhand,5,0,31
767,08-04-2020,5:00 PM,Uttarakhand,5,0,31
798,09-04-2020,5:00 PM,Uttarakhand,5,0,35
829,10-04-2020,5:00 PM,Uttarakhand,5,0,35
860,11-04-2020,5:00 PM,Uttarakhand,5,0,35
891,12-04-2020,5:00 PM,Uttarakhand,5,0,35
923,13-04-2020,5:00 PM,Uttarakhand,5,0,35
956,14-04-2020,5:00 PM,Uttarakhand,7,0,35
989,15-04-2020,5:00 PM,Uttarakhand,9,0,37
1022,16-04-2020,5:00 PM,Uttarakhand,9,0,37
1055,17-04-2020,5:00 PM,Uttarakhand,9,0,37
1088,18-04-2020,5:00 PM,Uttarakhand,9,0,42
1121,19-04-2020,5:00 PM,Uttarakhand,9,0,42
1154,20-04-2020,5:00 PM,Uttarakhand,11,0,44
1187,21-04-2020,5:00 PM,Uttarakhand,18,0,46
1219,22-04-2020,5:00 PM,Uttarakhand,19,0,46
1251,23-04-2020,5:00 PM,Uttarakhand,23,0,46
1283,24-04-2020,5:00 PM,Uttarakhand,24,0,47
1315,25-04-2020,5:00 PM,Uttarakhand,25,0,48
1347,26-04-2020,5:00 PM,Uttarakhand,26,0,50
1379,27-04-2020,5:00 PM,Uttarakhand,33,0,51
1411,28-04-2020,5:00 PM,Uttarakhand,33,0,51
1443,29-04-2020,5:00 PM,Uttarakhand,34,0,54
1475,30-04-2020,5:00 PM,Uttarakhand,36,0,55
